"43-25 Hunter Street, Unit 4613W",Long Island City,4596,2 BD,2 BA
"43-10 Crescent Street, Unit 317",Long Island City,4850,2 BD,2 BA
43-10 Crescent Street,Long Island City,6577,3 BD,2 BA
"43-10 Crescent Street, Unit 3404",Long Island City,3642,1 BD,1 BA
"43-10 Crescent Street, Unit 423",Long Island City,3453,1 BD,1 BA
"17802 Hillside Avenue, Unit 619",Eastwood,1925,Studio,1 BA
"48-06 Skillman Avenue, Unit 3F",Sunnyside,1700,1 BD,1 BA
"31-43 Vernon Boulevard, Unit 704",Astoria,4950,2 BD,2 BA
"34-15 Parsons Boulevard, Unit 3F",Murray Hill - Flushing,1824,Studio,1 BA
"132-61 Sanford Avenue, Unit 5B",Downtown Flushing,1925,1 BD,1 BA
"34-15 Parsons Boulevard, Unit 4K",Murray Hill - Flushing,2455,2 BD,1 BA
"132-45 Maple Avenue, Unit 310",Flushing,1685,Studio,1 BA
"151-10 35th Avenue, Unit L3",Murray Hill - Flushing,1800,1 BD,1 BA
139-18 34th Road,Flushing,1812,1 BD,1 BA
"99-12 65th Road, Unit 5KK",Rego Park,2315,2 BD,1 BA
"65-09 99th Street, Unit 3BB",Rego Park,1800,Studio,1 BA
"183-11 Hillside Avenue, Unit 9B",Jamaica Estates,1450,Studio,1 BA
"62-72 81st Street, Unit 2",Middle Village,2200,2 BD,1 BA
"132-25 Maple Avenue, Unit 509",Flushing,1650,Studio,1 BA
132-25 Maple Avenue,Flushing,1800,1 BD,1 BA
"34-15 Parsons Boulevard, Unit 2CC",Murray Hill - Flushing,1925,Studio,1 BA
"30-11 34th Street, Unit 4E",Astoria,1900,1 BD,1 BA
"75-25 153rd Street, Unit 137",Kew Gardens Hills,1993,1 BD,1 BA
"62-60 99th Street, Unit 512",Rego Park,3239,3 BD,2 BA
"56-21 61st Street, Unit 2L",Maspeth,1620,1 BD,1 BA
"75-25 153rd Street, Unit 437",Kew Gardens Hills,2015,1 BD,1 BA
"62-60 99th Street, Unit 1119",Rego Park,2768,2 BD,2 BA
"50-21 39th Place, Unit 4B",Sunnyside,2000,1 BD,1 BA
"75-25 153rd Street, Unit 241",Kew Gardens Hills,3672,3 BD,2 BA
"62-60 99th Street, Unit 701A",Rego Park,4164,4 BD,2 BA
"30-89 38th Street, Unit 1W",Astoria,2850,1 BD,1 BA
"28-05 42nd Street, Unit 3R",Astoria,1875,1 BD,1 BA
"11 31st Avenue, Unit 11B",Astoria,2600,1 BD,1 BA
"30-11 34th Street, Unit 5E",Astoria,2400,2 BD,1 BA
"41-06 52nd Street, Unit 3C",Woodside,1750,1 BD,1 BA
"209-01 42nd Avenue, Unit 26",Bayside,2200,2 BD,1 BA
"28-25 33rd Street, Unit B8",Astoria,1800,1 BD,1 BA
"62-60 99th Street, Unit 215",Rego Park,3839,4 BD,2 BA
"30-74 32nd Street, Unit 23",Astoria,1700,1 BD,1 BA
"62-60 99th Street, Unit 909A",Rego Park,2435,2 BD,2 BA
"32-02 34th Avenue, Unit 6B",New Astoria,1750,1 BD,1 BA
"65-36 99th Street, Unit H3",Rego Park,1892,Studio,1 BA
"65-09 99th Street, Unit 33L",Rego Park,1707,Studio,1 BA
37-33 College Pt Boulevard,Downtown Flushing,1800,1 BD,1 BA
"143-45 Sanford Avenue, Unit 203S",Downtown Flushing,1980,1 BD,1 BA
"143-45 Sanford Avenue, Unit 506S",Downtown Flushing,1685,Studio,1 BA
"132-45 Maple Avenue, Unit 112M",Flushing,1925,1 BD,1 BA
"132-25 Maple Avenue, Unit 409",Flushing,1650,Studio,1 BA
"45-15 Colden Street, Unit 4H",Queensboro Hill,1863,1 BD,1 BA
"64-85 Wetherole Street, Unit 4H",Rego Park,2025,1 BD,1 BA
"97-50 Queens Boulevard, Unit 312",Rego Park,1772,Studio,1 BA
"97-45 Queens Boulevard, Unit 707",Rego Park,3450,2 BD,1 BA
"98-01 67th Avenue, Unit 7U",Rego Park,2326,1 BD,1 BA
"47-20 40th Street, Unit 3D",Sunnyside,2251,2 BD,1 BA
43-25 Hunter Street,Long Island City,5130,2 BD,2 BA
"5-11 47th Avenue, Unit 8A",Hunters Point,3011,Studio,1 BA
"97-50 Queens Boulevard, Unit 212",Rego Park,1772,Studio,1 BA
"98-05 67th Avenue, Unit 1O",Rego Park,1796,Studio,1 BA
"43-23 42nd Street, Unit 207",Sunnyside,3025,2 BD,1 BA
"43-25 Hunter Street, Unit 4504W",Long Island City,3811,1 BD,1 BA
"29-06 21st Avenue, Unit 3D",Ditmars,1900,1 BD,1 BA
"2-14 50th Avenue, Unit 1104W",Hunters Point,5505,2 BD,2 BA
"43-25 Hunter Street, Unit 840E",Long Island City,3642,1 BD,1 BA
"43-25 Hunter Street, Unit 4604W",Long Island City,3816,1 BD,1 BA
"29-23 23rd Road, Unit 3",Astoria,3800,3 BD,2 BA
"43-10 Crescent Street, Unit 3503",Long Island City,3742,1 BD,1 BA
"43-10 Crescent Street, Unit 2719",Long Island City,3483,1 BD,1 BA
"98-30 67th Avenue, Unit 5G",Rego Park,2275,1 BD,1 BA
"23-10 Queens Plaza South, Unit 15J",Long Island City,5000,2 BD,2 BA
"99-60 64th Avenue, Unit 4U",Rego Park,2242,1 BD,1 BA
"88-36 Elmhurst Avenue, Unit 3A",Elmhurst,1775,Studio,1 BA
"83-40 Britton Avenue, Unit 6A",Elmhurst,1900,1 BD,1 BA
"41-25 Case Street, Unit 5F",Elmhurst,1815,Studio,1 BA
"37-40 81st Street, Unit B2",Jackson Heights,2013,1 BD,1 BA
"34-09 150th Street, Unit 2",Murray Hill - Flushing,3000,3 BD,2 BA
"27-21 44th Drive, Unit 2603",Long Island City,3000,1 BD,1 BA
"5-11 47th Avenue, Unit 8A",Hunters Point,3011,Studio,1 BA
