,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
5425,"121 East 22nd Street, N205 - Gramercy - Union Square, New York",6995,"Condo, Doorman",Listing ID: 3871950,Manhattan,Elliman,1 Bed, 1 Bath
5426,"The View at East Coast, 46-30 Center Boulevard, 501 - Long Island City, New York",6995,"Condo, Doorman","Approximate Sq. Feet: 1,492",Manhattan,Elliman,3 Beds, 3 Baths
5427,"312 East 30th Street, 14B - Kips Bay, New York",6995,Rental,Listing ID: 3867928,Manhattan,Elliman,4 Beds, 2 Baths
5428,"280 Park Avenue South, 19L - Gramercy - Union Square, New York",6995,"Condo, Doorman","Approximate Sq. Feet: 1,115",Manhattan,Elliman,2 Beds, 2 Baths
5429,"15 William, 15 William Street, 38E - Financial District, New York",6995,"Condo, Doorman","Approximate Sq. Feet: 1,300",Manhattan,Elliman,2 Beds, 2 Baths
5430,"325 Lexington Avenue, 22C - Murray Hill, New York",6995,"Condo, Doorman","Approximate Sq. Feet: 1,138",Manhattan,Elliman,2 Beds, 2 Baths
5431,"The Cole, 364 East 91st Street, 1302 - Upper East Side, New York",6990,"Rental, Doorman",Listing ID: 3893703,Manhattan,Elliman,3 Beds, 2 Baths
5432,"Tribeca Tower, 105 Duane Street, 20F - TriBeCa, New York",6990,"Rental, Doorman",Approximate Sq. Feet: 820,Manhattan,Elliman,2 Beds, 1 Bath
5433,"21 Chelsea, 120 West 21st Street, 1204 - Chelsea, New York",6989,"Rental, Doorman",Approximate Sq. Feet: 885,Manhattan,Elliman,2 Beds, 2 Baths
5434,"15 Hudson Yards, 501 West 30th Street, 39F - Chelsea, New York",6975,Condo,"Approximate Sq. Feet: 1,042",Manhattan,Elliman,1 Bed, 1 Bath
5435,"92 MORNINGSIDE, 92 Morningside Avenue, 6C - Harlem, New York",6950,Condo,"Approximate Sq. Feet: 1,300",Manhattan,Elliman,2 Beds, 2 Baths 
5436,"BING & BING, 302 West 12th Street, 17B - West Village - Meatpacking District, New York",6950,"Condo, Doorman",Listing ID: 3767591,Manhattan,Elliman,1 Bed, 1 Bath
5437,"303 East 57th Street, 11I - Midtown, New York",6950,"Cooperative, Doorman","Approximate Sq. Feet: 2,000",Manhattan,Elliman,2 Beds, 2 Baths 
5438,"106 Central Park South, 14G - Central Park South, New York",6950,"Condo, Doorman","Approximate Sq. Feet: 1,200",Manhattan,Elliman,2 Beds, 2 Baths 
5439,"455 Central Park West, 22B - Upper West Side, New York",6950,"Condo, Doorman","Approximate Sq. Feet: 1,333",Manhattan,Elliman,2 Beds, 2 Baths 
5440,"Tribeca Green, 325 North End Avenue, 4A - Battery Park City, New York",6918,"Rental, Doorman","Approximate Sq. Feet: 1,250",Manhattan,Elliman,2 Beds, 2 Baths
5441,"411 West 35th Street, 5W - Midtown, New York",6917,"Rental, Doorman",Listing ID: 3882674,Manhattan,Elliman,2 Beds, 2 Baths
5442,"Essex House, 160 Central Park South, 3011 - Central Park South, New York",6900,"Condo, Doorman",Approximate Sq. Feet: 800,Manhattan,Elliman,1 Bed, 1 Bath
5443,"257 Water Street, 3 - Financial District, New York",6900,Condo,Listing ID: 3889542,Manhattan,Elliman,4 Beds, 2 Baths
5444,"CLERMONT TOWER, 444 East 82nd Street, 11V - Upper East Side, New York",6900,"Rental, Doorman","Approximate Sq. Feet: 1,337",Manhattan,Elliman,3 Beds, 2 Baths
5445,"Riverbank West, 560 West 43rd Street, PH44D - Clinton, New York",6900,"Rental, Doorman",Approximate Sq. Feet: 981,Manhattan,Elliman,2 Beds, 2 Baths
5446,"Riverbank West, 560 West 43rd Street, 41B - Clinton, New York",6900,"Rental, Doorman",Approximate Sq. Feet: 978,Manhattan,Elliman,2 Beds, 2 Baths
5447,"The Helux, 520 West 43rd Street, 30K - Clinton, New York",6900,Rental,Approximate Sq. Feet: 850,Manhattan,Elliman,2 Beds, 2 Baths
5448,"100 West 31st Street, 43E - Midtown, New York",6895,Rental,Approximate Sq. Feet: 927,Manhattan,Elliman,2 Beds, 1 Bath
5449,"625 West 57TH Street, 1616 - Midtown, New York",6895,"Rental, Doorman",Listing ID: 3893449,Manhattan,Elliman,2 Beds, 2 Baths
5450,"444 East 57th Street, 4B - Sutton Area, New York",6875,"Condo, Doorman","Approximate Sq. Feet: 1,060",Manhattan,Elliman,2 Beds, 2 Baths
5451,"255 Hudson Street, 7D - TriBeCa, New York",6855,"Condo, Doorman",Approximate Sq. Feet: 950,Manhattan,Elliman,1 Bed, 1 Bath 
5452,"True North Gold Coast, 10 East 13th Street, PHG - Greenwich Village, New York",6850,Rental,Listing ID: 3882664,Manhattan,Elliman,2 Beds, 2 Baths
5453,"2000 Broadway, 18D - Upper West Side, New York",6850,"Condo, Doorman","Approximate Sq. Feet: 1,165",Manhattan,Elliman,2 Beds, 2 Baths
5454,"242 West 53rd Street, 61G - Midtown, New York",6850,Condo,Listing ID: 3889699,Manhattan,Elliman,1 Bed, 1 Bath
5455,"325 Fifth Avenue, 22H - New York, New York",6850,Rental,"Approximate Sq. Feet: 1,198",Manhattan,Elliman,2 Beds, 2 Baths
5456,"325 Fifth Avenue, 22H - Midtown, New York",6850,"Condo, Doorman","Approximate Sq. Feet: 1,198",Manhattan,Elliman,2 Beds, 2 Baths
5457,"209 West 107th Street, 4W - Upper West Side, New York",6800,Rental,"Approximate Sq. Feet: 1,400",Manhattan,Elliman,4 Beds, 2 Baths
5458,"104 East 35th Street, 1 - Murray Hill, New York",6800,Rental,"Approximate Sq. Feet: 3,000",Manhattan,Elliman,Studio, 4 Baths
5459,"THORNDALE CONDO, 406 West 45th Street, 4C - Clinton, New York",6800,"Condo, Doorman",Listing ID: 3865365,Manhattan,Elliman,Loft, 2 Beds 
5460,"27 West 71st Street, 5A - Upper West Side, New York",6800,Multi-Family,Listing ID: 3888033,Manhattan,Elliman,3 Beds, 2 Baths
5461,"167 Avenue A, 1 - East Village, New York",6800,Multi-Family,Listing ID: 3887121,Manhattan,Elliman,4 Beds, 2 Baths
5462,"105 West 72nd Street, 10B - Upper West Side, New York",6800,"Condo, Doorman",Listing ID: 3781047,Manhattan,Elliman,2 Beds, 2 Baths
5463,"240 Central Park South, 5D - Central Park South, New York",6800,"Rental, Doorman","Approximate Sq. Feet: 1,200",Manhattan,Elliman,2 Beds, 2 Baths
5464,"Stonehenge 58, 400 East 58th Street, 15A - Sutton Area, New York",6800,"Rental, Doorman","Approximate Sq. Feet: 1,194",Manhattan,Elliman,2 Beds, 2 Baths
5465,"15 Hudson Yards, 501 West 30th Street, 30B - Chelsea, New York",6800,Condo,Approximate Sq. Feet: 851,Manhattan,Elliman,1 Bed, 1 Bath
5466,"21 West 12th Street, PARLORB - Greenwich Village, New York",6800,Rental,Listing ID: 3793774,Manhattan,Elliman,1 Bed, 1 Bath
5467,"100 Central Park South, 2A - Central Park South, New York",6800,"Condo, Doorman",Approximate Sq. Feet: 962,Manhattan,Elliman,1 Bed, 1 Bath 
5468,"CODA, 385 First Avenue, 8B - Gramercy - Union Square, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,190",Manhattan,Elliman,2 Beds, 2 Baths
5469,"325 Fifth Avenue, 33F - Midtown, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,221",Manhattan,Elliman,2 Beds, 2 Baths
5470,"The Blake, 220 East 63rd Street, 0 - Upper East Side, New York",6800,"Rental, Doorman",Approximate Sq. Feet: 896,Manhattan,Elliman,Studio, 1 Bath
5471,"234 East 23rd Street, 4A - Gramercy - Union Square, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,079",Manhattan,Elliman,2 Beds, 2 Baths
5472,"Chelsea House, 130 West 19th Street, THA - Chelsea, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,374",Manhattan,Elliman,1 Bed, 2 Baths
5473,"301 West 57th Street, 22D - Midtown, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,033",Manhattan,Elliman,2 Beds, 2 Baths
5474,"Manhattan View at MiMA, 460 West 42nd Street, 58D - Midtown, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,137",Manhattan,Elliman,2 Beds, 2 Baths
5475,"515 East 72nd Street, 27B - Upper East Side, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,015",Manhattan,Elliman,2 Beds, 2 Baths
5476,"845 United Nations Plaza, 20H - Turtle Bay, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,329",Manhattan,Elliman,2 Beds, 2 Baths
5477,"845 United Nations Plaza, 24H - Turtle Bay, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,325",Manhattan,Elliman,1 Bed, 2 Baths
5478,"164 East 61st Street, 2 - Upper East Side, New York",6795,Rental,"Approximate Sq. Feet: 1,200",Manhattan,Elliman,3 Beds, 2 Baths
5479,"198 Rivington Street, 5D - Lower East Side, New York",6795,Condo,Listing ID: 3865499,Manhattan,Elliman,4 Beds, 2 Baths
5480,"260 West 26th Street, 12R - Chelsea, New York",6795,"Rental, Doorman",Listing ID: 3826149,Manhattan,Elliman,2 Beds, 2 Baths
5481,"135 West 52nd Street, 10E - Midtown, New York",6795,"Condo, Doorman","Approximate Sq. Feet: 1,124",Manhattan,Elliman,2 Beds, 2 Baths
5482,"845 United Nations Plaza, 18H - Turtle Bay, New York",6795,"Condo, Doorman","Approximate Sq. Feet: 1,329",Manhattan,Elliman,2 Beds, 2 Baths
5483,"42-12 28th Street, 44C - Long Island City, New York",6760,Condo,"Approximate Sq. Feet: 1,305",Manhattan,Elliman,3 Beds, 2 Baths
5484,"The Setai Wall Street, 40 Broad Street, PH2F - Financial District, New York",6750,"Condo, Doorman","Approximate Sq. Feet: 1,292",Manhattan,Elliman,2 Beds, 2 Baths 
5485,"ALLEGRO, 62 West 62nd Street, 16A - Lincoln Square, New York",6750,"Condo, Doorman","Approximate Sq. Feet: 1,380",Manhattan,Elliman,2 Beds, 3 Baths
5486,"61 East 86 Owners Corp., 61 East 86th Street, 65 - Carnegie Hill, New York",6750,"Cooperative, Doorman",Listing ID: 3816312,Manhattan,Elliman,3 Beds, 1 Bath
5487,"300 East 55th Street, 7D - Midtown, New York",6750,"Condo, Doorman","Approximate Sq. Feet: 1,322",Manhattan,Elliman,2 Beds, 2 Baths
5488,"ICE HOUSE, 354 Broome Street, 3H - SoHo - Nolita, New York",6750,"Condo, Doorman","Approximate Sq. Feet: 1,033",Manhattan,Elliman,Loft, 1 Bed 
5489,"199 Second Avenue, 3 - East Village, New York",6750,,"Approximate Sq. Feet: 1,428",Manhattan,Elliman,3 Beds, 1 Bath
5490,"DOWNTOWN BY STARCK, 15 Broad Street, 3022 - Financial District, New York",6750,"Condo, Doorman",Listing ID: 3867633,Manhattan,Elliman,Loft, 2 Beds 
5491,"Manhattan House, 200 East 66th Street, A1905 - Upper East Side, New York",6750,"Condo, Doorman",Approximate Sq. Feet: 919,Manhattan,Elliman,1 Bed, 1 Bath
5492,"515 East 72nd Street, 30B - Upper East Side, New York",6750,"Condo, Doorman","Approximate Sq. Feet: 1,015 | Approximate Exterior Sq. Ft: 40",Manhattan,Elliman,2 Beds, 2 Baths
5493,"CitySpire, 150 West 56th Street, 6302 - Midtown, New York",6750,"Condo, Doorman",Listing ID: 3801663,Manhattan,Elliman,2 Beds, 2 Baths
5494,"412 West 110th Street, 72 - Upper West Side, New York",6745,"Rental, Doorman","Approximate Sq. Feet: 1,800",Manhattan,Elliman,3 Beds, 2 Baths
5495,"626 First Avenue, E40G - Midtown, New York",6720,Rental,Listing ID: 3862078,Manhattan,Elliman,1 Bed, 1 Bath
5496,"Sedona Condos, 270 West 19th Street, 6B - Chelsea, New York",6707,Condo,"Approximate Sq. Feet: 1,085",Manhattan,Elliman,1 Bed, 2 Baths
5497,"67 Liberty Street, 10 - Financial District, New York",6700,Condo,"Approximate Sq. Feet: 1,660",Manhattan,Elliman,2 Beds, 2 Baths
5498,"314 West 58th Street, 4AB - Clinton, New York",6700,Rental,"Approximate Sq. Feet: 1,200",Manhattan,Elliman,4 Beds, 2 Baths
5499,"605 West 142nd Street, PH1U - Hamilton Heights, New York",6700,Rental,Approximate Sq. Feet: 830,Manhattan,Elliman,1 Bed, 1 Bath 
5500,"Madison Belvedere, 10 East 29th Street, 48D - NoMad, New York",6695,"Rental, Doorman",Listing ID: 3888609,Manhattan,Elliman,1 Bed, 1 Bath
5501,"OXFORD CONDO, 422 East 72nd Street, 4C - Upper East Side, New York",6650,"Condo, Doorman","Approximate Sq. Feet: 1,200",Manhattan,Elliman,2 Beds, 2 Baths
5502,"242 West 53rd Street, 29A - Midtown, New York",6625,Condo,Listing ID: 3889697,Manhattan,Elliman,2 Beds, 2 Baths
5503,"Madison Belvedere, 10 East 29th Street, 42D - NoMad, New York",6625,"Rental, Doorman",Listing ID: 3893814,Manhattan,Elliman,1 Bed, 1 Bath
5504,"67 Wall Street, 19H - Financial District, New York",6625,"Rental, Doorman","Approximate Sq. Feet: 1,157",Manhattan,Elliman,3 Beds, 2 Baths
5505,"101 First Avenue, 4 - East Village, New York",6600,Rental,Listing ID: 3878422,Manhattan,Elliman,3 Beds, 1 Bath
5506,"433 East 13th Street, 722N - East Village, New York",6600,Rental,Listing ID: 3885770,Manhattan,Elliman,2 Beds, 2 Baths
5507,"1182 Broadway, 12D - NoMad, New York",6600,"Condo, Doorman",Approximate Sq. Feet: 915,Manhattan,Elliman,1 Bed, 1 Bath 
5508,"47 East 7th Street, B1 - East Village, New York",6600,Rental,Listing ID: 3893406,Manhattan,Elliman,3 Beds, 2 Baths
5509,"95 Avenue A, 5D - East Village, New York",6600,Rental,Listing ID: 3841604,Manhattan,Elliman,4 Beds, 2 Baths
5510,"212 East 14th Street, 1F - Gramercy - Union Square, New York",6600,Rental,Listing ID: 3891759,Manhattan,Elliman,4 Beds, 2 Baths
5511,"281 Grand Street, 5F - Lower East Side, New York",6600,,Listing ID: 3877693,Manhattan,Elliman,Loft, 4 Beds 
5512,"71 Second Avenue, 4 - East Village, New York",6600,,"Approximate Sq. Feet: 1,420",Manhattan,Elliman,3 Beds, 1 Bath
5513,"71 Second Avenue, 5 - East Village, New York",6600,,"Approximate Sq. Feet: 1,420",Manhattan,Elliman,3 Beds, 1 Bath
5514,"245 West 25th Street, 5E - Chelsea, New York",6600,Rental,Listing ID: 3829712,Manhattan,Elliman,2 Beds, 2 Baths
5515,"322 West 57th Street, 46P1 - Midtown, New York",6600,"Condo, Doorman","Approximate Sq. Feet: 1,179",Manhattan,Elliman,1 Bed, 1 Bath
5516,"260 Park Avenue South, 7F - Flatiron District, New York",6600,"Condo, Doorman","Approximate Sq. Feet: 1,037",Manhattan,Elliman,Loft, 1 Bed 
5517,"RIVER PLACE, 650 West 42nd Street, PH212 - Clinton, New York",6590,"Rental, Doorman","Approximate Sq. Feet: 1,150",Manhattan,Elliman,2 Beds, 2 Baths
5518,"Elizabeth Lofts, 254 Elizabeth Street, 3R - Little Italy - Chinatown, New York",6550,Condo,Listing ID: 3816843,Manhattan,Elliman,Loft, 2 Beds 
5519,"239 West 12th Street, 4B - West Village - Meatpacking District, New York",6500,Multi-Family,"Approximate Sq. Feet: 1,000",Manhattan,Elliman,3 Beds, 2 Baths
5520,"196 Elizabeth Street, 521 - Little Italy - Chinatown, New York",6500,Rental,"Approximate Sq. Feet: 1,000",Manhattan,Elliman,3 Beds, 2 Baths
5521,"329 East 10th Street, 9 - East Village, New York",6500,Rental,Listing ID: 3860296,Manhattan,Elliman,3 Beds, 1 Bath
5522,"110 West 96th Street, 8A - Upper West Side, New York",6500,Rental,Listing ID: 3869661,Manhattan,Elliman,3 Beds, 3 Baths
5523,"111 Fourth Avenue, 9FG - Greenwich Village, New York",6500,"Cooperative, Doorman",Listing ID: 3784988,Manhattan,Elliman,Loft, 2 Beds 
5524,"Courthouse Apartments, 43 West 16th Street, 1B - Flatiron District, New York",6500,Rental,Listing ID: 3836375,Manhattan,Elliman,2 Beds, 2 Baths
5525,"THE JACKSON, 13-33 Jackson Avenue, 10D - Long Island City, New York",6500,Condo,Listing ID: 3802506,Manhattan,Elliman,3 Beds, 2 Baths
5526,"CENTURY TOWERS, 175 West 12th Street, 17B - Greenwich Village, New York",6500,"Condo, Doorman",Listing ID: 3873859,Manhattan,Elliman,2 Beds, 1 Bath 
5527,"Park House, 116 Central Park South, 3B - Central Park South, New York",6500,"Condo, Doorman",Listing ID: 3869154,Manhattan,Elliman,2 Beds, 2 Baths 
5528,"SPICE LOFT HOUSE CO, 165 Hudson Street, 5C - TriBeCa, New York",6500,Cooperative,"Approximate Sq. Feet: 1,650",Manhattan,Elliman,Loft, 2 Beds 
5529,"588 Apts Corp., 588 West End Avenue, 10B - Upper West Side, New York",6500,"Cooperative, Doorman",Listing ID: 3865426,Manhattan,Elliman,2 Beds, 2 Baths
5530,"136 William Street, 2A - Financial District, New York",6500,Rental,Listing ID: 3872090,Manhattan,Elliman,4 Beds, 2 Baths
5531,"375 Broome Street, 8A - SoHo - Nolita, New York",6500,Rental,Listing ID: 3888418,Manhattan,Elliman,5 Beds, 2 Baths
5532,"375 Broome Street, 8 - SoHo - Nolita, New York",6500,Rental,"Approximate Sq. Feet: 1,200",Manhattan,Elliman,5 Beds, 1 Bath
5533,"375 Broome Street, 9 - SoHo - Nolita, New York",6500,Rental,Listing ID: 3885485,Manhattan,Elliman,5 Beds, 2 Baths
5534,"209 West 138th Street, TH - Harlem, New York",6500,Rental,"Approximate Sq. Feet: 2,248",Manhattan,Elliman,4 Beds, 2 Baths 
5535,"225 E 34th Street, 14C - New York, New York",6500,Rental,"Approximate Sq. Feet: 1,223",Manhattan,Elliman,2 Beds, 2 Baths
5536,"92 Grove Street, 52 - Greenwich Village, New York",6500,Rental,Listing ID: 3850854,Manhattan,Elliman,2 Beds, 1 Bath
5537,"102 East 22nd Street, 1EF - Gramercy - Union Square, New York",6500,Cooperative,"Approximate Sq. Feet: 1,350",Manhattan,Elliman,2 Beds, 2 Baths
5538,"513 Third Avenue, 4 - Murray Hill, New York",6500,Multi-Family,"Approximate Sq. Feet: 1,600",Manhattan,Elliman,4 Beds, 2 Baths
5539,"GEORGETOWN PLAZA, 60 East 8th Street, 6N - Greenwich Village, New York",6500,"Condo/Cooperative, Doorman",Approximate Sq. Feet: 980,Manhattan,Elliman,1 Bed, 1 Bath
5540,"Columbus Square, 808 Columbus Avenue, 14D - Upper West Side, New York",6500,"Rental, Doorman",Listing ID: 3195927,Manhattan,Elliman,2 Beds, 1 Bath
5541,"530 Park Avenue, 19J - Upper East Side, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 800,Manhattan,Elliman,1 Bed, 1 Bath
5542,"300 East 55th Street, 5D - Midtown, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,350",Manhattan,Elliman,2 Beds, 2 Baths
5543,"210 Forsyth Street, 4 - Lower East Side, New York",6500,Cooperative,"Approximate Sq. Feet: 1,717",Manhattan,Elliman,2 Beds, 2 Baths
5544,"10 Charles Street, 4B - West Village - Meatpacking District, New York",6500,Rental,Listing ID: 3827730,Manhattan,Elliman,1 Bed, 1 Bath 
5545,"478 Ninth Avenue, 2A - Jacob Javits Center, New York",6500,Rental,Listing ID: 3892002,Manhattan,Elliman,3 Beds, 1 Bath
5546,"478 Ninth Avenue, 3S - Jacob Javits Center, New York",6500,Rental,Listing ID: 3787502,Manhattan,Elliman,3 Beds, 1 Bath
5547,"88 Mulberry Street, 6 - Little Italy - Chinatown, New York",6500,Rental,Listing ID: 3891877,Manhattan,Elliman,4 Beds, 1 Bath
5548,"182 Ninth Avenue, 3 - Chelsea, New York",6500,Condo,Listing ID: 3810418,Manhattan,Elliman,2 Beds, 2 Baths
5549,"The Douglass, 2110 Frederick Douglass Boulevard, PH3 - Harlem, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,355",Manhattan,Elliman,3 Beds, 2 Baths
5550,"BING & BING, 302 West 12th Street, 3A - West Village - Meatpacking District, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 840,Manhattan,Elliman,1 Bed, 1 Bath
5551,"7 West 108th Street, 3A - Upper West Side, New York",6500,Rental,Listing ID: 3862275,Manhattan,Elliman,5 Beds, 2 Baths
5552,"The Dillon, 425 West 53rd Street, 205 - Clinton, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,300",Manhattan,Elliman,2 Beds, 2 Baths
5553,"Park Avenue Court 20 Assoc.LP, 120 East 86th Street, 3B - Carnegie Hill, New York",6500,"Cooperative, Doorman",Listing ID: 3860486,Manhattan,Elliman,2 Beds, 1 Bath
5554,"LEVEL CLUB, 253 West 73rd Street, 10D - Upper West Side, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,200",Manhattan,Elliman,2 Beds, 2 Baths
5555,"121 East 23rd Street, 12A - Gramercy - Union Square, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 981,Manhattan,Elliman,2 Beds, 2 Baths
5556,"400 Park Avenue South, 33A - NoMad, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 820,Manhattan,Elliman,1 Bed, 1 Bath
5557,"Sutton 57, 212 East 57th Street, 7C - Sutton Area, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,260",Manhattan,Elliman,2 Beds, 3 Baths
5558,"205 East 59th Street, 8B - Upper East Side, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,133",Manhattan,Elliman,2 Beds, 2 Baths
5559,"15 Union Square West, 2A - Flatiron District, New York",6500,"Condo, Doorman",Approximate Exterior Sq. Ft: 1150,Manhattan,Elliman,1 Bed, 1 Bath
5560,"40 Avenue C, 2 - East Village, New York",6500,Rental,"Approximate Sq. Feet: 1,600",Manhattan,Elliman,4 Beds, 2 Baths 
5561,"2300 Frederick Douglass Boulevard, 10C - Harlem, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,800",Manhattan,Elliman,Loft, 3 Beds 
5562,"838 Greenwich Street, PHC - West Village - Meatpacking District, New York",6500,Cooperative,Listing ID: 3826280,Manhattan,Elliman,1 Bed, 1 Bath 
5563,"Horizon, 415 East 37th Street, 43J - Murray Hill, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,078",Manhattan,Elliman,2 Beds, 2 Baths
5564,"The Grand Madison, 225 Fifth Avenue, 7R - NoMad, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,049",Manhattan,Elliman,1 Bed, 1 Bath 
5565,"Longacre House, 305 West 50th Street, 8C - Clinton, New York",6500,"Rental, Doorman",Listing ID: 3373390,Manhattan,Elliman,2 Beds, 1 Bath
5566,"Atelier, 635 West 42nd Street, 45T - Clinton, New York",6500,"Condo, Doorman",Listing ID: 3553783,Manhattan,Elliman,3 Beds, 2 Baths
5567,"Atelier, 635 West 42nd Street, PHE5 - Clinton, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,150",Manhattan,Elliman,2 Beds, 2 Baths
5568,"Atelier, 635 West 42nd Street, 32F - Clinton, New York",6500,"Condo, Doorman",Listing ID: 3855040,Manhattan,Elliman,3 Beds, 2 Baths
5569,"254 Park Avenue South, 9KL - Flatiron District, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 949,Manhattan,Elliman,Loft, 2 Beds 
5570,"The Charleston, 225 East 34th Street, 14C - Murray Hill, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,223",Manhattan,Elliman,2 Beds, 2 Baths
5571,"THE ADELINE, 23 West 116TH Street, 4A - Harlem, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,640",Manhattan,Elliman,3 Beds, 2 Baths
5572,"110 East End Avenue, 5AL - Upper East Side, New York",6500,"Rental, Doorman",Listing ID: 3875309,Manhattan,Elliman,3 Beds, 2 Baths
5573,"One Morningside Park Condo, 321 West 110TH Street, 14A - Upper West Side, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,108",Manhattan,Elliman,2 Beds, 2 Baths
5574,"TRUMP TOWER, 721 Fifth Avenue, 57C - Midtown, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,138",Manhattan,Elliman,1 Bed, 1 Bath 
5575,"TRUMP TOWER, 721 Fifth Avenue, 56 - Midtown, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,137",Manhattan,Elliman,1 Bed, 1 Bath 
5576,"11 East 29th Street, 10C - NoMad, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,374",Manhattan,Elliman,2 Beds, 2 Baths
5577,"117 East 57th Street, 28B - Midtown, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,400",Manhattan,Elliman,2 Beds, 2 Baths
5578,"40 Central Park South, 4H - Central Park South, New York",6500,"Rental, Doorman","Approximate Sq. Feet: 1,160",Manhattan,Elliman,2 Beds, 2 Baths
5579,"Hudson View Terrace, 747 Tenth Avenue, 38E - Clinton, New York",6500,"Rental, Doorman","Approximate Sq. Feet: 1,050",Manhattan,Elliman,4 Beds, 1 Bath 
5580,"BING & BING, 302 West 12th Street, 3A - West Village - Meatpacking District, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 840,Manhattan,Elliman,1 Bed, 1 Bath
5581,"7 West 108th Street, 3A - Upper West Side, New York",6500,Rental,Listing ID: 3862275,Manhattan,Elliman,5 Beds, 2 Baths
5582,"The Dillon, 425 West 53rd Street, 205 - Clinton, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,300",Manhattan,Elliman,2 Beds, 2 Baths
5583,"Park Avenue Court 20 Assoc.LP, 120 East 86th Street, 3B - Carnegie Hill, New York",6500,"Cooperative, Doorman",Listing ID: 3860486,Manhattan,Elliman,2 Beds, 1 Bath
5584,"LEVEL CLUB, 253 West 73rd Street, 10D - Upper West Side, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,200",Manhattan,Elliman,2 Beds, 2 Baths
5585,"121 East 23rd Street, 12A - Gramercy - Union Square, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 981,Manhattan,Elliman,2 Beds, 2 Baths
5586,"400 Park Avenue South, 33A - NoMad, New York",6500,"Condo, Doorman",Approximate Sq. Feet: 820,Manhattan,Elliman,1 Bed, 1 Bath
5587,"Sutton 57, 212 East 57th Street, 7C - Sutton Area, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,260",Manhattan,Elliman,2 Beds, 3 Baths
5588,"205 East 59th Street, 8B - Upper East Side, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,133",Manhattan,Elliman,2 Beds, 2 Baths
5589,"15 Union Square West, 2A - Flatiron District, New York",6500,"Condo, Doorman",Approximate Exterior Sq. Ft: 1150,Manhattan,Elliman,1 Bed, 1 Bath
5590,"40 Avenue C, 2 - East Village, New York",6500,Rental,"Approximate Sq. Feet: 1,600",Manhattan,Elliman,4 Beds, 2 Baths 
5591,"2300 Frederick Douglass Boulevard, 10C - Harlem, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,800",Manhattan,Elliman,Loft, 3 Beds 
5592,"838 Greenwich Street, PHC - West Village - Meatpacking District, New York",6500,Cooperative,Listing ID: 3826280,Manhattan,Elliman,1 Bed, 1 Bath 
5593,"Horizon, 415 East 37th Street, 43J - Murray Hill, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,078",Manhattan,Elliman,2 Beds, 2 Baths
5594,"The Grand Madison, 225 Fifth Avenue, 7R - NoMad, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,049",Manhattan,Elliman,1 Bed, 1 Bath 
5595,"Longacre House, 305 West 50th Street, 8C - Clinton, New York",6500,"Rental, Doorman",Listing ID: 3373390,Manhattan,Elliman,2 Beds, 1 Bath
5596,"Atelier, 635 West 42nd Street, 45T - Clinton, New York",6500,"Condo, Doorman",Listing ID: 3553783,Manhattan,Elliman,3 Beds, 2 Baths
