,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
67,"Clifton Pl - Clinton Hill, New York",5250,Rental,Listing ID: 3841400,Brooklyn,Elliman,3 Beds, 2 Baths
68,"North 9th Street - Williamsburg, New York",5228,Rental,Listing ID: 3710773,Brooklyn,Elliman,2 Beds, 1 Bath
69,"Berry Street - Williamsburg, New York",5200,"Rental, Doorman","Approximate Sq. Feet: 1,168",Brooklyn,Elliman,2 Beds, 1 Bath
70,"365 Bond Street, B703 - Gowanus, New York",5200,"Rental, Doorman",Listing ID: 3314021,Brooklyn,Elliman,1 Bed, 1 Bath
71,"136 Union Street, 1 - Columbia Street Waterfront District, New York",5150,,Listing ID: 3853956,Brooklyn,Elliman,3 Beds, 2 Baths
72,"546 Pacific Street, 2 - Boerum Hill, New York",5100,Multi-Family,"Approximate Sq. Feet: 1,400",Brooklyn,Elliman,3 Beds, 1 Bath
73,"Berry Street - Williamsburg, New York",5045,"Rental, Doorman","Approximate Sq. Feet: 1,119",Brooklyn,Elliman,2 Beds, 1 Bath
74,"Bridge Harbor Heights, 55 Poplar Street, 2A - Brooklyn Heights, New York",5000,Condo,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,Loft, 2 Beds 
75,"Clifton Pl - Clinton Hill, New York",5000,Rental,"Approximate Sq. Feet: 1,450",Brooklyn,Elliman,Loft, 4 Beds 
76,"380 South 5th Street, 2 - Williamsburg, New York",4995,Rental,Listing ID: 3871854,Brooklyn,Elliman,3 Beds, 2 Baths
77,"THE GRETSCH BUILDING, 60 Broadway, 6N - Williamsburg, New York",4995,"Condo, Doorman","Approximate Sq. Feet: 1,140",Brooklyn,Elliman,Loft, 1 Bed 
78,"Clinton Street - Brooklyn Heights, New York",4900,Rental,"Approximate Sq. Feet: 1,000",Brooklyn,Elliman,2 Beds, 2 Baths
79,"475 Clermont Avenue, 340D - Fort Greene, New York",4895,Rental,Listing ID: 3872914,Brooklyn,Elliman,2 Beds, 2 Baths
80,"Clinton Street - Brooklyn Heights, New York",4850,Rental,Listing ID: 3888129,Brooklyn,Elliman,2 Beds, 2 Baths
81,"32 Fifth Avenue, 2A - Park Slope, New York",4800,,Listing ID: 3847645,Brooklyn,Elliman,2 Beds, 2 Baths
82,"372 Dekalb Avenue, 4F - Clinton Hill, New York",4775,"Cooperative, Doorman","Approximate Sq. Feet: 1,290",Brooklyn,Elliman,Loft, 2 Beds 
83,"Dean Street - Park Slope, New York",4775,Rental,Approximate Sq. Feet: 742,Brooklyn,Elliman,3 Beds, 1 Bath
84,"141 Summit Street, 1 - Carroll Gardens, New York",4750,Multi-Family,"Approximate Sq. Feet: 1,500",Brooklyn,Elliman,2 Beds, 1 Bath
85,"32 Fifth Avenue, 3B - Park Slope, New York",4700,,Listing ID: 3847651,Brooklyn,Elliman,2 Beds, 2 Baths
86,"16 MONROE PL, 10 - Brooklyn Heights, New York",4700,Rental,Listing ID: 3738461,Brooklyn,Elliman,2 Beds, 1 Bath
87,"St James Pl - Clinton Hill, New York",4650,Rental,Listing ID: 3886386,Brooklyn,Elliman,2 Beds, 2 Baths
88,"32 Fifth Avenue, 3A - Park Slope, New York",4600,,Listing ID: 3847647,Brooklyn,Elliman,2 Beds, 2 Baths
89,"Driggs Avenue - Williamsburg, New York",4600,"Rental, Doorman",Approximate Sq. Feet: 913,Brooklyn,Elliman,1 Bed, 1 Bath
90,"300 Ashland Pl, PHG - Fort Greene, New York",4587,"Rental, Doorman",Listing ID: 3892152,Brooklyn,Elliman,1 Bed, 1 Bath
91,"136 Union Street, 2 - Columbia Street Waterfront District, New York",4500,,Listing ID: 3854942,Brooklyn,Elliman,3 Beds, 2 Baths
92,"32 Fifth Avenue, 2B - Park Slope, New York",4500,,Listing ID: 3847646,Brooklyn,Elliman,2 Beds, 2 Baths
93,"255 1st Street, 11B - Park Slope, New York",4500,"Condo, Doorman","Approximate Sq. Feet: 1,160",Brooklyn,Elliman,2 Beds, 2 Baths
95,"Schermerhorn Street - Fort Greene, New York",4450,"Rental, Doorman",Approximate Sq. Feet: 600,Brooklyn,Elliman,1 Bed, 1 Bath
96,"1801 Dorchester Rd, 2E - Ditmas Park, New York",4400,"Rental, Doorman",Listing ID: 3861876,Brooklyn,Elliman,3 Beds, 2 Baths
97,"164 South 3rd Street, 1B - Williamsburg, New York",4400,Multi-Family,Listing ID: 3826070,Brooklyn,Elliman,2 Beds, 1 Bath
99,"Caton Pl - Windsor Terrace, New York",4325,"Rental, Doorman","Approximate Sq. Feet: 1,015",Brooklyn,Elliman,2 Beds, 2 Baths
100,"918 Ditmas Avenue, 2 - Kensington, New York",4300,Multi-Family,Listing ID: 3853428,Brooklyn,Elliman,5 Beds, 2 Baths
101,"10th Street - Park Slope, New York",4295,Rental,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,3 Beds, 2 Baths
102,"290 Greene Avenue, 3 - Clinton Hill, New York",4200,Multi-Family,Approximate Sq. Feet: 930,Brooklyn,Elliman,2 Beds, 1 Bath
103,"115 Greenpoint Avenue, D2 - Greenpoint, New York",4200,Rental,Listing ID: 3858380,Brooklyn,Elliman,3 Beds, 2 Baths
104,"THE CARLTON, 82 Irving Pl, 1B - Clinton Hill, New York",4200,Condo,"Approximate Sq. Feet: 1,271 | Approximate Exterior Sq. Ft: 364",Brooklyn,Elliman,2 Beds, 1 Bath 
105,"Gair2, 25 Washington Street, 8D - Dumbo, New York",4195,Rental,Approximate Sq. Feet: 543,Brooklyn,Elliman,1 Bed, 1 Bath
106,"475 Clermont Avenue, 224A - Fort Greene, New York",4195,Rental,Listing ID: 3872904,Brooklyn,Elliman,2 Beds, 1 Bath 
107,"300 Ashland Pl, 28R - Fort Greene, New York",4125,"Rental, Doorman",Listing ID: 3888404,Brooklyn,Elliman,1 Bed, 1 Bath
108,"142 Chester Avenue, 1A - Kensington, New York",4125,Rental,Listing ID: 3777841,Brooklyn,Elliman,3 Beds, 1 Bath 
109,"Atlantic Avenue - Cobble Hill, New York",4030,Rental,Approximate Sq. Feet: 782,Brooklyn,Elliman,1 Bed, 1 Bath
112,"42 Butler Street, 3 - Cobble Hill, New York",4000,Rental,Listing ID: 3894347,Brooklyn,Elliman,2 Beds, 1 Bath
113,"Montague Street - Brooklyn Heights, New York",4000,Rental,Listing ID: 3892428,Brooklyn,Elliman,2 Beds, 1 Bath
115,"14th Street - Park Slope, New York",4000,Single Family Townhouse,"Approximate Sq. Feet: 1,472",Brooklyn,Elliman,2 Beds, 1 Bath
116,"111 Greenpoint Avenue, C2 - Greenpoint, New York",4000,Rental,"Approximate Sq. Feet: 1,050",Brooklyn,Elliman,3 Beds, 2 Baths
117,"115 Greenpoint Avenue, A4 - Greenpoint, New York",4000,Rental,Listing ID: 3716645,Brooklyn,Elliman,2 Beds, 1 Bath 
118,"115 Greenpoint Avenue, A1 - Greenpoint, New York",4000,Rental,Listing ID: 3722108,Brooklyn,Elliman,2 Beds, 1 Bath 
119,"75 Kingsland Avenue, 3B - Williamsburg, New York",4000,Condo,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,2 Beds, 1 Bath
121,"365 Bond Street, C422 - Gowanus, New York",3992,"Rental, Doorman",Listing ID: 3888637,Brooklyn,Elliman,1 Bed, 1 Bath
122,"150 Myrtle Avenue, 1606 - Downtown Brooklyn, New York",3950,"Condo, Doorman","Approximate Sq. Feet: 1,033",Brooklyn,Elliman,2 Beds, 2 Baths
123,"Caton Pl - Windsor Terrace, New York",3942,"Rental, Doorman",Listing ID: 3569062,Brooklyn,Elliman,2 Beds, 2 Baths
124,"44 1st Pl, PARLOR - Carroll Gardens, New York",3900,Multi-Family,Listing ID: 3864895,Brooklyn,Elliman,1 Bed, 1 Bath
125,"662 Vanderbilt Street, 1 - Windsor Terrace, New York",3900,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 1 Bath
126,"81 Ocean Pkwy, 5B - Windsor Terrace, New York",3900,Cooperative,Listing ID: 3835528,Brooklyn,Elliman,3 Beds, 2 Baths
127,"295 Columbia Street, 3 - Columbia Street Waterfront District, New York",3900,Rental,Listing ID: 3760221,Brooklyn,Elliman,2 Beds, 2 Baths
128,"257 15th Street, PH2 - Park Slope, New York",3900,Rental,Listing ID: 3877157,Brooklyn,Elliman,2 Beds, 2 Baths
129,"14th Street - Park Slope, New York",3850,Rental,Approximate Sq. Feet: 761,Brooklyn,Elliman,2 Beds, 1 Bath
130,"Caton Pl - Windsor Terrace, New York",3850,"Rental, Doorman",Approximate Sq. Feet: 940,Brooklyn,Elliman,2 Beds, 2 Baths
131,"Gates Avenue - Bedford - Stuyvesant, New York",3800,Multi-Family,Listing ID: 3799688,Brooklyn,Elliman,3 Beds, 2 Baths
132,"Halsey Street - Bushwick, New York",3800,Multi-Family,Listing ID: 3843930,Brooklyn,Elliman,4 Beds, 1 Bath
133,"Ashland Pl - Fort Greene, New York",3750,Rental,Listing ID: 3843449,Brooklyn,Elliman,1 Bed, 1 Bath
134,"198 17th Street, 2 - Park Slope, New York",3750,Rental,Listing ID: 3869429,Brooklyn,Elliman,3 Beds, 1 Bath
135,"365 Bond Street, C601 - Gowanus, New York",3735,"Rental, Doorman",Listing ID: 3895590,Brooklyn,Elliman,1 Bed, 1 Bath
