Address,Price,Description,Neighborhood,Boro
"307 Mott Street, Apt. 2A",3600,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
Leonard Street,6750,"1 Bed / 2 Baths / 1,389 Sq. Ft. / Condo",Tribeca,Manhattan
Central Park South,6250,1 Bed / 1 Bath / 980 Sq. Ft. / Rental,Central Park South,Manhattan
"330 East 38th Street, Apt. 12N",9999,"3 Beds / 3 Baths / 1,700 Sq. Ft. / Condo",Murray Hill,Manhattan
West 108th Street,2300,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
East 21st Street,2700,1 Bed / 1 Bath / Rental,Gramercy,Manhattan
Second Avenue,2250,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West 58th Street,3100,Studio / 1 Bath / 601 Sq. Ft. / Condo,Midtown West,Manhattan
"2259 Seventh Avenue, Apt. 2E",4300,4 Beds / 2 Baths / Rental,Midtown West,Manhattan
"25 Tudor City Place, Apt. 419",2700,1 Bed / 1 Bath / 500 Sq. Ft. / Co-op,Murray Hill,Manhattan
2ND Avenue,1850,1 Bed / 1 Bath / 450 Sq. Ft. / Rental,East Harlem,Manhattan
Riverside Drive,3295,3 Beds / 1 Bath / Rental,Harlem,Manhattan
"56 West 127th Street, Apt. 3B",3000,2 Beds / 1 Bath / Rental,Harlem,Manhattan
"330 East 119th Street, Apt. 1B",2475,1 Bed / 1 Bath / 500 Sq. Ft. / Condo,East Harlem,Manhattan
Avenue A,3200,2 Beds / 1 Bath / 700 Sq. Ft. / Rental,East Village,Manhattan
West 136th Street,4500,"3 Units / 4 Floors / 2,500 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
East 82nd Street,16500,Studio / Rental,Upper East Side,Manhattan
"79 West 127th Street, Apt. 4B",2250,1 Bed / 1 Bath / Rental,Harlem,Manhattan
Park Avenue,3795,1 Bed / 1 Bath / 750 Sq. Ft. / Rental,Murray Hill,Manhattan
West 44th Street,2900,1 Bed / 1 Bath / Co-op,Clinton,Manhattan
West 25th Street,6500,"1 Bed / 2 Baths / 1,200 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
West 141st Street,2660,"3 Beds / 1 Bath / 1,500 Sq. Ft. / Rental",Harlem,Manhattan
"14 Jones Street, Apt. 3A",2925,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
Park Avenue South,5795,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
Howard Street,5295,1 Bed / 1 Bath / 980 Sq. Ft. / Rental,Soho/Nolita,Manhattan
7TH Avenue,2995,3 Beds / 2 Baths / Rental,Harlem,Manhattan
"252 South Street, Apt. 10K",3845,1 Bed / 1 Bath / 695 Sq. Ft. / Condo,Lower East Side,Manhattan
West 23rd Street,7000,"2 Beds / 2 Baths / 1,234 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
West 33rd Street,3510,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
West 33rd Street,3095,Studio / 1 Bath / Rental,Midtown West,Manhattan
West Street,4095,1 Bed / 1 Bath / 796 Sq. Ft. / Rental,Battery Park City,Manhattan
"449 West 24th Street, Apt. Triplex",17950,"4 Units / 4 Floors / 4,073 Sq. Ft. / Multi-Family Townhouse",Chelsea/Hudson Yards,Manhattan
"135 West 58th Street, Apt. 4C",7750,3 Beds / 3 Baths / Co-op,Midtown West,Manhattan
"242 East 38th Street, Apt. 4E",2550,Studio / 1 Bath / 500 Sq. Ft. / Co-op,Murray Hill,Manhattan
East 54th Street,3495,1 Bed / 1 Bath / Rental,Midtown East,Manhattan
East 65th Street,10015,"3 Beds / 3 Baths / 1,750 Sq. Ft. / Condo",Upper East Side,Manhattan
West 177th Street,2600,3 Beds / 1 Bath / 750 Sq. Ft. / Rental,Washington Heights,Manhattan
East 67th Street,2600,2 Beds / 1 Bath / Co-op,Upper East Side,Manhattan
East 64th Street,20000,"4 Beds / 4 Baths / 2,925 Sq. Ft. / Condo",Upper East Side,Manhattan
West 52nd Street,6350,"2 Beds / 2 Baths / 1,001 Sq. Ft. / Condo",Midtown West,Manhattan
West 86th Street,2775,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
Reade Street,3550,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
West 88th Street,2750,9 Units / 5 Floors / 600 Sq. Ft. / Multi-Family Townhouse,Upper West Side,Manhattan
"244 West 64th Street, Apt. 6A",2925,2 Beds / 1 Bath / 800 Sq. Ft. / Rental,Upper West Side,Manhattan
Wall Street,5500,"1 Bed / 1 Bath / 1,304 Sq. Ft. / Condo",Financial District,Manhattan
East 29th Street,2300,6 Units / 4 Floors / Multi-Family Townhouse,Murray Hill,Manhattan
East 29th Street,2695,Studio / 1 Bath / 450 Sq. Ft. / Rental,Murray Hill,Manhattan
West 57th Street,3300,1 Bed / 1 Bath / 625 Sq. Ft. / Condo,Clinton,Manhattan
Broad Street,4850,1 Bed / 1 Bath / 964 Sq. Ft. / Condo,Financial District,Manhattan
West 211th Street,1650,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Inwood,Manhattan
East 28th Street,3895,2 Beds / 1 Bath / 800 Sq. Ft. / Co-op,Murray Hill,Manhattan
East 65th Street,2700,Studio / 1 Bath / 406 Sq. Ft. / Condo,Upper East Side,Manhattan
East 57th Street,2850,Studio / 1 Bath / 649 Sq. Ft. / Rental,Sutton Area,Manhattan
East 55th Street,3600,1 Bed / 1 Bath / 708 Sq. Ft. / Rental,Midtown East,Manhattan
Lexington Avenue,2700,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
Post Avenue,2750,3 Beds / 1 Bath / 850 Sq. Ft. / Rental,Inwood,Manhattan
East 49th Street,2075,Studio / 1 Bath / Rental,Midtown East,Manhattan
"344 East 85th Street, Apt. 1F",6995,3 Beds / 2 Baths / Rental,Upper East Side,Manhattan
East 70th Street,2650,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West 24th Street,3130,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Riverside Drive,3500,2 Beds / 1 Bath / Rental,Upper West Side,Manhattan
East 33rd Street,3750,2 Beds / 1 Bath / Rental,Murray Hill,Manhattan
East 29th Street,6499,1 Bed / 1 Bath / Rental,Flatiron,Manhattan
West 25th Street,4075,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Hudson Yards,10500,"2 Beds / 2 Baths / 1,571 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
West End Avenue,4195,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
West 46th Street,2095,Studio / 1 Bath / 410 Sq. Ft. / Co-op,Clinton,Manhattan
East 54th Street,1895,Studio / 1 Bath / Rental,Midtown East,Manhattan
William Street,4200,1 Bed / 1 Bath / 698 Sq. Ft. / Condo,Financial District,Manhattan
"562 West End Avenue, Apt. 5-C",2595,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
Second Avenue,9500,2 Beds / 2 Baths / Rental,Midtown East,Manhattan
William Street,3650,Studio / 1 Bath / 700 Sq. Ft. / Condo,Financial District,Manhattan
West 52nd Street,3995,1 Bed / 1 Bath / 635 Sq. Ft. / Condo,Midtown West,Manhattan
West 64th Street,3950,1 Bed / 1 Bath / 600 Sq. Ft. / Condo,Upper West Side,Manhattan
"77 West 55th Street, Apt. 15A",2500,Studio / 1 Bath / Condo,Midtown West,Manhattan
"122 MULBERRY Street, Apt. 5",4150,2 Beds / 1 Bath / Co-op,Chinatown,Manhattan
Washington Place,14000,"4 Floors / 1,600 Sq. Ft. / Single Family Townhouse",Greenwich Village,Manhattan
Thompson Street,4290,2 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
"41 West 58th Street, Apt. 3B",4500,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Rental",Midtown West,Manhattan
"140 West 12th Street, Apt. 302",29500,"4 Beds / 4 Baths / 3,088 Sq. Ft. / Condo",West Village,Manhattan
"145 Lexington Avenue, Apt. 5",8000,"2 Beds / 2 Baths / 1,320 Sq. Ft. / Condo",Murray Hill,Manhattan
Leonard Street,27500,"3 Beds / 3 Baths / 2,600 Sq. Ft. / Rental",Tribeca,Manhattan
East 46th Street,3450,1 Bed / 1 Bath / 800 Sq. Ft. / Condo/Co-op,Midtown East,Manhattan
"155 East 34th Street, Apt. 4P",3850,1 Bed / 1 Bath / 820 Sq. Ft. / Condo,Murray Hill,Manhattan
Central Park South,4350,1 Bed / 1 Bath / 760 Sq. Ft. / Rental,Central Park South,Manhattan
Park Avenue,3000,1 Bed / 1 Bath / 498 Sq. Ft. / Rental,Murray Hill,Manhattan
West 43rd Street,3950,10 Units / 5 Floors / Multi-Family Townhouse,Clinton,Manhattan
West 56th Street,8200,"2 Beds / 2 Baths / 1,320 Sq. Ft. / Condo",Midtown West,Manhattan
West 67th Street,4855,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"135 East 54th Street, Apt. 3E",6450,"2 Beds / 2 Baths / 1,150 Sq. Ft. / Condo",Midtown East,Manhattan
East 7th Street,2400,1 Bed / 1 Bath / Rental,East Village,Manhattan
East 13th Street,7000,"1 Bed / 1 Bath / 1,160 Sq. Ft. / Co-op",Greenwich Village,Manhattan
"37 Wall Street, Apt. 24H",2775,Studio / 1 Bath / 475 Sq. Ft. / Rental,Financial District,Manhattan
West 63rd Street,4445,1 Bed / 1 Bath / 744 Sq. Ft. / Rental,Upper West Side,Manhattan
East 34th Street,4050,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
First Avenue,2579,1 Bed / 1 Bath / Rental,East Village,Manhattan
East 72nd Street,3650,1 Bed / 1 Bath / 611 Sq. Ft. / Condo,Upper East Side,Manhattan
Leonard Street,4800,1 Bed / 1 Bath / 712 Sq. Ft. / Rental,Tribeca,Manhattan
East 65th Street,2450,Studio / 1 Bath / Rental,Upper East Side,Manhattan
South William Street,3250,1 Bed / 1 Bath / 709 Sq. Ft. / Condo,Financial District,Manhattan
Second Avenue,11895,3 Beds / 3 Baths / Rental,Midtown East,Manhattan
Leonard Street,4650,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
East 13th Street,3500,Studio / 1 Bath / 300 Sq. Ft. / Co-op,East Village,Manhattan
East 81st Street,15000,3 Beds / 2 Baths / Rental,Upper East Side,Manhattan
East 55th Street,3775,1 Bed / 1 Bath / Rental,Sutton Area,Manhattan
West 21st Street,6300,1 Bed / 1 Bath / Rental,Flatiron,Manhattan
West 77th Street,3346,Studio / 1 Bath / 525 Sq. Ft. / Rental,Upper West Side,Manhattan
Leonard Street,4875,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
East 44th Street,4350,1 Bed / 1 Bath / 651 Sq. Ft. / Rental,Midtown East,Manhattan
West 23rd Street,3175,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"30 East 68th Street, Apt. 4-C",8750,3 Beds / 2 Baths / Rental,Upper East Side,Manhattan
Albany Street,3300,1 Bed / 1 Bath / 624 Sq. Ft. / Condo,Battery Park City,Manhattan
West Street,31500,"5 Beds / 5 Baths / 4,714 Sq. Ft. / Condo",Financial District,Manhattan
East 74th Street,6495,7 Units / 5 Floors / 900 Sq. Ft. / Multi-Family Townhouse,Upper East Side,Manhattan
East 82nd Street,2595,2 Beds / 1 Bath / 750 Sq. Ft. / Co-op,Upper East Side,Manhattan
Saint Marks Place,7600,2 Beds / 1 Bath / Rental,East Village,Manhattan
West 45th Street,3550,2 Beds / 1 Bath / Rental,Clinton,Manhattan
Saint Nicholas Avenue,2500,3 Beds / 1 Bath / Rental,Washington Heights,Manhattan
West 106th Street,3200,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
West 116th Street,2895,2 Beds / 1 Bath / Rental,Morningside Heights,Manhattan
"225 East 49th Street, Apt. 5-B",2499,16 Units / 4 Floors / Multi-Family Townhouse,Midtown East,Manhattan
East 11th Street,4400,36 Units / 7 Floors / Multi-Family Townhouse,East Village,Manhattan
"551 West 21st Street, Apt. 6A",20000,"2 Beds / 2 Baths / 2,469 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
East 30th Street,6500,4 Beds / 1 Bath / Rental,Murray Hill,Manhattan
"57 West 58th Street, Apt. 9-F",2295,Studio / 1 Bath / Condo,Midtown West,Manhattan
"155 West 68th Street, Apt. 926",3000,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"77 West 55th Street, Apt. 12J",3300,1 Bed / 1 Bath / 780 Sq. Ft. / Condo,Midtown West,Manhattan
Central Park South,2795,Studio / 1 Bath / 562 Sq. Ft. / Condo,Central Park South,Manhattan
Sullivan Street,2500,Studio / 1 Bath / Co-op,Soho/Nolita,Manhattan
Murray Street,8950,"2 Beds / 2 Baths / 1,734 Sq. Ft. / Condo",Tribeca,Manhattan
West 42nd Street,6500,"2 Beds / 2 Baths / 1,250 Sq. Ft. / Condo",Clinton,Manhattan
East 82nd Street,2395,Studio / 1 Bath / Rental,Upper East Side,Manhattan
West 67th Street,6995,2 Beds / 2 Baths / 820 Sq. Ft. / Condo,Upper West Side,Manhattan
East 3rd Street,3800,1 Bed / 1 Bath / 680 Sq. Ft. / Condo/Co-op,East Village,Manhattan
West End Avenue,4200,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
East 87th Street,4600,4 Beds / 2 Baths / Rental,Upper East Side,Manhattan
West 45th Street,2225,Studio / 1 Bath / Rental,Clinton,Manhattan
East 38th Street,3650,1 Bed / 1 Bath / 629 Sq. Ft. / Condo,Murray Hill,Manhattan
East 66th Street,2995,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 63rd Street,2990,Studio / 1 Bath / 530 Sq. Ft. / Condo,Upper East Side,Manhattan
West 14th Street,3650,1 Bed / 1 Bath / 600 Sq. Ft. / Condo,West Village,Manhattan
West 47th Street,2600,Studio / 1 Bath / 450 Sq. Ft. / Condo,Clinton,Manhattan
East 75th Street,1900,Studio / 1 Bath / 325 Sq. Ft. / Rental,Upper East Side,Manhattan
East 13th Street,2900,1 Bed / 1 Bath / Rental,East Village,Manhattan
Tenth Avenue,3025,16 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
West 42nd Street,3500,Studio / 1 Bath / Rental,Clinton,Manhattan
West 46th Street,2695,1 Bed / 1 Bath / Rental,Clinton,Manhattan
West 43rd Street,3785,1 Bed / 3 Baths / Rental,Clinton,Manhattan
1ST Avenue,13416,2 Beds / 2 Baths / Condo/Co-op,Midtown East,Manhattan
Third Avenue,3650,1 Bed / 1 Bath / 835 Sq. Ft. / Condo,Carnegie Hill,Manhattan
West 121st Street,1600,3 Units / 4 Floors / 350 Sq. Ft. / Multi-Family Townhouse,Harlem,Manhattan
West 30th Street,3600,2 Beds / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Morningside Avenue,3500,1 Bed / 1 Bath / 550 Sq. Ft. / Rental,Harlem,Manhattan
United Nations Plaza,6000,"1 Bed / 1 Bath / 1,170 Sq. Ft. / Condo",Midtown East,Manhattan
Audubon Avenue,3400,"4 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Washington Heights,Manhattan
"78 Ridge Street, Apt. 6B",6250,"2 Beds / 2 Baths / 1,800 Sq. Ft. / Condo",Lower East Side,Manhattan
Lafayette Street,13500,"2 Beds / 2 Baths / 1,900 Sq. Ft. / Co-op",Soho/Nolita,Manhattan
East 52nd Street,8800,"6 Units / 7 Floors / 2,400 Sq. Ft. / Multi-Family Townhouse",Midtown East,Manhattan
Water Street,4325,1 Bed / 1 Bath / Rental,Financial District,Manhattan
"429 East 52nd Street, Apt. 31C",5077,2 Beds / 1 Bath / 930 Sq. Ft. / Rental,Beekman,Manhattan
"429 East 52nd Street, Apt. 29AB",11077,"3 Beds / 3 Baths / 1,680 Sq. Ft. / Rental",Beekman,Manhattan
West 54th Street,5500,1 Bed / 2 Baths / Rental,Clinton,Manhattan
AVE A,7565,4 Beds / 2 Baths / Rental,East Village,Manhattan
East 28th Street,5495,"2 Beds / 1 Bath / 1,100 Sq. Ft. / Co-op",Flatiron,Manhattan
West 134th Street,2400,"3 Units / 4 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
FDR Drive,3750,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Co-op",Lower East Side,Manhattan
West 101st Street,2050,Studio / 1 Bath / Rental,Upper West Side,Manhattan
East 29th Street,6655,2 Beds / 2 Baths / 823 Sq. Ft. / Rental,Flatiron,Manhattan
Broadway,6950,"2 Beds / 2 Baths / 1,280 Sq. Ft. / Condo",Upper West Side,Manhattan
Barrow Street,5750,1 Bed / 1 Bath / 850 Sq. Ft. / Condo,West Village,Manhattan
"100 West 57th Street, Apt. 6C",7400,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Co-op",Midtown West,Manhattan
West 10th Street,3400,1 Bed / 1 Bath / 432 Sq. Ft. / Condo,West Village,Manhattan
East 71st Street,2225,16 Units / 5 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
East 65th Street,8600,3 Beds / 3 Baths / Condo,Upper East Side,Manhattan
East End Avenue,2750,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 53rd Street,3529,1 Bed / 1 Bath / 850 Sq. Ft. / Condo/Co-op,Midtown East,Manhattan
East 14th Street,3995,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Flatiron,Manhattan
7TH Avenue,2995,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Morningside Avenue,7250,"2 Beds / 2 Baths / 1,300 Sq. Ft. / Rental",Harlem,Manhattan
"429 East 52nd Street, Apt. 34A",3800,1 Bed / 1 Bath / 750 Sq. Ft. / Rental,Beekman,Manhattan
East 52nd Street,5385,2 Beds / 2 Baths / 930 Sq. Ft. / Rental,Beekman,Manhattan
East 34th Street,3750,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
West 54th Street,6200,1 Bed / 1 Bath / 748 Sq. Ft. / Rental,Clinton,Manhattan
West 75th Street,2500,10 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
Adam Clayton Powell Jr Boulevard,2200,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Worth Street,3230,Studio / 1 Bath / 475 Sq. Ft. / Condo,Tribeca,Manhattan
East 71st Street,2500,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West 51st Street,3395,2 Beds / 1 Bath / Rental,Midtown West,Manhattan
Adam Clayton Powell Jr Boulevard,2200,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Adam Clayton Powell Jr Boulevard,2200,2 Beds / 1 Bath / Rental,Harlem,Manhattan
East 88th Street,2100,1 Bed / 1 Bath / Co-op,Upper East Side,Manhattan
"335 East 51st Street, Apt. 6A",3100,1 Bed / 1 Bath / 850 Sq. Ft. / Condo,Midtown East,Manhattan
West Street,2800,Studio / 1 Bath / 380 Sq. Ft. / Condo,Financial District,Manhattan
East 46th Street,3995,2 Beds / 1 Bath / 820 Sq. Ft. / Rental,Midtown East,Manhattan
"415 East 54th Street, Apt. 9E",5400,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Condo",Sutton Area,Manhattan
"15 Broad Street, Apt. 3903",11995,"3 Beds / 3 Baths / 3,000 Sq. Ft. / Condo",Financial District,Manhattan
"322 West 57th Street, Apt. 25H",4950,1 Bed / 1 Bath / 785 Sq. Ft. / Condo,Midtown West,Manhattan
Saint Marks Place,4395,3 Beds / 1 Bath / Rental,East Village,Manhattan
West 84th Street,2195,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"322 West 57th Street, Apt. 42K",6300,"2 Beds / 2 Baths / 1,196 Sq. Ft. / Condo",Midtown West,Manhattan
West 138th Street,6500,"2 Units / 3 Floors / 2,248 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
Ninth Avenue,2695,2 Beds / 1 Bath / Rental,Clinton,Manhattan
"88 Leonard Street, Apt. 1706",4050,Studio / 1 Bath / Rental,Tribeca,Manhattan
East 3rd Street,5395,3 Beds / 1 Bath / Rental,East Village,Manhattan
2308 Adam Clayton Powell Boulevar...,1834,1 Bed / 1 Bath / Rental,Harlem,Manhattan
West 82nd Street,3950,2 Beds / 1 Bath / 650 Sq. Ft. / Rental,Upper West Side,Manhattan
Greenwich Street,3750,1 Bed / 1 Bath / 714 Sq. Ft. / Condo,Financial District,Manhattan
Bedford Street,5100,2 Beds / 1 Bath / Rental,West Village,Manhattan
West 52nd Street,4999,2 Beds / 2 Baths / Condo,Midtown West,Manhattan
Hudson Yards,5915,1 Bed / 1 Bath / 850 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
Hester Street,3995,1 Bed / 1 Bath / 684 Sq. Ft. / Condo,Soho/Nolita,Manhattan
5TH Avenue,3710,1 Bed / 1 Bath / 600 Sq. Ft. / Rental,Upper East Side,Manhattan
West 47th Street,4190,3 Beds / 1 Bath / Rental,Clinton,Manhattan
"180 Water Street, Apt. 506",3800,1 Bed / 1 Bath / 675 Sq. Ft. / Rental,Financial District,Manhattan
East 63rd Street,3200,Studio / 1 Bath / Rental,Upper East Side,Manhattan
Leonard Street,5880,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
Avenue A,4500,1 Bed / 1 Bath / 676 Sq. Ft. / Condo,East Village,Manhattan
West 42nd Street,4800,Studio / 1 Bath / 608 Sq. Ft. / Condo,Midtown West,Manhattan
West 21st Street,3800,1 Bed / 1 Bath / 720 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
East 76th Street,45000,2 Beds / 2 Baths / 990 Sq. Ft. / Rental,Upper East Side,Manhattan
West 80th Street,14000,9 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
3RD Avenue,4934,1 Bed / 1 Bath / 667 Sq. Ft. / Rental,Gramercy,Manhattan
East 68th Street,3000,1 Bed / 1 Bath / 673 Sq. Ft. / Condo/Co-op,Upper East Side,Manhattan
West Broadway,8500,"2 Beds / 2 Baths / 1,250 Sq. Ft. / Condo",Soho/Nolita,Manhattan
East 50th Street,3500,25 Units / 6 Floors / Multi-Family Townhouse,Beekman,Manhattan
West 14th Street,9750,"3 Beds / 3 Baths / 1,800 Sq. Ft. / Condo",West Village,Manhattan
West 16th Street,3075,1 Bed / 1 Bath / 725 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
Broadway,6600,1 Bed / 1 Bath / 915 Sq. Ft. / Condo,Flatiron,Manhattan
West 93rd Street,7995,2 Beds / 2 Baths / Rental,Upper West Side,Manhattan
Second Avenue,2100,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 92nd Street,4400,10 Units / 5 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
"550 West 54th Street, Apt. 1911",3315,Studio / 1 Bath / 461 Sq. Ft. / Rental,Midtown West,Manhattan
2308 Adam Clayton Powell Boulevar...,1834,1 Bed / 1 Bath / Rental,Harlem,Manhattan
"80 Elizabeth Street, Apt. 6A",3995,2 Beds / 1 Bath / Condo,Soho/Nolita,Manhattan
"810 Broadway, Apt. 4",10995,"2 Beds / 3 Baths / 2,300 Sq. Ft. / Rental",Greenwich Village,Manhattan
East 76th Street,56000,"3 Beds / 3 Baths / 1,375 Sq. Ft. / Rental",Upper East Side,Manhattan
West 102nd Street,2250,Studio / 1 Bath / Co-op,Upper West Side,Manhattan
West 134th Street,2495,10 Units / 5 Floors / 925 Sq. Ft. / Multi-Family Townhouse,Harlem,Manhattan
"532 West 143rd Street, Apt. 21",2295,2 Beds / 1 Bath / Rental,Hamilton Heights,Manhattan
Cooper Square,4100,1 Bed / 1 Bath / 714 Sq. Ft. / Condo,East Village,Manhattan
Broad Street,3995,1 Bed / 1 Bath / 960 Sq. Ft. / Condo,Financial District,Manhattan
East 80th Street,2250,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
BROADWAY,7000,Studio / 1 Bath / 700 Sq. Ft. / Condo/Co-op,Harlem,Manhattan
West 54th Street,4200,2 Beds / 1 Bath / Co-op,Midtown West,Manhattan
Park Avenue,15000,"3 Beds / 3 Baths / 2,350 Sq. Ft. / Condo",Upper East Side,Manhattan
West 86th Street,3350,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
East 29th Street,4875,1 Bed / 1 Bath / 680 Sq. Ft. / Rental,Flatiron,Manhattan
West 67th Street,4095,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
West 67th Street,6695,3 Beds / 2 Baths / Rental,Upper West Side,Manhattan
East 34th Street,6295,2 Beds / 2 Baths / Rental,Murray Hill,Manhattan
West 42nd Street,3300,Studio / 1 Bath / 600 Sq. Ft. / Condo,Clinton,Manhattan
Avenue B,4000,2 Beds / 1 Bath / Rental,East Village,Manhattan
"111 Murray Street, Apt. 47W",35000,"4 Beds / 4 Baths / 3,217 Sq. Ft. / Condo",Tribeca,Manhattan
East 37th Street,2975,1 Bed / 1 Bath / 600 Sq. Ft. / Condo,Murray Hill,Manhattan
East 34th Street,2795,Studio / 1 Bath / 560 Sq. Ft. / Condo,Murray Hill,Manhattan
"1 East 66th Street, Apt. Comm",8995,"Studio / 3 Baths / 2,000 Sq. Ft. / Co-op",Upper East Side,Manhattan
"25 West 64th Street, Apt. 8B",3500,1 Bed / 1 Bath / 650 Sq. Ft. / Co-op,Upper West Side,Manhattan
"530 Park Avenue, Apt. 19J",6500,1 Bed / 1 Bath / 800 Sq. Ft. / Condo,Upper East Side,Manhattan
East 29th Street,4995,1 Bed / 1 Bath / 713 Sq. Ft. / Rental,Flatiron,Manhattan
East 55th Street,3800,1 Bed / 1 Bath / 843 Sq. Ft. / Rental,Midtown East,Manhattan
West 73rd Street,2650,13 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
Desbrosses Street,14000,2 Beds / 2 Baths / Condo/Co-op,Tribeca,Manhattan
Convent Avenue,1850,Studio / 1 Bath / 467 Sq. Ft. / Condo,Hamilton Heights,Manhattan
COLUMBUS CIR,22000,"2 Beds / 2 Baths / 1,571 Sq. Ft. / Condo/Co-op",Upper West Side,Manhattan
"400 East 67th Street, Apt. 4C",9250,"2 Beds / 3 Baths / 1,550 Sq. Ft. / Condo",Upper East Side,Manhattan
West 25th Street,3595,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
East 36th Street,3000,1 Bed / 1 Bath / 808 Sq. Ft. / Condo,Murray Hill,Manhattan
"460 West 20th Street, Apt. 2P",4350,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
East 50th Street,2384,1 Bed / 1 Bath / Rental,Midtown East,Manhattan
East 47th Street,4000,1 Bed / 1 Bath / 621 Sq. Ft. / Condo,Midtown East,Manhattan
West 12th Street,5300,1 Bed / 1 Bath / 840 Sq. Ft. / Condo,West Village,Manhattan
"1764 First Avenue, Apt. R",3646,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
East 20th Street,5400,2 Beds / 1 Bath / Rental,Gramercy,Manhattan
East 80th Street,2100,19 Units / 6 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
West 102nd Street,2200,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
Park Avenue South,5195,1 Bed / 1 Bath / 876 Sq. Ft. / Rental,Gramercy,Manhattan
West 58th Street,4500,2 Beds / 1 Bath / 746 Sq. Ft. / Condo,Midtown West,Manhattan
South Street,4030,1 Bed / 1 Bath / 695 Sq. Ft. / Condo,Lower East Side,Manhattan
West 82nd Street,3000,9 Units / 5 Floors / 900 Sq. Ft. / Multi-Family Townhouse,Upper West Side,Manhattan
Post Avenue,2750,3 Beds / 1 Bath / 850 Sq. Ft. / Rental,Inwood,Manhattan
West 188th Street,2250,88 Units / 6 Floors / Townhouse,Washington Heights,Manhattan
"22 Broadway Ter, Apt. 2A",2025,2 Beds / 1 Bath / Rental,Washington Heights,Manhattan
