Address,Price,Description,Neighborhood,Boro
"241 Eldridge Street, Apt. 3R",4995,2 Beds / 1 Bath / Condo,Lower East Side,Manhattan
"21 West 12th Street, Apt. PARLORB",6800,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
"60 East 8th Street, Apt. 6N",6500,1 Bed / 1 Bath / 980 Sq. Ft. / Condo/Co-op,Greenwich Village,Manhattan
"391 Broadway, Apt. LOFTA",18500,"4 Beds / 4 Baths / 2,981 Sq. Ft. / Condo",Tribeca,Manhattan
"473 Hudson Street, Apt. 2",10000,4 Floors / Multi-Family Townhouse,West Village,Manhattan
"905 West End Avenue, Apt. 43",8700,"3 Beds / 2 Baths / 1,812 Sq. Ft. / Condo",Upper West Side,Manhattan
"204 East 7th Street, Apt. 17-19",3995,2 Beds / 1 Bath / Co-op,East Village,Manhattan
"15 Hudson Yards, Apt. 39J",8000,"1 Bed / 1 Bath / 1,149 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"462 West 58th Street, Apt. 7E",4600,1 Bed / 2 Baths / Condo,Midtown West,Manhattan
"9 West 95th Street, Apt. F",2650,4 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"101 Thompson Street, Apt. 12",3450,1 Bed / 1 Bath / Co-op,Soho/Nolita,Manhattan
"70 La Salle Street, Apt. 14G",3500,2 Beds / 1 Bath / Co-op,Morningside Heights,Manhattan
"235 West 75th Street, Apt. 1020",17000,3 Beds / 3 Baths / Condo,Upper West Side,Manhattan
"150 East 85th Street, Apt. 9E",3400,1 Bed / 1 Bath / 610 Sq. Ft. / Condo,Upper East Side,Manhattan
"124 West 23rd Street, Apt. 5C",3850,Studio / 1 Bath / Condo,Chelsea/Hudson Yards,Manhattan
"117 West 123rd Street, Apt. 2B",3300,1 Bed / 1 Bath / Condo,Harlem,Manhattan
"422 East 72nd Street, Apt. 19B",3550,1 Bed / 1 Bath / Condo,Upper East Side,Manhattan
"61 West 9th Street, Apt. 3D",5500,1 Bed / 1 Bath / 850 Sq. Ft. / Co-op,Greenwich Village,Manhattan
"63 West 107th Street, Apt. 51",3200,2 Beds / 1 Bath / Condo,Upper West Side,Manhattan
"30 Park Place, Apt. 52C/39E",19000,"2 Beds / 2 Baths / 2,044 Sq. Ft. / Condo",Tribeca,Manhattan
"600 West 115th Street, Apt. 31",3950,2 Beds / 1 Bath / Co-op,Morningside Heights,Manhattan
"150 West 51st Street, Apt. 1417",3700,1 Bed / 1 Bath / Condo,Midtown West,Manhattan
"250 East 49th Street, Apt. 19B",3900,1 Bed / 1 Bath / Condo,Midtown East,Manhattan
"200 East 21st Street, Apt. 7A",10250,2 Beds / 2 Baths / Condo,Gramercy,Manhattan
"346 East 119th Street, Apt. 3A",2300,1 Bed / 1 Bath / 730 Sq. Ft. / Condo,East Harlem,Manhattan
"16 East 98th Street, Apt. PH10A",9500,"2 Beds / 1 Bath / 1,380 Sq. Ft. / Co-op",Carnegie Hill,Manhattan
"199 Bowery, Apt. 2F",4500,1 Bed / 1 Bath / Condo,Lower East Side,Manhattan
