,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
7839,East 22nd Street,4100,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Flatiron
7840,West 47th Street,2850,Manhattan,Studio, 1 Bath , 451 Sq. Ft. / Rental,Corcoran,Midtown West
7841,West 148th Street,2350,Manhattan,2 Beds, 1 Bath , 900 Sq. Ft. / Rental,Corcoran,Hamilton Heights
7842,United Nations Plaza,6500,Manhattan,1 Bed, 1 Bath ," 1,147 Sq. Ft. / Condo",Corcoran,Midtown East
7843,East 44th Street,5000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown East
7844,Fifth Avenue,10250,Manhattan,3 Beds, 2 Baths , Co-op,Corcoran,Greenwich Village
7846,West 148th Street,1950,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hamilton Heights
7847,East 79th Street,6000,Manhattan,1 Bed, Rental,,Corcoran,Upper East Side
7848,"230 West 56th Street, Apt. 56C",10500,Manhattan,2 Beds, 2 Baths ," 1,412 Sq. Ft. / Condo",Corcoran,Midtown West
7849,East 77th Street,1950,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7850,East 4th Street,2900,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
7851,East 76th Street,3950,Manhattan,1 Bed, 1 Bath , 797 Sq. Ft. / Rental,Corcoran,Upper East Side
7852,"160 West 24th Street, Apt. 8-M",5527,Manhattan,1 Bed, 1 Bath , 715 Sq. Ft. / Rental,Corcoran,Chelsea
7852,"160 West 24th Street, Apt. 8-M",5527,Manhattan,1 Bed, 1 Bath , 715 Sq. Ft. / Rental,Corcoran,Hudson Yards
7853,"40 East 94th Street, Apt. 9F",6700,Manhattan,2 Beds, 2 Baths ," 1,400 Sq. Ft. / Condo",Corcoran,Carnegie Hill
7854,Stanton Street,1795,Manhattan,Studio, 1 Bath , 320 Sq. Ft. / Rental,Corcoran,Lower East Side
7855,West 93rd Street,2695,Manhattan,1 Bed, 1 Bath , 550 Sq. Ft. / Condo,Corcoran,Upper West Side
7857,East 58th Street,3495,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Rental,Corcoran,Midtown East
7858,"1065 Second Avenue, Apt. 2004",6751,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Midtown East
7859,East 55th Street,3800,Manhattan,1 Bed, 1 Bath , 835 Sq. Ft. / Rental,Corcoran,Midtown East
7860,Murray Street,20000,Manhattan,3 Beds, 3 Baths ," 3,163 Sq. Ft. / Condo",Corcoran,Tribeca
7861,"20 West Street, Apt. 41D",2899,Manhattan,Studio, 1 Bath , Condo,Corcoran,Financial District
7862,West 47th Street,2690,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown West
7864,Warren Street,22500,Manhattan,4 Beds, 4 Baths ," 4,157 Sq. Ft. / Condo",Corcoran,Tribeca
7865,Rector Place,5200,Manhattan,2 Beds, 2 Baths ," 1,000 Sq. Ft. / Condo",Corcoran,Battery Park City
7866,"20 Exchange Place, Apt. 4902",3650,Manhattan,1 Bed, 1 Bath , 720 Sq. Ft. / Rental,Corcoran,Financial District
7867,East 71st Street,7250,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Upper East Side
7869,Park Avenue,5500,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Co-op,Corcoran,Upper East Side
7870,East 64th Street,2750,Manhattan,Studio, 1 Bath , 650 Sq. Ft. / Condo/Co-op,Corcoran,Upper East Side
7871,MacDougal Street,2750,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
7873,East 65th Street,2450,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7874,West 50th Street,10995,Manhattan,2 Beds, 2 Baths ," 1,599 Sq. Ft. / Condo",Corcoran,Clinton
7875,York Avenue,1875,Manhattan,Studio, 1 Bath , 400 Sq. Ft. / Rental,Corcoran,Upper East Side
7877,West 21st Street,5750,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
7878,"125 East 12th Street, Apt. 5B",9000,Manhattan,2 Beds, 2 Baths ," 1,560 Sq. Ft. / Condo",Corcoran,East Village
7879,"220 East 65th Street, Apt. 15F",4500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper East Side
7880,East 56th Street,2600,Manhattan,1 Bed, 1 Bath , 515 Sq. Ft. / Condo,Corcoran,Midtown East
7881,West 116th Street,2660,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Harlem
7883,"152 East 87th Street, Apt. 19D",30000,Manhattan,4 Beds, 3 Baths ," 2,461 Sq. Ft. / Rental",Corcoran,Upper East Side
7884,East 29th Street,4685,Manhattan,1 Bed, 1 Bath , 557 Sq. Ft. / Rental,Corcoran,Flatiron
7885,Cornelia Street,3100,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
7886,West 57th Street,6000,Manhattan,1 Bed, 1 Bath ," 1,290 Sq. Ft. / Condo",Corcoran,Midtown West
7887,West 133rd Street,1950,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
7888,East 58th Street,2895,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Sutton Area
7889,East 10th Street,29000,Manhattan,3 Beds, 2 Baths , Co-op,Corcoran,Greenwich Village
7890,East 34th Street,4600,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Murray Hill
7891,"303 East 57th Street, Apt. 11I",6950,Manhattan,2 Beds, 2 Baths ," 2,000 Sq. Ft. / Co-op",Corcoran,Sutton Area
7893,West 103rd Street,1800,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Morningside Heights
7894,"10 Rutgers Street, Apt. 6F",6354,Manhattan,2 Beds, 2 Baths , 874 Sq. Ft. / Rental,Corcoran,Lower East Side
7895,Horatio Street,5400,Manhattan,1 Bed, 1 Bath , 950 Sq. Ft. / Rental,Corcoran,West Village
7896,PAYSON Avenue,1700,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Inwood
7897,West 25th Street,4100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Chelsea
7897,West 25th Street,4100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Hudson Yards
7898,"10 Rutgers Street, Apt. 2Q",4025,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Lower East Side
7899,Washington Street,3100,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,West Village
7900,Amsterdam Avenue,2550,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Upper West Side
7901,West 108th Street,5408,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,Upper West Side
7902,"10 Rutgers Street, Apt. 7K",4173,Manhattan,1 Bed, 1 Bath , 469 Sq. Ft. / Rental,Corcoran,Lower East Side
7903,Central Park West,46000,Manhattan,3 Beds, 3 Baths ," 2,761 Sq. Ft. / Condo",Corcoran,Upper West Side
7904,West 71st Street,3400,Manhattan,1 Bed, 1 Bath , 400 Sq. Ft. / Rental,Corcoran,Upper West Side
7905,East 5th Street,3250,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
7906,West 137th Street,3350,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Hamilton Heights
7907,West 25th Street,7875,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Chelsea
7907,West 25th Street,7875,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Hudson Yards
7908,"100 Maiden Lane, Apt. 1003",3100,Manhattan,1 Bed, 1 Bath , 650 Sq. Ft. / Rental,Corcoran,Financial District
7909,West 152ND Street,1350,Manhattan,Studio, 1 Bath , 250 Sq. Ft. / Rental,Corcoran,Harlem
7910,West 42nd Street,3700,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Clinton
7911,West 108th Street,4033,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Upper West Side
7912,East 42nd Street,2100,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Murray Hill
7913,"80 Riverside Boulevard, Apt. 25B",12000,Manhattan,3 Beds, 3 Baths ," 1,712 Sq. Ft. / Condo",Corcoran,Upper West Side
7915,West 53rd Street,4550,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown West
7916,East 12th Street,11995,Manhattan,3 Beds, 3 Baths ," 1,345 Sq. Ft. / Condo",Corcoran,East Village
7917,East 78th Street,2500,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7918,East 83rd Street,2175,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Rental,Corcoran,Upper East Side
7919,Central Park South,60000,Manhattan,3 Beds, 3 Baths ," 3,114 Sq. Ft. / Condo",Corcoran,Central Park South
7920,Columbus Avenue,4200,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Upper West Side
7922,"57 Thompson Street, Apt. 2E",3700,Manhattan,1 Bed, 1 Bath , 550 Sq. Ft. / Co-op,Corcoran,Soho
7922,"57 Thompson Street, Apt. 2E",3700,Manhattan,1 Bed, 1 Bath , 550 Sq. Ft. / Co-op,Corcoran,Nolita
7925,"322 West 57th Street, Apt. 45F",7390,Manhattan,2 Beds, 2 Baths ," 1,228 Sq. Ft. / Condo",Corcoran,Midtown West
7926,Reade Street,30000,Manhattan,4 Beds, 4 Baths ," 2,938 Sq. Ft. / Condo",Corcoran,Tribeca
7927,West 140th Street,2108,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Hamilton Heights
7928,Ludlow Street,3250,Manhattan,1 Bed, 1 Bath , 1 Sq. Ft. / Rental,Corcoran,Lower East Side
7929,Horatio Street,5000,Manhattan,Studio, 1 Bath ," 1,050 Sq. Ft. / Rental",Corcoran,West Village
7930,East 32nd Street,5495,Manhattan,2 Beds, 2 Baths ," 1,050 Sq. Ft. / Condo",Corcoran,empty neighborhood
7931,Wadsworth Terrace,1825,Manhattan,Studio, 1 Bath , Rental,Corcoran,Washington Heights
7932,Central Park South,18000,Manhattan,2 Beds, 2 Baths ," 1,100 Sq. Ft. / Condo",Corcoran,Central Park South
7933,East 34th Street,6095,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
7934,East 47th Street,3400,Manhattan,1 Bed, 1 Bath , 628 Sq. Ft. / Condo,Corcoran,Midtown East
7935,Delancey Street,7221,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Lower East Side
7936,East 34th Street,5249,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
7937,Irving Place,3750,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
7939,"885 6th Avenue, Apt. 35G",5395,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Chelsea
7939,"885 6th Avenue, Apt. 35G",5395,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Hudson Yards
7940,First Avenue,3500,Manhattan,2 Beds, 2 Baths ," 1,012 Sq. Ft. / Condo",Corcoran,Murray Hill
7941,"100 United Nations Plaza, Apt. 7F",2995,Manhattan,1 Bed, 1 Bath , 680 Sq. Ft. / Condo,Corcoran,Midtown East
7942,East 12th Street,5995,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
7943,West 107th Street,3895,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Upper West Side
7945,Renwick Street,12500,Manhattan,3 Beds, 3 Baths ," 1,774 Sq. Ft. / Condo",Corcoran,Soho
7945,Renwick Street,12500,Manhattan,3 Beds, 3 Baths ," 1,774 Sq. Ft. / Condo",Corcoran,Nolita
7946,"808 Columbus Avenue, Apt. 25P",4600,Manhattan,Studio, 1 Bath , 430 Sq. Ft. / Rental,Corcoran,Upper West Side
7947,"180 Water Street, Apt. 1822",2860,Manhattan,Studio, 1 Bath , Rental,Corcoran,Financial District
7949,West 19th Street,3950,Manhattan,Studio, 1 Bath , 653 Sq. Ft. / Condo,Corcoran,Flatiron
7950,Park Avenue,3495,Manhattan,1 Bed, 1 Bath , 720 Sq. Ft. / Rental,Corcoran,Murray Hill
7952,West 58th Street,3000,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper West Side
7953,West 67th Street,3995,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Rental,Corcoran,Upper West Side
7954,West 56th Street,2650,Manhattan,Studio, 1 Bath , Rental,Corcoran,Midtown West
7955,Seventh Avenue,9041,Manhattan,Studio, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Chelsea
7955,Seventh Avenue,9041,Manhattan,Studio, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Hudson Yards
7956,West 67th Street,3100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper West Side
7957,West 67th Street,6245,Manhattan,2 Beds, 2 Baths ," 1,095 Sq. Ft. / Rental",Corcoran,Upper West Side
7958,West 57th Street,7200,Manhattan,2 Beds, 2 Baths ," 1,200 Sq. Ft. / Condo",Corcoran,Midtown West
7959,West 145th Street,2150,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Harlem
7960,West 53rd Street,3399,Manhattan,1 Bed, 1 Bath , 650 Sq. Ft. / Rental,Corcoran,Midtown West
7961,East 29th Street,12950,Manhattan,3 Beds, 3 Baths , Rental,Corcoran,Flatiron
7963,East 63rd Street,3240,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7964,Broadway,3300,Manhattan,1 Bed, 1 Bath , 756 Sq. Ft. / Condo,Corcoran,Upper West Side
7965,West 173rd Street,2250,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Washington Heights
7966,Mott Street,4200,Manhattan,3 Beds, 1 Bath ," 1,000 Sq. Ft. / Rental",Corcoran,Chinatown
7967,Park Avenue,50000,Manhattan,5 Beds, 7 Baths ," 6,224 Sq. Ft. / Condo",Corcoran,Upper East Side
7969,West 101ST Street,1930,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper West Side
7971,West 167th Street,1850,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Washington Heights
7972,Allen Street,2700,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Lower East Side
7974,Payson Avenue,3300,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Inwood
7975,East 18th Street,5200,Manhattan,1 Bed, 2 Baths , Co-op,Corcoran,Gramercy
7976,"418 East 59th Street, Apt. 35A",7500,Manhattan,2 Beds, 2 Baths ," 1,400 Sq. Ft. / Condo/Co-op",Corcoran,Upper East Side
7977,West 23rd Street,3250,Manhattan,Studio, 1 Bath , Rental,Corcoran,Chelsea
7977,West 23rd Street,3250,Manhattan,Studio, 1 Bath , Rental,Corcoran,Hudson Yards
7978,West 41st Street,2100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Clinton
7979,East 29th Street,4835,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
7980,East 29th Street,4765,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
7981,West 139th Street,1750,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
7982,Mott Street,1595,Manhattan,Studio, 1 Bath , Rental,Corcoran,Chinatown
7983,West 47th Street,4750,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Midtown West
7984,Warren Street,14000,Manhattan,2 Beds, 3 Baths ," 1,762 Sq. Ft. / Condo",Corcoran,Tribeca
7985,West 142nd Street,1750,Manhattan,Studio, 1 Bath , Rental,Corcoran,Harlem
7986,West 107th Street,4000,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,Upper West Side
7987,West 49th Street,2200,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Clinton
7988,East 51st Street,3000,Manhattan,1 Bed, 1 Bath , 670 Sq. Ft. / Rental,Corcoran,Midtown East
7989,Rivington Street,4895,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Lower East Side
7990,Broadway,3000,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Inwood
7991,East 91ST Street,2775,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7992,"532 West 159th Street, Apt. 5A",1650,Manhattan,Studio, 1 Bath , Rental,Corcoran,Washington Heights
7993,East 66th Street,2395,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
7994,East 112th Street,2400,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Harlem
7995,5TH Avenue,1650,Manhattan,Studio, 1 Bath , Rental,Corcoran,Harlem
7996,"509 East 77th Street, Apt. 4M",2350,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper East Side
7997,Elizabeth Street,4195,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Soho
7997,Elizabeth Street,4195,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Nolita
7998,West 116th Street,2700,Manhattan,2 Beds, 1 Bath , House,Corcoran,Harlem
7999,Wall Street,6995,Manhattan,2 Beds, 2 Baths ," 1,411 Sq. Ft. / Condo",Corcoran,Financial District
8000,West End Avenue,4195,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper West Side
8001,Park Avenue South,5000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Gramercy
8002,"160 West 141st Street, Apt. 3B",2200,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
8003,East 42nd Street,2100,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Murray Hill
8004,West 17th Street,7000,Manhattan,1 Bed, 2 Baths ," 1,000 Sq. Ft. / Condo",Corcoran,Chelsea
8004,West 17th Street,7000,Manhattan,1 Bed, 2 Baths ," 1,000 Sq. Ft. / Condo",Corcoran,Hudson Yards
8005,East 3rd Street,4395,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,East Village
8007,Downing Street,3850,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Greenwich Village
8008,Delancey Street,5652,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Lower East Side
8009,East 39th Street,4680,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
8010,East 39th Street,7600,Manhattan,3 Beds, 2 Baths ," 1,210 Sq. Ft. / Rental",Corcoran,Murray Hill
8011,Forth Avenue,4150,Manhattan,Studio, 1 Bath , 900 Sq. Ft. / Condo/Co-op,Corcoran,Greenwich Village
8012,West 137th Street,3495,Manhattan,3 Beds, 1 Bath ," 1,143 Sq. Ft. / Rental",Corcoran,Morningside Heights
8013,Amsterdam Avenue,2995,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Upper West Side
8014,West 16th Street,3000,Manhattan,Studio, 1 Bath , Rental,Corcoran,Flatiron
8015,"462 West 58th Street, Apt. 4A",8000,Manhattan,3 Beds, 2 Baths ," 1,637 Sq. Ft. / Condo",Corcoran,Midtown West
8016,West 83rd Street,4995,Manhattan,2 Beds, 1 Bath ," 1,000 Sq. Ft. / Rental",Corcoran,Upper West Side
8017,West 170th Street,2390,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Washington Heights
8018,West 110th Street,2300,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper West Side
8019,Carmine Street,4000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
8020,Wall Street,3750,Manhattan,Studio, 1 Bath , 600 Sq. Ft. / Condo,Corcoran,Financial District
8021,Carmine Street,3175,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
8022,Mott Street,4395,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Soho
8022,Mott Street,4395,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Nolita
8023,Eleventh Avenue,5156,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown West
8024,John Street,3275,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Financial District
8025,East 84th Street,2495,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
8026,East 21st Street,3595,Manhattan,1 Bed, 1 Bath , 775 Sq. Ft. / Rental,Corcoran,Flatiron
8027,East 30th Street,1850,Manhattan,Studio, 1 Bath , Rental,Corcoran,Murray Hill
8028,East 37th Street,3400,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Murray Hill
8029,Bond Street,25000,Manhattan,3 Beds, 2 Baths ," 3,066 Sq. Ft. / Condo",Corcoran,Greenwich Village
8030,East 35th Street,4000,Manhattan,2 Beds, 1 Bath , 900 Sq. Ft. / Rental,Corcoran,Murray Hill
8031,West 54th Street,7500,Manhattan,2 Beds, 2 Baths ," 1,004 Sq. Ft. / Rental",Corcoran,Clinton
8032,Leonard Street,3325,Manhattan,Studio, 1 Bath , Rental,Corcoran,Tribeca
8033,East 80th Street,3800,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper East Side
8034,Delancey Street,5781,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Lower East Side
8035,East 63rd Street,3210,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
8036,Central Park West,3850,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
8037,East 106th Street,2299,Manhattan,2 Beds, 1 Bath , 850 Sq. Ft. / Rental,Corcoran,Upper East Side
8038,ST NICHOLAS Avenue,2950,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Harlem
8039,York Avenue,2795,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
8040,West 139th Street,1700,Manhattan,Studio, 1 Bath , Rental,Corcoran,Harlem
8041,East 83rd Street,2099,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
8042,"245 East 54th Street, Apt. 6LM",8295,Manhattan,3 Beds, 2 Baths ," 1,600 Sq. Ft. / Co-op",Corcoran,Midtown East
8043,River Terrace,7600,Manhattan,2 Beds, 2 Baths ," 1,153 Sq. Ft. / Rental",Corcoran,Battery Park City
8044,Manhattan Avenue,5000,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Upper West Side
8045,Central Park South,4995,Manhattan,2 Beds, 1 Bath , 800 Sq. Ft. / Condo,Corcoran,Central Park South
8046,East 48th Street,2600,Manhattan,Studio, 1 Bath , Rental,Corcoran,Midtown East
8048,"152 East 87th Street, Apt. 17B",13000,Manhattan,2 Beds, 2 Baths ," 1,512 Sq. Ft. / Rental",Corcoran,Upper East Side
8049,West 16th Street,2965,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
8049,West 16th Street,2965,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
8050,East 33rd Street,2200,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Murray Hill
8051,East 91ST Street,2700,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
8052,West 76th Street,2300,Manhattan,Studio, 1 Bath , 450 Sq. Ft. / Rental,Corcoran,Upper West Side
8053,West 9th Street,3600,Manhattan,1 Bed, 1 Bath , Condo/Co-op,Corcoran,Greenwich Village
8054,Elizabeth Street,3295,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Soho
8054,Elizabeth Street,3295,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Nolita
8055,Fdr Drive,2750,Manhattan,1 Bed, 1 Bath , 800 Sq. Ft. / Co-op,Corcoran,Lower East Side
8056,"560 West 24th Street, Apt. PH1",37500,Manhattan,4 Beds, 4 Baths ," 4,596 Sq. Ft. / Condo",Corcoran,Chelsea
8056,"560 West 24th Street, Apt. PH1",37500,Manhattan,4 Beds, 4 Baths ," 4,596 Sq. Ft. / Condo",Corcoran,Hudson Yards
8057,"652 Hudson Street, Apt. 3S",14000,Manhattan,3 Beds, 2 Baths ," 3,000 Sq. Ft. / Co-op",Corcoran,West Village
8058,West 54th Street,4300,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Clinton
8059,Perry Street,3667,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,West Village
8061,Riverside Drive,2000,Manhattan,1 Bed, 1 Bath , 530 Sq. Ft. / Condo,Corcoran,Hamilton Heights
8062,East 63rd Street,6425,Manhattan,2 Beds, 2 Baths ," 1,265 Sq. Ft. / Rental",Corcoran,Upper East Side
8063,"129 West 20th Street, Apt. PHAB",26995,Manhattan,5 Beds, 4 Baths ," 4,912 Sq. Ft. / Condo",Corcoran,Chelsea
8063,"129 West 20th Street, Apt. PHAB",26995,Manhattan,5 Beds, 4 Baths ," 4,912 Sq. Ft. / Condo",Corcoran,Hudson Yards
8064,West 35th Street,8140,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Clinton
8066,West 125th Street,2180,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
8067,West 42nd Street,4290,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Clinton
8068,West Street,2950,Manhattan,Studio, 1 Bath , 482 Sq. Ft. / Condo,Corcoran,Financial District
8069,West 24th Street,4161,Manhattan,1 Bed, 1 Bath , 530 Sq. Ft. / Rental,Corcoran,Chelsea
8069,West 24th Street,4161,Manhattan,1 Bed, 1 Bath , 530 Sq. Ft. / Rental,Corcoran,Hudson Yards
8070,East 63rd Street,2850,Manhattan,1 Bed, 1 Bath , 500 Sq. Ft. / Rental,Corcoran,Upper East Side
8072,East 42nd Street,2500,Manhattan,1 Bed, 1 Bath , 620 Sq. Ft. / Co-op,Corcoran,Murray Hill
8073,"196 Elizabeth Street, Apt. 225",6000,Manhattan,3 Beds, 2 Baths , 850 Sq. Ft. / Rental,Corcoran,Chinatown
8074,East 29th Street,4332,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
8075,East 33rd Street,2200,Manhattan,1 Bed, 1 Bath , 600 Sq. Ft. / Rental,Corcoran,Murray Hill
8076,East 29th Street,5095,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
8078,Broadway,1700,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Morningside Heights
8079,Delancey Street,4884,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Lower East Side
8080,East 29th Street,6150,Manhattan,1 Bed, 1 Bath , 806 Sq. Ft. / Rental,Corcoran,Flatiron
8081,Park Avenue,15000,Manhattan,2 Beds, 2 Baths ," 1,500 Sq. Ft. / Co-op",Corcoran,Upper East Side
8082,West 23rd Street,3600,Manhattan,Studio, 1 Bath , Rental,Corcoran,Flatiron
8083,Bleecker Street,5500,Manhattan,3 Beds, 2 Baths ," 1,000 Sq. Ft. / Rental",Corcoran,Greenwich Village
8084,West 104th Street,3800,Manhattan,2 Beds, 1 Bath ," 1,300 Sq. Ft. / Rental",Corcoran,Upper West Side
8085,West 22nd Street,9000,Manhattan,2 Beds, 2 Baths ," 2,632 Sq. Ft. / Co-op",Corcoran,Chelsea
8085,West 22nd Street,9000,Manhattan,2 Beds, 2 Baths ," 2,632 Sq. Ft. / Co-op",Corcoran,Hudson Yards
8086,East 59th Street,3099,Manhattan,2 Beds, 1 Bath , 800 Sq. Ft. / Rental,Corcoran,Sutton Area
8087,West 167th Street,2500,Manhattan,1 Bed, 1 Bath , 565 Sq. Ft. / Condo,Corcoran,Washington Heights
8088,West 104th Street,2900,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper West Side
8089,East 48th Street,4350,Manhattan,2 Beds, 2 Baths , 819 Sq. Ft. / Condo,Corcoran,Midtown East
8090,"363 West 19th Street, Apt. BR",7900,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Chelsea
8090,"363 West 19th Street, Apt. BR",7900,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Hudson Yards
8091,West 122nd Street,2475,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
8092,West 131st Street,1665,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Harlem
8093,Cabrini Boulevard,2195,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Washington Heights
8094,West 16th Street,4000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
