,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
85,"150 Sullivan Street, Apt. 33",3695,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Nolita
86,"170 East 87th Street, Apt. W17D",7500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper East Side
87,"32 Gramercy Park South, Apt. 12H",4300,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Gramercy
88,"241 Eldridge Street, Apt. 3R",4995,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Lower East Side
89,"21 West 12th Street, Apt. PARLORB",6800,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
90,"60 East 8th Street, Apt. 6N",6500,Manhattan,1 Bed, 1 Bath , 980 Sq. Ft. / Condo/Co-op,Corcoran,Greenwich Village
91,"391 Broadway, Apt. LOFTA",18500,Manhattan,4 Beds, 4 Baths ," 2,981 Sq. Ft. / Condo",Corcoran,Tribeca
93,"905 West End Avenue, Apt. 43",8700,Manhattan,3 Beds, 2 Baths ," 1,812 Sq. Ft. / Condo",Corcoran,Upper West Side
94,"204 East 7th Street, Apt. 17-19",3995,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,East Village
95,"15 Hudson Yards, Apt. 39J",8000,Manhattan,1 Bed, 1 Bath ," 1,149 Sq. Ft. / Condo",Corcoran,Chelsea
95,"15 Hudson Yards, Apt. 39J",8000,Manhattan,1 Bed, 1 Bath ," 1,149 Sq. Ft. / Condo",Corcoran,Hudson Yards
96,"462 West 58th Street, Apt. 7E",4600,Manhattan,1 Bed, 2 Baths , Condo,Corcoran,Midtown West
98,"101 Thompson Street, Apt. 12",3450,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Soho
98,"101 Thompson Street, Apt. 12",3450,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Nolita
99,"70 La Salle Street, Apt. 14G",3500,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Morningside Heights
100,"235 West 75th Street, Apt. 1020",17000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Upper West Side
101,"150 East 85th Street, Apt. 9E",3400,Manhattan,1 Bed, 1 Bath , 610 Sq. Ft. / Condo,Corcoran,Upper East Side
102,"124 West 23rd Street, Apt. 5C",3850,Manhattan,Studio, 1 Bath , Condo,Corcoran,Chelsea
102,"124 West 23rd Street, Apt. 5C",3850,Manhattan,Studio, 1 Bath , Condo,Corcoran,Hudson Yards
103,"117 West 123rd Street, Apt. 2B",3300,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Harlem
104,"422 East 72nd Street, Apt. 19B",3550,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper East Side
105,"61 West 9th Street, Apt. 3D",5500,Manhattan,1 Bed, 1 Bath , 850 Sq. Ft. / Co-op,Corcoran,Greenwich Village
106,"63 West 107th Street, Apt. 51",3200,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Upper West Side
107,"30 Park Place, Apt. 52C/39E",19000,Manhattan,2 Beds, 2 Baths ," 2,044 Sq. Ft. / Condo",Corcoran,Tribeca
108,"600 West 115th Street, Apt. 31",3950,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Morningside Heights
109,"150 West 51st Street, Apt. 1417",3700,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Midtown West
110,"250 East 49th Street, Apt. 19B",3900,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Midtown East
111,"200 East 21st Street, Apt. 7A",10250,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Gramercy
112,"346 East 119th Street, Apt. 3A",2300,Manhattan,1 Bed, 1 Bath , 730 Sq. Ft. / Condo,Corcoran,East Harlem
113,"16 East 98th Street, Apt. PH10A",9500,Manhattan,2 Beds, 1 Bath ," 1,380 Sq. Ft. / Co-op",Corcoran,Carnegie Hill
114,"199 Bowery, Apt. 2F",4500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Lower East Side
