"39 East 29th Street, Unit 12D",NoMad,4700,1 BD,1 BA
"126 East 83rd Street, Unit 2B",Upper East Side,1750,Studio,1 BA
"510 East 85th Street, Unit 7A",Upper East Side,3200,1 BD,1 BA
"1735 York Avenue, Unit 30D",Upper East Side,3485,1 BD,1 BA
"73 Worth Street, Unit 3D",TriBeCa,12000,2 BD,2 BA
"475 West 146th Street, Unit Basement",Hamilton Heights,3200,Studio,1 BA
"236 East 47th Street, Unit 21E",Midtown East,5500,2 BD,2 BA
"219 East 12th Street, Unit 1",East Village,5500,1 BD,1 BA
"62 West 62nd Street, Unit 16A",Upper West Side,6750,2 BD,3 BA
"245 West 25th Street, Unit 5E",Chelsea,6600,2 BD,2 BA
"97 Lexington Avenue, Unit 2B",Kips Bay,2000,Studio,1 BA
"240 West End Avenue, Unit 12C",Upper West Side,4150,1 BD,1 BA
"245 West 25th Street, Unit 1K",Chelsea,4580,1 BD,1 BA
"79 West 127th Street, Unit 4B",Harlem,2250,1 BD,1 BA
"622 Greenwich Street, Unit 5F",West Village,9850,2 BD,2 BA
"1735 York Avenue, Unit 7H",Upper East Side,3985,1 BD,1 BA
"37 Walker Street, Unit 3/4",TriBeCa,15000,3 BD,2.5 BA
"2300 8th Avenue, Unit 10C",Harlem,6500,3 BD,3.5 BA
"245 West 25th Street, Unit 2F",Chelsea,5355,1 BD,2 BA
"75 Wall Street, Unit 19G",Financial District,3900,1 BD,1.5 BA
"446 West 44th Street, Unit 1",Hell's Kitchen,4700,2 BD,1.5 BA
349 West End Avenue,Upper West Side,4800,1 BD,1 BA
"54 East 7th Street, Unit 19",East Village,2400,1 BD,1 BA
"1735 York Avenue, Unit 5G",Upper East Side,4995,2 BD,1.5 BA
"128 East 84th Street, Unit 3B",Upper East Side,1800,Studio,1 BA
"330 East 119th Street, Unit 1B",East Harlem,2475,1 BD,1 BA
"325 Lexington Avenue, Unit 23A",Murray Hill,4500,1 BD,1 BA
"328 West 19th Street, Unit 3C",Chelsea,4800,2 BD,1 BA
"435 East 76th Street, Unit 4D",Upper East Side,3100,1 BD,1 BA
"62 East 119th Street, Unit 3",East Harlem,2300,2 BD,1 BA
"50 Clinton Street, Unit 4A",Lower East Side,6300,2 BD,2 BA
"590 West 204th Street, Unit 1A",Inwood,2200,1 BD,1.5 BA
"413 East 78th Street, Unit PH",Upper East Side,11500,4 BD,2 BA
"16 West 19th Street, Unit 8C",Flatiron,5350,Studio,1 BA
"133 West 22nd Street, Unit 8C",Chelsea,6100,1 BD,1.5 BA
"21 East 12th Street, Unit 5B",Greenwich Village,15000,2 BD,2.5 BA
"30 West Street, Unit 27D",Battery Park City,4495,1 BD,1.5 BA
"56 West 127th Street, Unit 3B",Harlem,3000,2 BD,1 BA
"252 South Street, Unit 20C",Lower East Side,4195,1 BD,1 BA
"135 West 118th Street, Unit 2",Harlem,2550,1 BD,1 BA
"425 East 13th Street, Unit 3C",East Village,7000,2 BD,2 BA
"754 East 6th Street, Unit 6B","Manhattan, NY 10009",3800,2 BD,2 BA
"510 East 85th Street, Unit 11A6",Upper East Side,2550,Alcove,1 BA
"28 East 130th Street, Unit 3A",East Harlem,2275,1 BD,1 BA
"245 West 25th Street, Unit 2C",Chelsea,4790,1 BD,1 BA
"101 Wall Street, Unit 10B",Financial District,7000,2 BD,2.5 BA
"634 Washington Street, Unit GA",West Village,14000,4 BD,3 BA
"522 West 29th Street, Unit 7D",Chelsea,28500,5 BD,5 BA
"413 East 78th Street, Unit 3FW",Upper East Side,2705,1 BD,1 BA
"550 West 45th Street, Unit 2012",Hell's Kitchen,3600,1 BD,1 BA
"40 St Marks Place, Unit 3",East Village,2400,1 BD,1 BA
"54 Thompson Street, Ofc 5",SoHo,44894,1 BD,1 BA
"54 Thompson Street, Ofc 4",SoHo,44894,empty Beds,empty Bath
"157 West 57th Street, Unit 39F",Theater District,30000,3 BD,3.5 BA
1635 Lexington Avenue,East Harlem,2995,Studio,1 BA
"845 United Nations Plaza, Unit 62A",Midtown East,14000,3 BD,2.5 BA
"550 West 45th Street, Unit 2411",Hell's Kitchen,3300,1 BD,1 BA
"200 West 112th Street, Unit A",Harlem,5000,empty Beds,empty Bath
"29 Essex Street, Unit RETAIL",Lower East Side,2900,1 BD,0.5 BA
"410 West 24th Street, Unit 4M",Chelsea,4200,1 BD,1 BA
"148 East 40th Street, Unit CARRIAGE",Murray Hill,40000,Studio,1 BA
"273 Bleecker Street, Unit RETAIL",Greenwich Village,16000,empty Beds,0.5 BA
"35 East 76th Street, Unit 3101",Upper East Side,90000,1 BD,2 BA
"35 East 76th Street, Unit 2209",Upper East Side,150000,2 BD,2 BA
"35 East 76th Street, Unit 1516",Upper East Side,27000,1 BD,1.5 BA
"35 East 76th Street, Unit 1504",Upper East Side,75000,1 BD,1.5 BA
"838 Greenwich St, Unit Penthouse C",West Village,6500,1 BD,1.5 BA
"55 Wall Street, Unit PH910F",Financial District,13995,3 BD,2.5 BA
"35 East 76th Street, Unit 1202",Upper East Side,75000,1 BD,2 BA
"35 East 76th Street, Unit 602",Upper East Side,66000,2 BD,2 BA
"35 East 76th Street, Unit 3006",Upper East Side,82500,2 BD,2 BA
"35 East 76th Street, Unit 3001",Upper East Side,150000,1 BD,2 BA
"35 East 76th Street, Unit 515",Upper East Side,63000,1 BD,2 BA
"35 East 76th Street, Unit 1706",Upper East Side,75000,1 BD,1.5 BA
"35 East 76th Street, Unit 1015",Upper East Side,75000,1 BD,1.5 BA
"35 East 76th Street, Unit 1506",Upper East Side,150000,2 BD,2 BA
"20 West 53rd Street, Unit 21B",Theater District,10000,1 BD,1 BA
"449 West 24th Street, Unit TRIPLEX",Chelsea,17950,3 BD,2.5 BA
"1 River Place, Unit 1622",Hudson Yards,2775,Alcove,1 BA
"81 Irving Place, Unit 12D",Gramercy,7000,2 BD,2 BA
"100 Norfolk Street, Unit PHBC",Lower East Side,27500,4 BD,4.5 BA
"234 East 23rd Street, Unit 3B",Gramercy,5200,1 BD,1 BA
"115 East 90th Street, Unit 4E",Upper East Side,4995,2 BD,1 BA
"80 John Street, Unit 10A",Financial District,2850,Studio,1 BA
"7 East 14th Street, Unit 623",Flatiron,2900,Studio,1 BA
"301 East 79th Street, Unit 25R",Upper East Side,3000,1 BD,1 BA
"252 South Street, Unit 10K",Lower East Side,3845,1 BD,1 BA
"251 West 89th Street, Unit 5E",Upper West Side,3300,1 BD,1 BA
"10 Manhattan Avenue, Unit 6A",Upper West Side,6500,6 BD,3 BA
"144 East 36th Street, Unit 8B",Murray Hill,4500,2 BD,1.5 BA
"455 Main Street, Unit 3H",Roosevelt Island,3050,1 BD,1 BA
"949 Columbus Avenue, Unit 5",Upper West Side,3600,3 BD,1 BA
"7 East 14th Street, Unit 702",Flatiron,3750,1 BD,1 BA
"100 Norfolk Street, Unit PHC",Lower East Side,9500,2 BD,2 BA
"30 Park Place, Unit 68B",TriBeCa,29995,3 BD,3.5 BA
"322 West 57th Street, Unit 25HH",Hell's Kitchen,4950,1 BD,1 BA
"500 West 21st Street, Unit 3A",Chelsea,20950,3 BD,3.5 BA
"169 Spring Street, Unit 2E",SoHo,18000,3 BD,3 BA
"701 St Nicholas Avenue, Unit RETAIL",Hamilton Heights,2800,empty Beds,empty Bath
"155 Franklin Street, Unit 4N",TriBeCa,30000,4 BD,3 BA
"312 West 90th Street, Unit 3B",Upper West Side,4700,2 BD,2 BA
"66 Madison Avenue, Unit 3BC",NoMad,5995,2 BD,2 BA
"115 4th Avenue, Unit 3F",Greenwich Village,12000,2 BD,2 BA
"45 East 25th Street, Unit 20A",Flatiron,4600,1 BD,1 BA
"241 East 76th Street, Unit 1B",Upper East Side,3000,1 BD,1 BA
"845 United Nations Plaza, Unit 24H",Midtown East,6800,2 BD,2 BA
"146 West 74th Street, Unit 2",Upper West Side,4995,2 BD,1.5 BA
"404 East 79th Street, Unit 23H",Upper East Side,5500,2 BD,2 BA
"20 West Street, Unit 44B",Financial District,3650,1 BD,1 BA
5 West 87th Street,Upper West Side,27000,5 BD,4 BA
"125 East 12th Street, Unit 1F",Greenwich Village,13995,4 BD,2.5 BA
"210 East 63rd Street, Unit 10A",Upper East Side,2700,Alcove,1 BA
"154 West 120th Street, Unit 2",Harlem,2800,1 BD,1 BA
"605 West 42nd Street, Unit 35E",Hell's Kitchen,3760,1 BD,1 BA
"62 Wooster Street, Unit PH",SoHo,75000,6 BD,6.5 BA
"366 Broadway, Unit PHC",TriBeCa,10995,2 BD,2 BA
"320 East 65th Street, Unit 422",Upper East Side,2460,Studio,1 BA
"251 West 19th Street, Unit 1D",Chelsea,8000,2 BD,2 BA
"414 West 45th Street, Unit 3F",Hell's Kitchen,3500,1 BD,1 BA
"366 5th Avenue, Unit Retail",Midtown South,36300,empty Beds,empty Bath
"845 United Nations Plaza, Unit 18H",Midtown East,6795,2 BD,2 BA
"175 Franklin Street, Unit 4",TriBeCa,12500,2 BD,2 BA
"4 East 30th Street, Unit 4B",NoMad,3000,2 BD,1 BA
"1 Irving Place, Unit U11D",Gramercy,4900,1 BD,1 BA
"172 Madison Avenue, Unit 12A",Midtown South,8995,2 BD,2.5 BA
"414 West 45th Street, Unit 3R",Hell's Kitchen,4000,1 BD,1.5 BA
"1793 Amsterdam Avenue, Unit 6",Hamilton Heights,2280,2 BD,2 BA
2001 Broadway,Upper West Side,311438,empty Beds,empty Bath
"10 West End Avenue, Unit 8E",Upper West Side,3950,1 BD,1 BA
"301 East 61st Street, Unit 16A",Upper East Side,13995,3 BD,3.5 BA
"447 West 36th Street, Unit 2",Hudson Yards,9495,Studio,1 BA
"165 Charles Street, Unit 3",West Village,5250,Studio,1 BA
"2285 Adam Clayton Powell Junior Boulevard, Unit 3N",Harlem,4200,4 BD,2 BA
120 Thompson Street,SoHo,5000,Studio,0.5 BA
"22 East 17th Street, Unit Retail",Flatiron,30297,empty Beds,empty Bath
"411 East 53rd Street, Unit 2J",Midtown East,2700,1 BD,1 BA
"344 East 61st Street, Unit 12",Upper East Side,2095,Alcove,1 BA
138 Manhattan Avenue,Upper West Side,16995,5 BD,3.5 BA
"531 East 88th Street, Unit 1C",Upper East Side,2000,Studio,1 BA
"310 Greenwich Street, Unit 39K",TriBeCa,6195,2 BD,2 BA
"330 East 119th Street, Unit 6B",East Harlem,2675,1 BD,1 BA
"23 West 88th Street, Unit 2F",Upper West Side,2600,Studio,1 BA
120 Thompson Street,SoHo,2400,Studio,1 BA
"530 Park Avenue, Unit 14D",Upper East Side,20495,3 BD,3.5 BA
"159 West 53rd Street, Unit 24A",Theater District,2900,1 BD,1 BA
"580 Amsterdam Avenue, Unit A",Upper West Side,8000,empty Beds,empty Bath
"615 East 6th Street, Unit G",Chelsea,6495,3 BD,2 BA
"210 Forsyth Street, Unit 4",Lower East Side,6500,2 BD,2 BA
"60 East 96th Street, Unit 1B",Upper East Side,8700,3 BD,2 BA
"151 East 58th Street, Unit 34B",Midtown East,40000,4 BD,3.5 BA
"45 Tudor City Place, Unit 1012",Midtown East,2200,Studio,1 BA
"1396 3rd Avenue, Unit 1B",Upper East Side,4900,2 BD,1.5 BA
"333 West 57th Street, Unit 305",Hell's Kitchen,5000,2 BD,1 BA
"10 Manhattan Avenue, Unit 2C",Upper West Side,5500,5 BD,2 BA
"350 West 50th Street, Unit 11E",Hell's Kitchen,4995,2 BD,2 BA
"35 West 15th Street, Unit 16A",Flatiron,20000,3 BD,3.5 BA
"134 West 13th Street, Unit TRIPLEX",West Village,21000,4 BD,2.5 BA
"270 West 17th Street, Unit 8E",Chelsea,4000,1 BD,1 BA
"150 West 56th Street, Unit 5403",Theater District,6000,2 BD,2 BA
"225 5th Avenue, Unit 2H",NoMad,6750,1 BD,1 BA
"133 West 22nd Street, Unit 3K",Chelsea,4500,1 BD,1 BA
"456 West 19th Street, Unit PenthouseH",Chelsea,30000,3 BD,3.5 BA
"16 East 18th Street, Unit 3",Flatiron,14500,3 BD,3 BA
"10 Charles Street, Unit 4B",West Village,6500,1 BD,1.5 BA
"293 East 10th Street, Unit 2",East Village,5450,3 BD,1 BA
"2259 Adam Clayton Powell Junior Boulevard, Unit 2E",Harlem,4300,4 BD,2 BA
"273 West 138th Street, Unit 3A",Harlem,2650,2 BD,1 BA
"35 West 33rd Street, Unit 30B",Midtown South,3208,Studio,1 BA
"50 United Nations Plaza, Unit 10C",Midtown East,7995,2 BD,2 BA
"211 West 70th Street, Unit 3B",Upper West Side,2300,Studio,1 BA
"470 West 24th Street, Unit 11A",Chelsea,5000,1 BD,1 BA
"306 West 48th Street, Unit 15A",Hell's Kitchen,4375,1 BD,1 BA
"84 Horatio Street, Unit 1B",West Village,3150,Studio,1 BA
"312 West 101st Street, Unit 10",Upper West Side,2200,Studio,1 BA
"332 Bowery, Unit 2R",NoHo,6500,1 BD,1 BA
"347 West 57th Street, Unit 22A",Hell's Kitchen,5600,2 BD,2 BA
12 Charles Lane,West Village,10995,2 BD,2 BA
"372 Central Park West, Unit 9JF",Upper West Side,3700,1 BD,1 BA
"425 East 13th Street, Unit 1A",East Village,5500,2 BD,2 BA
"176 West 87th Street, Unit 3C",Upper West Side,12750,2 BD,2 BA
"628-539 Lenox Avenue, Unit 4C",Harlem,3300,3 BD,1 BA
12 Ave A,"Manhattan, NY 10009",19500,4 BD,4.5 BA
"1 Irving Place, Unit P14FG",Gramercy,8900,3 BD,2 BA
230 East 62nd Street,Upper East Side,19750,4 BD,5 BA
"542 West 153rd Street, Unit 702",Hamilton Heights,4570,2 BD,1 BA
"340 West 17th Street, Unit 2A",Chelsea,2950,1 BD,1 BA
"66 West 38th Street, Unit 38E",Midtown South,3717,1 BD,1 BA
"196 Orchard Street, Unit 9E",Lower East Side,22000,3 BD,3.5 BA
"21 Downing Street, Unit 4",West Village,5900,1 BD,1 BA
"1627 Park Avenue, Unit 3A",East Harlem,2475,2 BD,1 BA
"14 West 14th Street, Unit 7B",Flatiron,5200,1 BD,1 BA
"339 East 82nd Street, Unit GARDEN",Upper East Side,3200,1 BD,1 BA
"475 Greenwich Street, Unit PHN",TriBeCa,25000,3 BD,2.5 BA
"241 Waverly Place, Unit 1",West Village,4800,1 BD,1 BA
"354 Broome Street, Unit 3H",NoLita,6750,1 BD,2 BA
"155 East 38th Street, Unit 12E",Murray Hill,3900,1 BD,1 BA
"236 East 78th Street, Unit 4B",Upper East Side,2250,Studio,1 BA
"2172 2nd Avenue, Unit 3",East Harlem,2200,2 BD,1 BA
309 West 121st Street,Harlem,3900,3 BD,2 BA
"845 United Nations Plaza, Unit 62A",Midtown East,13500,2 BD,2.5 BA
"70 West 68th Street, Unit 4R",Upper West Side,2525,1 BD,1 BA
"304 Park Avenue South, Unit Retail",Flatiron,62500,empty Beds,empty Bath
"200 East 32nd Street, Unit 19A",Kips Bay,3800,2 BD,1 BA
"147 West 142nd Street, Unit 5A",Harlem,2600,1 BD,1 BA
"159 West 53rd Street, Unit 26A",Theater District,3200,1 BD,1 BA
"145 East 22nd Street, Unit 1A",Gramercy,6350,3 BD,2 BA
"175 East 2nd Street, Unit GD",East Village,4200,Studio,1 BA
"18 West 48th Street, Unit 19E",Theater District,5000,1 BD,1.5 BA
"145 East 22nd Street, Unit 1A",Gramercy,6350,3 BD,2 BA
"147 West 142nd Street, Unit 5A",Harlem,2600,1 BD,1 BA
"953 Columbus Avenue, Unit 1N",Upper West Side,2383,1 BD,1 BA
"2322 Adam Clayton Powell Junior Boulevard, Unit UNIT 5H",Harlem,3500,3 BD,1.5 BA
"145 West 117th Street, Unit 2",Harlem,2200,1 BD,1 BA
"166 Duane Street, Unit 3B",TriBeCa,22000,4 BD,3.5 BA
"160 Central Park South, Unit 3703",Central Park South,10000,1 BD,1 BA
"949 Columbus Avenue, Unit 8",Upper West Side,3200,3 BD,1 BA
"244 E 5th St, Unit Garden",East Village,5300,1 BD,1 BA
"225 5th Avenue, Unit 5S",NoMad,8700,2 BD,2 BA
"212 East 57th Street, Unit 9A",Midtown East,7500,2 BD,2.5 BA
"1485 5th Avenue, Unit 11G",East Harlem,2400,Studio,1 BA
"330 East 119th Street, Unit 3C",East Harlem,2425,1 BD,1 BA
"205 West 54th Street, Unit 2E",Theater District,4000,2 BD,2 BA
"225 West 83rd Street, Unit 7I",Upper West Side,3900,1 BD,1 BA
753 Madison Avenue,Upper East Side,166666,empty Beds,empty Bath
"161 West 16th Street, Unit 11D",Chelsea,3300,Studio,1 BA
"324 East 30th Street, Unit Ground Floor",Kips Bay,3200,Studio,1 BA
"2056 5th Avenue, Unit 2B",Harlem,5995,3 BD,2.5 BA
"39 Christopher Street, Unit 1B",West Village,2995,1 BD,1 BA
"88 Greenwich Street, Unit 3203",Financial District,2800,Studio,1 BA
"17 Convent Avenue, Unit 3D",Morningside Heights,3100,1 BD,1 BA
"129 Grand Street, Unit 3",SoHo,18000,3 BD,2.5 BA
"845 United Nations Plaza, Unit 78C",Midtown East,22500,3 BD,3.5 BA
"4 West 21st Street, Unit 14A",Flatiron,8500,2 BD,2 BA
"128 West 13th Street, Unit 31",West Village,3229,1 BD,1 BA
900 Park Avenue,Upper East Side,13980,3 BD,3.5 BA
"51 West 81st Street, Unit 8D",Upper West Side,5750,2 BD,2 BA
"1 Morton Square, Unit 10AE",West Village,7500,1 BD,1 BA
"56 Leonard Street, Unit 46EAST",TriBeCa,38500,4 BD,4.5 BA
"123 Washington Street, Unit 43G",Financial District,4375,1 BD,1 BA
287 Edgecombe Avenue,Hamilton Heights,2700,3 BD,1 BA
"80 Park Avenue, Unit 9L",Murray Hill,3400,Alcove,1 BA
"627 West 136th Street, Unit 3",Hamilton Heights,2600,2 BD,1 BA
"568 West 192nd Street, Unit 45",Washington Heights,2850,3 BD,2 BA
"145 Lexington Avenue, Unit 5",Kips Bay,8000,2 BD,2 BA
"45 Tudor City Place, Unit 706",Midtown East,1925,Studio,1 BA
"302 West 12th Street, Unit 3A",West Village,6500,1 BD,1 BA
"66 Overlook Terrace, Unit 2H",Washington Heights,2400,1 BD,1 BA
"352 West 117th Street, Unit 4C",Harlem,3000,1 BD,1 BA
"172 Madison Avenue, Unit 22A",Midtown South,9950,2 BD,2.5 BA
"200 Central Park South, Unit 31A",Central Park South,16500,2 BD,2.5 BA
"75 Wall Street, Unit 21D",Financial District,3350,Alcove,1 BA
"143 West 4th Street, Unit 4F",Greenwich Village,10000,5 BD,2 BA
"531 Manhattan Avenue, Unit 2",Harlem,6500,3 BD,3 BA
"125 West 22nd Street, Unit 10A",Chelsea,11000,2 BD,2.5 BA
"455 Central Park West, Unit 22B",Upper West Side,6950,2 BD,2.5 BA
"345 East 80th Street, New York, NY, USA, Unit 17J",Upper East Side,3495,1 BD,1 BA
"345 East 80th Street, New York, NY, USA, Unit 17J",Upper East Side,3495,1 BD,1 BA
516 West 134th Street,Morningside Heights,3200,4 BD,2 BA
"245 West 51st Street, Unit 406",Theater District,3795,2 BD,1 BA
"376 Broadway, Unit 13B",TriBeCa,3995,2 BD,1 BA
"250 East 30th Street, Unit 10C",Kips Bay,2500,Alcove,1 BA
"158 West 119th Street, Unit PH",Harlem,4000,2 BD,2 BA
"11 East 29th Street, Unit 10C",NoMad,6500,2 BD,2 BA
"250 East 40th Street, Unit 7F",Murray Hill,3850,1 BD,1.5 BA
"48 Carmine Street, Unit RETAIL",West Village,13500,empty Beds,1 BA
"135 West 52nd Street, Unit 23C",Theater District,9750,2 BD,2 BA
"26 West 9th Street, Unit 8DD",Greenwich Village,7800,2 BD,0.5 BA
"400 East 67th Street, Unit 17B",Upper East Side,9995,3 BD,3 BA
"10 Manhattan Avenue, Unit 2C",Upper West Side,5500,5 BD,2 BA
"77 7th Avenue, Unit PHAB",Chelsea,10000,2 BD,2.5 BA
"100 West 31st Street, Unit 25D",Chelsea,3795,Alcove,1 BA
"151 West 17th Street, Unit 2C",Chelsea,8950,2 BD,2 BA
"270 West 19th Street, Unit 1B",Chelsea,9500,2 BD,2 BA
"252 7th Avenue, Unit 11S",Chelsea,5995,1 BD,1 BA
"433 West 34th Street, Unit 7N",Hudson Yards,3500,1 BD,1 BA
"252 East 57th Street, Unit 58A",Midtown East,27500,3 BD,3 BA
"810 Broadway, Unit 4",Greenwich Village,10995,2 BD,2.5 BA
"2 Cornelia Street, Unit 502",West Village,9500,2 BD,2 BA
"38 East 1st Street, Unit 3B",East Village,8500,2 BD,2 BA
"221 East 88th Street, Unit 2",Upper East Side,2100,1 BD,1 BA
"151 West 51st Street, Unit 1215",Theater District,3800,1 BD,1 BA
"40 West 116th Street, Unit A917",Harlem,3000,1 BD,1 BA
"150 West 51st Street, Unit 1104",Theater District,3600,1 BD,1 BA
"225 East 34th Street, Unit 14C",Murray Hill,6500,2 BD,2 BA
"133 West 22nd Street, Unit 2J",Chelsea,4850,1 BD,1 BA
"16 East 77th Street, Unit 3",Upper East Side,12775,2 BD,2 BA
"236 West 26th Street, Unit 5SW",Chelsea,6395,2 BD,1 BA
"1399 Park Avenue, Unit 7B",East Harlem,4750,2 BD,2 BA
"15 West 107th Street, Unit 53",Upper West Side,4800,4 BD,1 BA
"252 East 7th Street, Unit 2",East Village,2200,Alcove,1 BA
"225 East 34th Street, Unit 5B",Murray Hill,4699,1 BD,1 BA
"754 East 6th Street, Unit 6E",East Village,8650,4 BD,3.5 BA
"448 East 88th Street, Unit 1A",Upper East Side,1995,Studio,1 BA
"281 Grand Street, Unit 5F",Lower East Side,6600,4 BD,2 BA
"53 Howard Street, Unit 3C",SoHo,7000,1 BD,1 BA
"107 West 25th Street, Unit 5E",Chelsea,5995,2 BD,1 BA
"225 Rector Place, Unit 16E",Battery Park City,4300,1 BD,1 BA
"121 East 22nd Street, Unit N203",Gramercy,4795,1 BD,1 BA
"288 West Street, Unit 4W",TriBeCa,8500,2 BD,2 BA
"234 West 148th Street, Unit 3E",Harlem,2375,1 BD,1 BA
"155 Hester Street, Unit 704A",Chinatown,4200,2 BD,2 BA
