"1328 Fulton Street, Apt. 704",3513,"2 Beds / 2 Baths / 1,022 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
"499 Dean Street, Apt. 1A",6800,"3 Beds / 2 Baths / 2,000 Sq. Ft. / Condo",Prospect Heights,Brooklyn
"1328 Fulton Street, Apt. P204",2082,Studio / 1 Bath / 460 Sq. Ft. / Rental,Bedford-Stuyvesant,Brooklyn
"241 Ocean Parkway, Apt. 241D1",2750,2 Beds / 2 Baths / Rental,Kensington,Brooklyn
641 Warren Street,11000,4 Beds / 2 Baths / House,Park Slope,Brooklyn
"1048 Bedford Avenue, Apt. 2F",1900,1 Bed / 1 Bath / Rental,Bedford-Stuyvesant,Brooklyn
"330 Mac Donough Street, Apt. 2",2350,4 Units / 3 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"125 North 10th Street, Apt. S2I",5700,"2 Beds / 2 Baths / 1,123 Sq. Ft. / Condo",Williamsburg,Brooklyn
"21 India Street, Apt. 28C",3795,1 Bed / 1 Bath / Condo,Greenpoint,Brooklyn
"16 Herkimer Court, Apt. 1",1800,2 Units / 2 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"46 South 2nd Street, Apt. 1 C",5000,2 Beds / 2 Baths / Condo,Williamsburg,Brooklyn
"3320 Avenue H, Apt. 3B",2295,2 Beds / 1 Bath / 900 Sq. Ft. / Co-op,Flatbush,Brooklyn
"440 Nostrand Avenue, Apt. 2",2383,4 Units / 4 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"132 8th Street, Apt. 2",2400,2 Units / 3 Floors / Townhouse,Gowanus,Brooklyn
"402 Decatur Street, Apt. 1",2300,"2 Units / 3 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant,Brooklyn
"324 Dean Street, Apt. 1B",7385,"3 Beds / 3 Baths / 2,200 Sq. Ft. / Condo",Boerum Hill,Brooklyn
"219 5th Avenue, Apt. 2R",3050,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Rental",Park Slope,Brooklyn
"180 Nassau Street, Apt. 8K",4500,2 Beds / 2 Baths / 958 Sq. Ft. / Rental,Downtown Brooklyn,Brooklyn
"607 Flatbush Avenue, Apt. 2A",3700,3 Beds / 1 Bath / Rental,Lefferts Gardens,Brooklyn
"100 Atlantic Avenue, Apt. 3P",3200,1 Bed / 1 Bath / Rental,Brooklyn Heights,Brooklyn
"51 Lincoln Place, Apt. PH",9000,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Condo",Park Slope,Brooklyn
"787 Lexington Avenue, Apt. 1a",2695,2 Units / 2 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"376 Myrtle Avenue, Apt. 2",3399,2 Beds / 1 Bath / Rental,Fort Greene,Brooklyn
"326A President Street, Apt. 1",10500,2 Units / 3 Floors / Multi-Family Townhouse,Carroll Gardens,Brooklyn
"2265 Gerritsen Avenue, Apt. 3D",2100,2 Beds / 1 Bath / 950 Sq. Ft. / Co-op,Marine Park,Brooklyn
"75 Columbia Street, Apt. 5A",6200,3 Beds / 2 Baths / Condo,empty neighborhood,Brooklyn
"305 Hart Street, Apt. 3",3199,3 Beds / 2 Baths / House,Bedford-Stuyvesant,Brooklyn
"912 Putnam Avenue, Apt. 3",3295,3 Units / 2 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"455 Chauncey Street, Apt. 3L",2050,4 Units / 4 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"345 Herzl Street, Apt. 2",2200,2 Units / 3 Floors / Multi-Family Townhouse,empty neighborhood,Brooklyn
928 Ralph Avenue,2400,2 Floors / House,Flatbush,Brooklyn
"1166 HALSEY STREET, Apt. 3",2300,3 Units / 3 Floors / House,empty neighborhood,Brooklyn
"1166 HALSEY STREET, Apt. 1",2300,3 Units / 3 Floors / House,empty neighborhood,Brooklyn
865 Union Street,12000,4 Floors / Single Family Townhouse,Park Slope,Brooklyn
"124 15th Street, Apt. 2",3450,"3 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Gowanus,Brooklyn
574 Eastern Parkway,4850,"4 Beds / 2 Baths / 2,080 Sq. Ft. / House",Crown Heights,Brooklyn
"488A 7th Avenue, Apt. 2",2600,3 Units / 4 Floors / 700 Sq. Ft. / Townhouse,Park Slope,Brooklyn
"743 Miller Avenue, Apt. 3f",1950,2 Beds / 1 Bath / Rental,empty neighborhood,Brooklyn
"634 11th Street, Apt. 3F",3800,2 Beds / 1 Bath / Condo,Park Slope,Brooklyn
"787 East 10th Street, Apt. 1F",2000,4 Units / 2 Floors / House,Midwood,Brooklyn
"725 4th Avenue, Apt. A3",2650,3 Beds / 1 Bath / Rental,Sunset Park,Brooklyn
"1673 Union Street, Apt. GDN",1700,2 Units / 2 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"612 President Street, Apt. 2",4250,5 Beds / 1 Bath / Rental,Park Slope,Brooklyn
"220 Quincy Avenue, Apt. 2",3250,"1,000 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant,Brooklyn
"448 Prospect Avenue, Apt. 1-R",4400,2 Units / 2 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"154 Summit Street, Apt. Garden",5999,4 Units / 3 Floors / Multi-Family Townhouse,Carroll Gardens,Brooklyn
"1461 Ovington Avenue, Apt. 2",2400,3 Units / 3 Floors / Multi-Family Townhouse,Dyker Heights,Brooklyn
"465 Eastern Parkway, Apt. Q",3000,3 Beds / 1 Bath / 900 Sq. Ft. / Co-op,Crown Heights,Brooklyn
"214 14th Street, Apt. 3",2695,"3 Units / 3 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Park Slope,Brooklyn
187 McDonald Avenue,5750,1 Floor / Single Family Townhouse,Windsor Terrace,Brooklyn
"546 2nd Street, Apt. 2",9500,"2,750 Sq. Ft. / Multi-Family Townhouse",Park Slope,Brooklyn
"708 Fenimore Street, Apt. 1",2200,3 Units / 2 Floors / Multi-Family Townhouse,Flatbush,Brooklyn
"69 7th Avenue, Apt. 1",8000,"Studio / 1 Bath / 2,000 Sq. Ft. / Mixed Use Townhouse",Park Slope,Brooklyn
"195 Spencer Street, Apt. 5B",3200,"2 Beds / 2 Baths / 1,179 Sq. Ft. / Condo",Clinton Hill,Brooklyn
"215A Prospect Avenue, Apt. Apt. 2",3380,3 Units / 3 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
397 3rd Street,13000,4 Floors / Single Family Townhouse,Park Slope,Brooklyn
"407 Miller Avenue, Apt. 2",2300,2 Units / 2 Floors / House,empty neighborhood,Brooklyn
"176 Lefferts Place, Apt. 3",2600,1 Bed / 1 Bath / 623 Sq. Ft. / Condo,Clinton Hill,Brooklyn
"360 Furman Street, Apt. 541",7500,"2 Beds / 2 Baths / 1,536 Sq. Ft. / Condo",Brooklyn Heights,Brooklyn
"300 Ashland Place, Apt. 33B",6300,2 Beds / 2 Baths / Rental,Fort Greene,Brooklyn
"488A 7th Avenue, Apt. 3",2950,3 Units / 4 Floors / 700 Sq. Ft. / Townhouse,Park Slope,Brooklyn
"1497 Prospect Place, Apt. 3A",2500,2 Beds / 1 Bath / Condo,Crown Heights,Brooklyn
"896 Park Place, Apt. 2",3800,3 Units / 3 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"651 Washington Avenue, Apt. 1F",1995,Studio / 1 Bath / Condo,Prospect Heights,Brooklyn
"23 dean street, Apt. 2",3995,Multi-Family Townhouse,Cobble Hill,Brooklyn
"583A Macon Street, Apt. 4",2000,3 Units / 3 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"345 Lenox Road, Apt. PHB",6000,"3 Beds / 2 Baths / 1,330 Sq. Ft. / Condo",Flatbush,Brooklyn
"214A 14th Street, Apt. 3",2700,"3 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Park Slope,Brooklyn
"35 Broadway, Apt. 2A",5600,"2 Beds / 1 Bath / 1,614 Sq. Ft. / Rental",Williamsburg,Brooklyn
"607 Putnam Avenue, Apt. 2",2300,3 Units / 3 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
379 2nd Street,9000,3 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"361 Stagg Street, Apt. 2nd floor",23500,"10,000 Sq. Ft. / Townhouse",Williamsburg,Brooklyn
"2818 Albemarle Road, Apt. 2",2400,3 Units / 3 Floors / Multi-Family Townhouse,Flatbush,Brooklyn
"43 DAHILL Road, Apt. 1",2700,3 Beds / 1 Bath / Rental,Kensington,Brooklyn
"494 Hendrix Street, Apt. 1",2495,2 Units / 2 Floors / Multi-Family Townhouse,empty neighborhood,Brooklyn
"644 Driggs Ave, Apt. 4",2584,Townhouse,Williamsburg,Brooklyn
"405 Humboldt St, Apt. 1",3000,Townhouse,Williamsburg,Brooklyn
"159 Grand Street, Apt. 1",10000,"3 Units / 3 Floors / 1,500 Sq. Ft. / Multi-Family Townhouse",Williamsburg,Brooklyn
"360 Furman Street, Apt. 410",9000,"3 Beds / 2 Baths / 1,434 Sq. Ft. / Condo",Brooklyn Heights,Brooklyn
"729 6th Avenue, Apt. 3R",2100,5 Units / 3 Floors / Multi-Family Townhouse,Greenwood,Brooklyn
"240 9th Street, Apt. 2",5500,2 Units / 2 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"151 Leonard Street, Apt. 2",3500,4 Units / 3 Floors / Multi-Family Townhouse,Williamsburg,Brooklyn
"2409 Tilden Avenue, Apt. 1L",1850,2 Beds / 1 Bath / 700 Sq. Ft. / Rental,Flatbush,Brooklyn
