Address,Neighborhood,Price,Beds,Baths,Boro
"264 Lexington Avenue, Unit 3B",Murray Hill,4350,2 BD,1 BA,Manhattan
"2546 Adam Clayton Powell Junior Boulevard, Unit 6",Harlem,2150,2 BD,1 BA,Manhattan
"245 West 51st Street, Unit 711",Theater District,3750,2 BD,1 BA,Manhattan
"568 West 192nd Street, Unit 26",Washington Heights,2625,3 BD,1 BA,Manhattan
"536 West 159th Street, Unit 4A",Washington Heights,1850,1 BD,1 BA,Manhattan
"252 West 30th Street, Unit 3B",Chelsea,10000,3 BD,2 BA,Manhattan
"27 Bethune Street, Unit 3",West Village,5395,2 BD,1 BA,Manhattan
"235 East 83rd Street, Unit 5H",Upper East Side,2750,1 BD,1 BA,Manhattan
241 West 17th Street,Chelsea,25000,6 BD,5 BA,Manhattan
"590 West 204th Street, Unit A55",Inwood,2100,2 BD,1 BA,Manhattan
"15 Hudson Yards, Unit 31J",Manhattan,8200,1 BD,1.5 BA,Manhattan
"177 9th Avenue, Unit PHF",Chelsea,19000,3 BD,3 BA,Manhattan
"1107 Broadway, Unit 2G",NoMad,19500,3 BD,3.5 BA,Manhattan
"2245 Adam Clayton Powell Junior Boulevard, Unit 5E",Harlem,3450,3 BD,2 BA,Manhattan
"9 East 16th Street, Unit 2C",Flatiron,7495,1 BD,2 BA,Manhattan
"140 West 71st Street, Unit 6E",Upper West Side,3300,1 BD,1 BA,Manhattan
"1011 Lexington Avenue, Unit Retail",Upper East Side,31667,empty Beds,empty Bath,Manhattan
"342 West 56th Street, Unit 2C",Hell's Kitchen,3300,1 BD,1 BA,Manhattan
"166 West 129th Street, Unit 20",Harlem,2000,1 BD,1 BA,Manhattan
"342 East 110th Street, Unit 8A",East Harlem,3000,1 BD,1 BA,Manhattan
"342 East 110th Street, Unit 8A",East Harlem,3000,1 BD,1 BA,Manhattan
"894 Riverside Drive, Unit 2I",Washington Heights,1800,1 BD,1 BA,Manhattan
"230 Riverside Drive, Unit 9B",Upper West Side,3500,1 BD,1 BA,Manhattan
"312 East 30th Street, Unit 14B",Kips Bay,6995,4 BD,2 BA,Manhattan
"15 Barrow Street, Unit 3",West Village,7370,1 BD,2 BA,Manhattan
"33 Park Row, Unit Retail/Office",Financial District,225179,empty Beds,empty Bath,Manhattan
"590 West 204th Street, Unit A45",Inwood,2200,2 BD,1 BA,Manhattan
"330 5th Avenue, Unit Retail",Midtown South,70000,empty Beds,empty Bath,Manhattan
"113 Elizabeth Street, Unit 4A",Little Italy,6495,3 BD,2 BA,Manhattan
"350 5th Avenue, Unit 4810",Midtown South,22517,Studio,1 BA,Manhattan
"45 Rockefeller Plaza, Unit 3205",Theater District,10250,empty Beds,empty Bath,Manhattan
"525 West 175th Street, Unit 55",Washington Heights,2100,2 BD,1 BA,Manhattan
"166 Perry Street, Unit 3B",West Village,11500,2 BD,2 BA,Manhattan
"752 Greenwich Street, Unit 2C",West Village,3350,1 BD,1 BA,Manhattan
"7 East 20th Street, Unit 10F",Flatiron,9500,2 BD,2 BA,Manhattan
"312 East 30th Street, Unit 11E",Kips Bay,5395,3 BD,1 BA,Manhattan
"115 Christopher Street, Unit PH",West Village,17500,2 BD,2 BA,Manhattan
"15 West 53rd Street, Unit 9C",Theater District,4400,1 BD,1.5 BA,Manhattan
