Address,Neighborhood,Price,Beds,Baths,Boro
535 West 23rd Street,Chelsea,7260,2 BD,2 BA,Manhattan
"130 West 15th Street, Unit 14C",Chelsea,7065,1 BD,1 BA,Manhattan
"130 West 15th Street, Unit 10W",Chelsea,5290,1 BD,1 BA,Manhattan
"130 West 15th Street, Unit 4E",Chelsea,6145,1 BD,1 BA,Manhattan
"130 West 15th Street, Unit 10B",Chelsea,4775,Studio,1 BA,Manhattan
"130 West 15th Street, Unit 8H",Chelsea,6790,1 BD,1 BA,Manhattan
"130 West 15th Street, Unit 14J",Chelsea,4570,Studio,1 BA,Manhattan
"130 West 15th Street, Unit 10V",Chelsea,4335,Studio,1 BA,Manhattan
"180 West 20th Street, Unit 15C",Chelsea,6490,1 BD,1 BA,Manhattan
"180 West 20th Street, Unit 16E",Chelsea,6030,1 BD,1 BA,Manhattan
"180 West 20th Street, Unit 8U",Chelsea,6320,1 BD,1 BA,Manhattan
"180 West 20th Street, Unit 10R",Chelsea,6070,1 BD,1 BA,Manhattan
"130 West 15th Street, Unit 14E",Chelsea,6175,1 BD,1 BA,Manhattan
"750 Columbus Avenue, Unit 4F",Upper West Side,5581,2 BD,2 BA,Manhattan
"505 West 54th Street, Unit 207",Hell's Kitchen,3879,1 BD,1 BA,Manhattan
"470 2nd Avenue, Unit 17A",Kips Bay,3920,1 BD,1 BA,Manhattan
"105 West 29th Street, Unit 42A",Chelsea,4143,Studio,1 BA,Manhattan
"206 West 80th Street, Unit 3RE",Upper West Side,3300,1 BD,1 BA,Manhattan
"720 West 172nd Street, Unit 4C",Washington Heights,3000,3 BD,1 BA,Manhattan
"452 Fort Washington Avenue, Unit 24",Washington Heights,4585,4 BD,2 BA,Manhattan
"242 West 122nd Street, Unit 1A",Harlem,3400,3 BD,1 BA,Manhattan
"238 West 122nd Street, Unit 4A",Harlem,2395,1 BD,1 BA,Manhattan
"236 West 122nd Street, Unit 5B",Harlem,3250,3 BD,1 BA,Manhattan
"548 West 164th Street, Unit 3H",Washington Heights,3850,4 BD,2 BA,Manhattan
"550 West 45th Street, Unit 1503",Hell's Kitchen,4490,1 BD,1 BA,Manhattan
"505 West 54th Street, Unit 424",Hell's Kitchen,5224,2 BD,2 BA,Manhattan
"505 West 54th Street, Unit 608",Hell's Kitchen,3663,1 BD,1 BA,Manhattan
"180 Riverside Boulevard, Unit 6F",Upper West Side,3002,Studio,1 BA,Manhattan
"505 West 29th Street, Unit 16C",Chelsea,8430,2 BD,2 BA,Manhattan
"505 West 29th Street, Unit 24B",Chelsea,6760,1 BD,1 BA,Manhattan
"330 East 52nd Street, Unit 15",Midtown East,3000,2 BD,1 BA,Manhattan
"2165 2nd Avenue, Unit 4N",East Harlem,2350,2 BD,1 BA,Manhattan
"40 Harrison Street, Unit 10E",TriBeCa,4395,1 BD,1 BA,Manhattan
"51 Irving Place, Unit 2K",Gramercy,2870,Studio,1 BA,Manhattan
"234 West 122nd Street, Unit 4A",Harlem,2625,2 BD,1 BA,Manhattan
"41 West 71st Street, Unit 3A",Upper West Side,3000,1 BD,1 BA,Manhattan
"410 West 53rd Street, Unit 317",Hell's Kitchen,3150,Studio,1 BA,Manhattan
"51 Irving Place, Unit 6C",Gramercy,4499,1 BD,1 BA,Manhattan
"51 Irving Place, Unit 6K",Gramercy,4457,1 BD,2 BA,Manhattan
"99 Jane Street, Unit 2J",West Village,8750,2 BD,2 BA,Manhattan
"51 Irving Place, Unit 6H",Gramercy,4457,1 BD,2 BA,Manhattan
"101 West 90th Street, Unit THL",Upper West Side,6530,3 BD,2 BA,Manhattan
"70 West 95th Street, Unit 8F",Upper West Side,4795,2 BD,1 BA,Manhattan
75 West End Avenue,Upper West Side,5400,2 BD,2 BA,Manhattan
"55 West 25th Street, Unit 24L",NoMad,4300,Studio,1 BA,Manhattan
"317 East 5th Street, Unit 2A",East Village,2750,Studio,1 BA,Manhattan
"317 East 5th Street, Unit 2A",East Village,2750,Studio,1 BA,Manhattan
"240 East 27th Street, Unit 5C",Kips Bay,5672,2 BD,2 BA,Manhattan
"2020 Broadway, Unit 4C",Upper West Side,3300,1 BD,1 BA,Manhattan
"555 West 152nd Street, Unit 3B",Hamilton Heights,1895,1 BD,1 BA,Manhattan
"547 West 152nd Street, Unit 2F",Hamilton Heights,1250,Studio,1 BA,Manhattan
"547 West 152nd Street, Unit 2F",Hamilton Heights,1250,Studio,1 BA,Manhattan
"8 Spruce Street, Unit 48E",Financial District,3795,Studio,1 BA,Manhattan
"72 Wall Street, Unit 305",Financial District,3650,2 BD,1 BA,Manhattan
"300 West 21st Street, Unit 34",Chelsea,3800,1 BD,1 BA,Manhattan
"300 West 21st Street, Unit 34",Chelsea,3800,1 BD,1 BA,Manhattan
"229 West 20th Street, Unit 2C",Chelsea,3100,1 BD,1 BA,Manhattan
"229 West 20th Street, Unit 2C",Chelsea,3100,1 BD,1 BA,Manhattan
"10 East 29th Street, Unit 27H",NoMad,3798,Studio,1 BA,Manhattan
"10 East 29th Street, Unit 27H",NoMad,4115,Studio,1 BA,Manhattan
"330 East 38th Street, Unit K47",Murray Hill,6000,2 BD,2 BA,Manhattan
"40 Broad Street, Unit C25",Financial District,3200,Studio,1 BA,Manhattan
"505 West 54th Street, Unit 927",Hell's Kitchen,3141,Studio,1 BA,Manhattan
"117 West 116th Street, Unit 5",Harlem,2750,2 BD,1 BA,Manhattan
"445 West 125th Street, Unit 3D",Morningside Heights,2400,2 BD,1 BA,Manhattan
"150 West 58th Street, Unit 10B",Theater District,3500,1 BD,1 BA,Manhattan
"620 East 11th Street, Unit 23","Manhattan, NY 10009",2975,2 BD,1 BA,Manhattan
"202 6th Avenue, Unit 2K",SoHo,3750,1 BD,1 BA,Manhattan
"205 West 103rd Street, Unit 3E",Upper West Side,1110,5 BD,1.5 BA,Manhattan
"1224 St Nicholas Avenue, Unit 6H",Washington Heights,1645,Studio,1 BA,Manhattan
"8 St Marks Place, Unit 18",East Village,3650,2 BD,1 BA,Manhattan
"212 West 22nd Street, Unit 6P",Chelsea,2449,Studio,1 BA,Manhattan
"212 West 22nd Street, Unit 6P",Chelsea,2449,Studio,1 BA,Manhattan
"1091 2nd Avenue, Unit 3RS",Midtown East,2200,1 BD,1 BA,Manhattan
"448 West 19th Street, Unit PHD",Chelsea,3450,Studio,1 BA,Manhattan
"317 2nd Avenue, Unit 10",Gramercy,5225,3 BD,1 BA,Manhattan
"245 East 13th Street, Unit 3",East Village,4995,3 BD,1 BA,Manhattan
"350 3rd Avenue, Unit 3D",Kips Bay,3400,3 BD,1 BA,Manhattan
"40 Horatio Street, Unit 2A",West Village,2800,Studio,1 BA,Manhattan
"115 West 86th Street, Unit 8E",Upper West Side,3400,1 BD,1 BA,Manhattan
"115 West 86th Street, Unit 8E",Upper West Side,3400,1 BD,1 BA,Manhattan
"134 East 13th Street, Unit 3W",Greenwich Village,5400,3 BD,1 BA,Manhattan
"701 West 175th Street, Unit 3J",Washington Heights,2050,2 BD,1 BA,Manhattan
"241 West 24th Street, Unit 2B",Chelsea,2795,1 BD,1 BA,Manhattan
"61 East 66th Street, Unit 5B",Upper East Side,3750,2 BD,1 BA,Manhattan
"510 West 135th Street, Unit 8A",Morningside Heights,2200,2 BD,1 BA,Manhattan
"520 East 11th Street, Unit 4",East Village,2590,1 BD,1 BA,Manhattan
"10 East 29th Street, Unit 43F",NoMad,8949,2 BD,2 BA,Manhattan
"10 East 29th Street, Unit 43F",NoMad,9695,2 BD,2 BA,Manhattan
"208 West 23rd Street, Unit 700",Chelsea,5995,2 BD,2 BA,Manhattan
"777 6th Avenue, Unit 15C",Chelsea,6222,2 BD,2 BA,Manhattan
"520 East 11th Street, Unit 13",East Village,3490,2 BD,1 BA,Manhattan
"312-316 East 30th Street, Unit 6E",Kips Bay,5100,3 BD,1 BA,Manhattan
"165 East 66th Street, Unit 9J",Upper East Side,5500,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 39G",Hudson Yards,5300,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 39G",Hudson Yards,4892,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 51H",Hudson Yards,4149,Studio,1 BA,Manhattan
"555 10th Avenue, Unit 51H",Hudson Yards,4495,Studio,1 BA,Manhattan
"448 West 19th Street, Unit PHD",Chelsea,3450,Studio,1 BA,Manhattan
"317 2nd Avenue, Unit 10",Gramercy,5225,3 BD,1 BA,Manhattan
"245 East 13th Street, Unit 3",East Village,4995,3 BD,1 BA,Manhattan
"350 3rd Avenue, Unit 3D",Kips Bay,3400,3 BD,1 BA,Manhattan
"40 Horatio Street, Unit 2A",West Village,2800,Studio,1 BA,Manhattan
"115 West 86th Street, Unit 8E",Upper West Side,3400,1 BD,1 BA,Manhattan
"115 West 86th Street, Unit 8E",Upper West Side,3400,1 BD,1 BA,Manhattan
"134 East 13th Street, Unit 3W",Greenwich Village,5400,3 BD,1 BA,Manhattan
"701 West 175th Street, Unit 3J",Washington Heights,2050,2 BD,1 BA,Manhattan
"241 West 24th Street, Unit 2B",Chelsea,2795,1 BD,1 BA,Manhattan
"61 East 66th Street, Unit 5B",Upper East Side,3750,2 BD,1 BA,Manhattan
"510 West 135th Street, Unit 8A",Morningside Heights,2200,2 BD,1 BA,Manhattan
"520 East 11th Street, Unit 4",East Village,2590,1 BD,1 BA,Manhattan
"10 East 29th Street, Unit 43F",NoMad,8949,2 BD,2 BA,Manhattan
"10 East 29th Street, Unit 43F",NoMad,9695,2 BD,2 BA,Manhattan
"208 West 23rd Street, Unit 700",Chelsea,5995,2 BD,2 BA,Manhattan
"777 6th Avenue, Unit 15C",Chelsea,6222,2 BD,2 BA,Manhattan
"520 East 11th Street, Unit 13",East Village,3490,2 BD,1 BA,Manhattan
"312-316 East 30th Street, Unit 6E",Kips Bay,5100,3 BD,1 BA,Manhattan
"165 East 66th Street, Unit 9J",Upper East Side,5500,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 39G",Hudson Yards,5300,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 39G",Hudson Yards,4892,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 51H",Hudson Yards,4149,Studio,1 BA,Manhattan
"555 10th Avenue, Unit 51H",Hudson Yards,4495,Studio,1 BA,Manhattan
"555 10th Avenue, Unit 36M",Hudson Yards,4325,Studio,1 BA,Manhattan
"555 10th Avenue, Unit 36M",Hudson Yards,3992,Studio,1 BA,Manhattan
"148 West 141st Street, Unit 2F",Harlem,1676,1 BD,1 BA,Manhattan
"252 East 3rd Street, Unit 5",East Village,3295,2 BD,1 BA,Manhattan
"252 East 3rd, Unit 5",East Village,3295,2 BD,1 BA,Manhattan
626 1st Avenue,Murray Hill,3990,Studio,1 BA,Manhattan
"555 10th Avenue, Unit 31A",Hudson Yards,7995,2 BD,2 BA,Manhattan
"555 10th Avenue, Unit 31A",Hudson Yards,7380,2 BD,2 BA,Manhattan
"555 10th Avenue, Unit 46F",Hudson Yards,5238,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 46F",Hudson Yards,5675,1 BD,1 BA,Manhattan
"400 West 113th Street, Unit 1430",Morningside Heights,6950,2 BD,2 BA,Manhattan
"777 6th Avenue, Unit 29G",Chelsea,4724,1 BD,1 BA,Manhattan
"515 West 52nd Street, Unit 1009A",Hell's Kitchen,3495,1 BD,1 BA,Manhattan
"515 West 52nd Street, Unit 1020L",Hell's Kitchen,3361,Studio,1 BA,Manhattan
"515 West 52nd Street, Unit 1019M",Hell's Kitchen,3409,1 BD,1 BA,Manhattan
"10 East 29th Street, Unit 42D",NoMad,6115,1 BD,1 BA,Manhattan
"10 East 29th Street, Unit 42D",NoMad,6625,1 BD,1 BA,Manhattan
"207 Madison Street, Unit 19A",Lower East Side,3700,3 BD,1 BA,Manhattan
"342 East 8th Street, Unit 4E",East Village,3497,2 BD,1 BA,Manhattan
"227 Mott Street, Unit 3",NoLita,3050,1 BD,1 BA,Manhattan
"227 Mott Street, Unit 3",NoLita,3050,1 BD,1 BA,Manhattan
"99 Battery Place, Unit 25D",Battery Park City,7700,2 BD,2.5 BA,Manhattan
"177 Ludlow Street, Unit 4D",Lower East Side,3800,2 BD,1 BA,Manhattan
"488 7th Avenue, Unit 11H",Fashion District,2650,Studio,1 BA,Manhattan
"488 7th Avenue, Unit 11H",Fashion District,2650,Studio,1 BA,Manhattan
"250 West 50th Street, Unit 25K",Theater District,4399,1 BD,1 BA,Manhattan
"250 West 50th Street, Unit 3N",Theater District,3835,1 BD,1 BA,Manhattan
"250 West 50th Street, Unit 32J",Theater District,4092,1 BD,1 BA,Manhattan
"251 West 87th Street, Unit 73",Upper West Side,4600,3 BD,1.5 BA,Manhattan
"14 Ave A, Unit 7",East Village,2100,Studio,1 BA,Manhattan
"14 Ave A, Unit 7",East Village,2100,Studio,1 BA,Manhattan
"125 Riverside Drive, Unit 9A",Upper West Side,7333,3 BD,2 BA,Manhattan
"125 Riverside Drive, Unit 9A",Upper West Side,8000,3 BD,2 BA,Manhattan
"89 Murray Street, Unit 11F",TriBeCa,6415,2 BD,2 BA,Manhattan
"89 Murray Street, Unit 12J",TriBeCa,5030,1 BD,1 BA,Manhattan
"89 Murray Street, Unit 7L",TriBeCa,6550,2 BD,2 BA,Manhattan
"305 West 50th Street, Unit 10B",Hell's Kitchen,3577,Studio,1 BA,Manhattan
"546 Main Street, Unit 1205",Roosevelt Island,2195,Studio,1 BA,Manhattan
"56 East 130th Street, Unit 2R",East Harlem,2495,1 BD,1 BA,Manhattan
"55 East 95th Street, Unit 1C",Upper East Side,5000,2 BD,2 BA,Manhattan
"364 West 19th Street, Unit 2D",Chelsea,2300,Studio,1 BA,Manhattan
"510 East 14th Street, Unit 515",East Village,5257,1 BD,1 BA,Manhattan
"510 East 14th Street, Unit 515",East Village,5695,1 BD,1 BA,Manhattan
"80 North Moore Street, Unit 33A",TriBeCa,3795,1 BD,1 BA,Manhattan
"80 North Moore Street, Unit 36E",TriBeCa,4795,1 BD,1.5 BA,Manhattan
"80 North Moore Street, Unit 18J",TriBeCa,5695,2 BD,1 BA,Manhattan
"80 North Moore Street, Unit 15F",TriBeCa,5495,2 BD,1 BA,Manhattan
"170 East 2nd Street, Unit 3B",East Village,3750,2 BD,1 BA,Manhattan
"117 East 11th Street, Unit 1A",Greenwich Village,4995,3 BD,1 BA,Manhattan
"201 East 2nd Street, Unit 5E",East Village,3500,2 BD,1 BA,Manhattan
"70 West 37th Street, Unit 512",Midtown South,3319,Studio,1 BA,Manhattan
"75 Baxter Street, Unit 5",Chinatown,3469,2 BD,1 BA,Manhattan
"146 West 57th Street, Unit 6869D",Theater District,14995,3 BD,3 BA,Manhattan
"400 East 57th Street, Unit 3H",Midtown East,2933,Studio,1 BA,Manhattan
"548 West 164th Street, Unit 4F",Washington Heights,3300,4 BD,1 BA,Manhattan
"208 East 82nd Street, Unit 14",Upper East Side,2750,2 BD,1 BA,Manhattan
"544 East 86th Street, Unit 4E",Upper East Side,13500,4 BD,3 BA,Manhattan
"544 East 86th Street, Unit 4E",Upper East Side,13500,4 BD,3 BA,Manhattan
"150 West 51st Street, Unit 1727",Theater District,3950,1 BD,1 BA,Manhattan
"150 West 51st Street, Unit 807",Theater District,4800,2 BD,1 BA,Manhattan
"301 East 53rd Street, Unit 2A",Midtown East,3295,2 BD,1 BA,Manhattan
"625 West 57th Street, Unit 1616",Hell's Kitchen,6895,2 BD,2 BA,Manhattan
"115 West 86th Street, Unit 3D",Upper West Side,5400,2 BD,2 BA,Manhattan
"115 West 86th Street, Unit 3D",Upper West Side,5400,2 BD,2 BA,Manhattan
"737 Park Avenue, Unit 19A",Upper East Side,55000,5 BD,6.5 BA,Manhattan
"136 East 55th Street, Unit 3N",Midtown East,2800,Studio,1 BA,Manhattan
"136 East 55th Street, Unit 3N",Midtown East,2800,Studio,1 BA,Manhattan
"136 East 55th Street, Unit 7N",Midtown East,2750,Studio,1 BA,Manhattan
"249 Broome Street, Unit 30",Lower East Side,3200,1 BD,1 BA,Manhattan
"61 Mott Street, Unit 11",Chinatown,2300,1 BD,1 BA,Manhattan
"409 East 87th, Unit A",Upper East Side,1950,Studio,1 BA,Manhattan
"435 West 31st Street, Unit 46C",Hudson Yards,7513,2 BD,2 BA,Manhattan
"354 East 91st Street, Unit 1302",Upper East Side,6990,3 BD,2 BA,Manhattan
"354 East 91st Street, Unit 1302",Upper East Side,6990,3 BD,2 BA,Manhattan
"438 East 13th Street, Unit E2",East Village,3400,2 BD,1 BA,Manhattan
"438 East 13th Street, Unit E2",East Village,3400,2 BD,1 BA,Manhattan
"40 Pinehurst Avenue, Unit 2D",Washington Heights,3650,2 BD,1.5 BA,Manhattan
"284 Mott Street, Unit 2R",NoLita,3995,1 BD,1 BA,Manhattan
435 West 31st Street,Hudson Yards,5348,1 BD,1 BA,Manhattan
"314 East 78th Street, Unit 25",Upper East Side,2450,2 BD,1 BA,Manhattan
"333 East 45th Street, Unit 9D",Midtown East,3150,1 BD,1 BA,Manhattan
"447 West 18th Street, Unit 5B",Chelsea,6750,1 BD,1 BA,Manhattan
"433 East 80th Street, Unit 14",Upper East Side,2695,2 BD,1 BA,Manhattan
"115 East 34th Street, Unit 505",Murray Hill,3795,1 BD,1 BA,Manhattan
"245 East 60th Street, Unit 4A",Upper East Side,4850,3 BD,1 BA,Manhattan
"350 West 43rd Street, Unit 6G",Hell's Kitchen,3462,1 BD,1 BA,Manhattan
"480 2nd Avenue, Unit 19A",Kips Bay,4490,1 BD,1 BA,Manhattan
"328 East 14th Street, Unit 33",East Village,2800,1 BD,1 BA,Manhattan
"685 1st Avenue, Unit 22P",Murray Hill,10006,3 BD,2 BA,Manhattan
"301 East 63rd Street, Unit 15C",Upper East Side,2400,Studio,1 BA,Manhattan
"526 West 111th Street, Unit 3C",Morningside Heights,9500,3 BD,3 BA,Manhattan
"206 West 96th Street, Unit 2D",Upper West Side,2500,1 BD,1 BA,Manhattan
"90 West Street, Unit 3X",Financial District,2825,Studio,1 BA,Manhattan
"350 West 53rd Street, Unit 2D",Hell's Kitchen,4000,1 BD,1 BA,Manhattan
"915 West End Avenue, Unit 1106",Upper West Side,4170,2 BD,1 BA,Manhattan
"368 West 127th Street, Unit 16",Morningside Heights,1850,1 BD,1 BA,Manhattan
"90 West Street, Unit 3X",Financial District,2825,Studio,1 BA,Manhattan
"350 West 53rd Street, Unit 2D",Hell's Kitchen,4000,1 BD,1 BA,Manhattan
"915 West End Avenue, Unit 1106",Upper West Side,4170,2 BD,1 BA,Manhattan
"368 West 127th Street, Unit 16",Morningside Heights,1850,1 BD,1 BA,Manhattan
"17 Park Avenue, Unit 8D",Murray Hill,3795,1 BD,1 BA,Manhattan
"3161 Broadway, Unit 2C",Morningside Heights,2596,2 BD,1 BA,Manhattan
"324 East 14th Street, Unit 2B",East Village,3800,1 BD,1 BA,Manhattan
"73 2nd Avenue, Unit 9",East Village,4395,2 BD,2 BA,Manhattan
"130 East 63rd Street, Unit 6E",Upper East Side,7750,2 BD,2 BA,Manhattan
"490 2nd Avenue, Unit 16D",Kips Bay,4000,1 BD,1 BA,Manhattan
"120 Riverside Boulevard, Unit 6G",Upper West Side,3500,1 BD,1 BA,Manhattan
"160 West 16th Street, Unit 5K",Chelsea,3850,1 BD,1 BA,Manhattan
"18 West 48th Street, Unit 15D",Theater District,4300,1 BD,1 BA,Manhattan
"424 West End Avenue, Unit 801",Upper West Side,3995,1 BD,1 BA,Manhattan
"9 Barrow Street, Unit 5G",West Village,3850,Studio,1 BA,Manhattan
"112 West 72nd Street, Unit 10D",Upper West Side,2800,1 BD,1 BA,Manhattan
"211 North End Avenue, Unit 15F",Battery Park City,4258,1 BD,1 BA,Manhattan
"100 Riverside Boulevard, Unit 23D",Upper West Side,9500,3 BD,3 BA,Manhattan
"345 East 56th Street, Unit 12J",Midtown East,7600,3 BD,2 BA,Manhattan
2109 Broadway,Upper West Side,8500,2 BD,2 BA,Manhattan
"220 Central Park South, Unit 26C",Central Park South,28000,2 BD,3 BA,Manhattan
"315 West 46th Street, Unit 2B",Hell's Kitchen,2395,Studio,1 BA,Manhattan
"213 East 66th Street, Unit 202",Upper East Side,2650,Studio,1 BA,Manhattan
"14 West 14th Street, Unit 7A",Flatiron,3750,1 BD,1 BA,Manhattan
"55 West 25th Street, Unit 24L",NoMad,4300,Studio,1 BA,Manhattan
"57 Thompson Street, Unit 6F",SoHo,2950,Studio,1 BA,Manhattan
"428 West 46th Street, Unit 1B",Hell's Kitchen,2025,Studio,1 BA,Manhattan
"17 Park Avenue, Unit 16A",Murray Hill,5095,2 BD,1 BA,Manhattan
"166 West 75th Street, Unit 1605",Upper West Side,2561,1 BD,1 BA,Manhattan
"103 Sullivan Street, Unit 2C",SoHo,2800,Studio,1 BA,Manhattan
"140 West 69th Street, Unit 37A",Upper West Side,2400,Studio,1 BA,Manhattan
"347 West 55th Street, Unit 4F",Hell's Kitchen,2735,1 BD,1 BA,Manhattan
"40 West 15th Street, Unit 2B",Flatiron,11000,3 BD,2 BA,Manhattan
"350 West 43rd Street, Unit 23A",Hell's Kitchen,4000,1 BD,1 BA,Manhattan
"3161 Broadway, Unit 3B",Morningside Heights,2695,2 BD,1 BA,Manhattan
"219 Ave A, Unit 2R",East Village,3000,2 BD,1 BA,Manhattan
"160 East 48th Street, Unit 3P",Midtown East,3916,1 BD,1 BA,Manhattan
"154 East 29th Street, Unit 1110",Kips Bay,2995,Studio,1 BA,Manhattan
"155 East 34th Street, Unit 5J",Murray Hill,2895,Studio,1 BA,Manhattan
"301 Elizabeth Street, Unit 320",NoHo,3995,1 BD,1 BA,Manhattan
"520 East 81st Street, Unit 8K",Upper East Side,2400,Studio,1 BA,Manhattan
"6 East 97th Street, Unit D6",Upper East Side,3350,1 BD,1 BA,Manhattan
"57 East 3rd Street, Unit 4C",East Village,2100,Studio,1 BA,Manhattan
"206 St Nicholas Avenue, Unit 5S",Harlem,2425,2 BD,2 BA,Manhattan
"915 West End Avenue, Unit PH",Upper West Side,10788,3 BD,2 BA,Manhattan
"140 West 75th Street, Unit 3A",Upper West Side,3000,1 BD,1 BA,Manhattan
"361 East 50th Street, Unit 4F",Midtown East,5076,3 BD,1 BA,Manhattan
"200 East 94th Street, Unit 220",Upper East Side,3800,1 BD,1 BA,Manhattan
"200 East 94th Street, Unit 220",Upper East Side,3800,1 BD,1 BA,Manhattan
"326 Columbus Avenue, Unit I2",Upper West Side,2500,1 BD,1 BA,Manhattan
"223 West 80th Street, Unit 9",Upper West Side,8595,2 BD,2 BA,Manhattan
"480 2nd Avenue, Unit 26A",Kips Bay,4500,1 BD,1 BA,Manhattan
"516 West 162nd Street, Unit 4B",Washington Heights,2200,1 BD,1 BA,Manhattan
"101 West 15th Street, Unit 615",Chelsea,5350,Studio,1 BA,Manhattan
"50 Bayard Street, Unit 5F",Chinatown,2100,Studio,1 BA,Manhattan
"200 West 107th Street, Unit 3B",Upper West Side,4500,3 BD,2 BA,Manhattan
"228 East 27th Street, Unit 1A",Kips Bay,2983,1 BD,1 BA,Manhattan
"247 West 46th Street, Unit 401",Theater District,3900,Studio,1 BA,Manhattan
"317 West 112th Street, Unit 3",Harlem,2700,1 BD,1 BA,Manhattan
"3157 Broadway, Unit 1",Morningside Heights,2725,2 BD,1 BA,Manhattan
"183 Lenox Avenue, Unit 2",Harlem,3200,2 BD,2 BA,Manhattan
"209 East 60th Street, Unit C2",Upper East Side,2950,1 BD,1 BA,Manhattan
"231 East 76th Street, Unit 1J",Upper East Side,3600,1 BD,1 BA,Manhattan
"411 East 85th Street, Unit 2C",Upper East Side,1875,Studio,1 BA,Manhattan
"234 East 82nd Street, Unit 10",Upper East Side,2250,1 BD,1 BA,Manhattan
"424 East 10th Street, Unit 4C",East Village,3800,2 BD,1 BA,Manhattan
"224 West 16th Street, Unit 14",Chelsea,2850,1 BD,1 BA,Manhattan
"721 5th Avenue, Unit 32B",Midtown East,8000,2 BD,2 BA,Manhattan
"211 West 70th Street, Unit 4A",Upper West Side,4375,2 BD,1.5 BA,Manhattan
"1229 1st Avenue, Unit 11",Upper East Side,2225,1 BD,1 BA,Manhattan
"508 West 136th Street, Unit 6",Hamilton Heights,2795,3 BD,1 BA,Manhattan
"1966 7th Avenue, Unit 6",Harlem,2295,2 BD,1 BA,Manhattan
"150 East 44th Street, Unit 14E",Midtown East,4150,1 BD,1 BA,Manhattan
"347 West 55th Street, Unit 7L",Hell's Kitchen,3000,1 BD,1 BA,Manhattan
"2279 3rd Avenue, Unit 4B",East Harlem,2500,1 BD,1 BA,Manhattan
"343 West 21st Street, Unit 3D",Chelsea,2350,Studio,1 BA,Manhattan
"90 West Street, Unit 3U",Financial District,2525,Studio,1 BA,Manhattan
"330 East 63rd Street, Unit 6H",Upper East Side,3500,1 BD,1 BA,Manhattan
"150 West 51st Street, Unit 902",Theater District,3600,1 BD,3 BA,Manhattan
"321 East 71st Street, Unit 2A",Upper East Side,2190,Studio,1 BA,Manhattan
"100 Thayer Street, Unit 2E",Washington Heights,1795,1 BD,1 BA,Manhattan
"333 East 43rd Street, Unit 603",Midtown East,2800,1 BD,1 BA,Manhattan
393 West End Avenue,Upper West Side,7500,2 BD,2 BA,Manhattan
"116 West 72nd Street, Unit 2B",Upper West Side,2000,Studio,1 BA,Manhattan
"490 2nd Avenue, Unit 14D",Kips Bay,3900,1 BD,1 BA,Manhattan
"70 West 68th Street, Unit 4R",Upper West Side,2525,1 BD,1 BA,Manhattan
"301 West 110th Street, Unit 15C",Harlem,2950,Studio,empty Bath,Manhattan
"344 East 9th Street, Unit 4",East Village,2350,1 BD,1 BA,Manhattan
915 West End Avenue,Upper West Side,10625,3 BD,2 BA,Manhattan
"301 East 63rd Street, Unit 5J",Upper East Side,4295,2 BD,1 BA,Manhattan
"344 East 65th Street, Unit 1A",Upper East Side,2750,1 BD,1 BA,Manhattan
"400 East 70th Street, Unit 807",Upper East Side,2800,Studio,1 BA,Manhattan
"111 Chrystie Street, Unit 16",Lower East Side,2150,1 BD,1 BA,Manhattan
"150 East 85th Street, Unit 6E",Upper East Side,3200,1 BD,1 BA,Manhattan
"450 West 17th Street, Unit 1710",Chelsea,5800,1 BD,1 BA,Manhattan
"330 East 63rd Street, Unit 6N",Upper East Side,2500,Studio,1 BA,Manhattan
"150 East 44th Street, Unit 46E",Midtown East,4425,1 BD,1 BA,Manhattan
"469 West 153rd Street, Unit 3D",Hamilton Heights,1850,1 BD,1 BA,Manhattan
"350 West 43rd Street, Unit 2D",Hell's Kitchen,5169,2 BD,2 BA,Manhattan
"36 West 76th Street, Unit G",Upper West Side,2050,Studio,1 BA,Manhattan
"307 East 44th Street, Unit 719",Midtown East,2596,Studio,1 BA,Manhattan
"346 East 65th Street, Unit 4E",Upper East Side,3150,2 BD,1 BA,Manhattan
"350 East 54th Street, Unit 6K",Midtown East,3100,1 BD,1 BA,Manhattan
"237 Sullivan Street, Unit 1B",Greenwich Village,3500,1 BD,1 BA,Manhattan
"228 East 81st Street, Unit 1D",Upper East Side,1995,Studio,1 BA,Manhattan
"361 East 50th Street, Unit 5B",Midtown East,4950,2 BD,1 BA,Manhattan
"236 East 28th Street, Unit 4E",Kips Bay,1900,Studio,1 BA,Manhattan
"245 East 80th Street, Unit 11H",Upper East Side,4495,1 BD,1 BA,Manhattan
"442 10th Avenue, Unit 4FS",Hudson Yards,2934,2 BD,1 BA,Manhattan
"160 East 48th Street, Unit 12B",Midtown East,5333,2 BD,2 BA,Manhattan
"339 East 19th Street, Unit 2A",Gramercy,2700,1 BD,1 BA,Manhattan
"452 West 36th Street, Unit 2RW",Hudson Yards,2495,1 BD,1 BA,Manhattan
"3151 Broadway, Unit 1A",Morningside Heights,2650,2 BD,1 BA,Manhattan
