"116 Warwick Street, Unit 1",Highland Park,2150,2 BD,1 BA,Brooklyn
"497 Park Place, Unit 1",Crown Heights,3500,3 BD,2 BA,Brooklyn
"25 Lexington Avenue, Unit 202",Clinton Hill,3354,1 BD,2 BA,Brooklyn
"180 Nassau Street, Unit 10N",Downtown Brooklyn,7500,3 BD,2 BA,Brooklyn
"39 East 21st Street, Unit 6B",Flatbush,2862,2 BD,empty Bath,Brooklyn
"204 Huntington Street, Unit 3I",Carroll Gardens,2995,1 BD,1 BA,Brooklyn
"294 Manhattan Avenue, Unit 3L",East Williamsburg,2299,2 BD,1 BA,Brooklyn
"388 Bridge Street, Unit PH50A",Downtown Brooklyn,8500,3 BD,2 BA,Brooklyn
"1 Hanson Place, Unit 9M",Fort Greene,6495,2 BD,2 BA,Brooklyn
"195 Clarkson Avenue, Unit 4D",Prospect Lefferts Gardens,2650,1 BD,1 BA,Brooklyn
"164 Hicks Street, Unit Lower/Dplx",Brooklyn Heights,12000,3 BD,2 BA,Brooklyn
"286 Bleecker Street, Unit 2R",Bushwick,2500,2 BD,1 BA,Brooklyn
"337 Hoyt Street, Unit 1",Carroll Gardens,7995,2 BD,2.5 BA,Brooklyn
"524 Metropolitan Avenue, Unit 9",East Williamsburg,3100,2 BD,1 BA,Brooklyn
"55 Duffield Street, Unit 3",Downtown Brooklyn,2250,Alcove,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 3B",Prospect Lefferts Gardens,2595,1 BD,1 BA,Brooklyn
"388 Pacific Street, Unit 1",Boerum Hill,9400,3 BD,1.5 BA,Brooklyn
"474 East New York Avenue, Unit 2R",East Flatbush,2400,2 BD,1 BA,Brooklyn
"733 Rogers Avenue, Unit 601",Flatbush,2658,2 BD,1 BA,Brooklyn
"479 Prospect Place, Unit 4L",Crown Heights,3300,3 BD,1.5 BA,Brooklyn
"90 North 5th Street, Unit 2A",Williamsburg,4500,2 BD,2 BA,Brooklyn
"175 Amity Street, Unit C1",Cobble Hill,3350,1 BD,1 BA,Brooklyn
"1115 Hancock Street, Unit 1E",Bushwick,2400,Studio,1.5 BA,Brooklyn
"447 Rogers Avenue, Unit 3L",Prospect Lefferts Gardens,3300,3 BD,2 BA,Brooklyn
"214 Clinton Street, Unit 2C",Cobble Hill,4500,2 BD,1 BA,Brooklyn
"602 Lorimer Street, Unit COMMERCIAL",Williamsburg,20000,5 BD,3 BA,Brooklyn
"55 Prospect Street, Unit 208",Downtown Brooklyn,10647,Studio,0.5 BA,Brooklyn
"69 Kermit Place, Unit 1",Windsor Terrace,2800,2 BD,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 2D",Prospect Lefferts Gardens,2500,1 BD,1 BA,Brooklyn
"339 2nd Street, Unit 2L",Central Slope,2800,2 BD,1 BA,Brooklyn
"2417 Albemarle Road, Unit 2C",Flatbush,3138,2 BD,1 BA,Brooklyn
"271 Lenox Road, Unit 6D",Flatbush,3100,2 BD,1 BA,Brooklyn
"37 Bridge Street, Unit 3C",DUMBO,5900,2 BD,1.5 BA,Brooklyn
"444 Melrose Street, Unit 2R",Bushwick,3100,3 BD,1 BA,Brooklyn
