Address,Neighborhood,Price,Beds,Baths,Boro,Agency
"865 United Nations Plaza, Unit 3C",Midtown East,3700,1 Bed,1 Bath,Manhattan,Compass
"330 East 75th Street, Unit 9J",Upper East Side,3600,1 Bed,1 Bath,Manhattan,Compass
"714 9th Avenue, Unit 3A",Hell's Kitchen,2825,1 Bed,1 Bath,Manhattan,Compass
"88 Leonard Street, Unit 507",TriBeCa,3300,Studio,1 Bath,Manhattan,Compass
"120 West 58th Street, Unit 6A",Theater District,4295,2 Beds,1.5 Baths,Manhattan,Compass
"88 Leonard Street, Unit 915",TriBeCa,6650,1 Bed,1 Bath,Manhattan,Compass
"433 East 13th Street, Unit 722N",East Village,6600,2 Beds,2 Baths,Manhattan,Compass
"313 West 29th Street, Unit C",Chelsea,6000,3 Beds,1.5 Baths,Manhattan,Compass
"300 East 23rd Street, Unit 17B",Gramercy,10000,3 Beds,2.5 Baths,Manhattan,Compass
"88 Leonard Street, Unit 715",TriBeCa,5590,1 Bed,1 Bath,Manhattan,Compass
"343 West 20th Street, Unit 2",Chelsea,5500,1 Bed,1 Bath,Manhattan,Compass
"1280 5th Avenue, Unit 11EF",East Harlem,10000,4 Beds,3 Baths,Manhattan,Compass
"88 Leonard Street, Unit 1211",TriBeCa,3500,Studio,1 Bath,Manhattan,Compass
"301 West 53rd Street, Unit 18I",Hell's Kitchen,4000,1 Bed,1 Bath,Manhattan,Compass
"150 Nassau Street, Unit 16D",Financial District,6750,2 Beds,2 Baths,Manhattan,Compass
"230 East 44th Street, Unit 9N",Midtown East,3117,1 Bed,1 Bath,Manhattan,Compass
"247 East 10th Street, Unit 6",East Village,2800,1 Bed,1 Bath,Manhattan,Compass
"530 West 147th Street, Unit 41",Hamilton Heights,3295,4 Beds,1 Bath,Manhattan,Compass
"1392 3rd Avenue, Unit 3B",Upper East Side,2950,2 Beds,1 Bath,Manhattan,Compass
"88 Leonard Street, Unit 1406",TriBeCa,4700,1 Bed,1 Bath,Manhattan,Compass
"322 West 57th Street, Unit 49E",Hell's Kitchen,3900,Studio,1 Bath,Manhattan,Compass
"238 East 24th Street, Unit 5D",Kips Bay,2300,1 Bed,1 Bath,Manhattan,Compass
"228 East 81st Street, Unit 6B",Upper East Side,2895,1 Bed,1 Bath,Manhattan,Compass
"88 Leonard Street, Unit 718",TriBeCa,5250,1 Bed,1 Bath,Manhattan,Compass
"40 Ave C, Unit 2",East Village,6500,4 Beds,2.5 Baths,Manhattan,Compass
"350 East 52nd Street, Unit 9F",Midtown East,2700,Studio,1 Bath,Manhattan,Compass
"521 East 12th Street, Unit 13",East Village,3000,2 Beds,1 Bath,Manhattan,Compass
"521 East 12th Street, Unit 13",East Village,3000,2 Beds,1 Bath,Manhattan,Compass
"230 West 107th Street, Unit 4D",Upper West Side,4125,3 Beds,1 Bath,Manhattan,Compass
"529 West 48th Street, Unit 10",Hell's Kitchen,2200,1 Bed,1 Bath,Manhattan,Compass
"529 West 48th Street, Unit 10",Hell's Kitchen,2200,1 Bed,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 510",Kips Bay,2195,Studio,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 510",Kips Bay,2195,Studio,1 Bath,Manhattan,Compass
"440 St Nicholas Avenue, Unit 2A",Harlem,2350,2 Beds,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 509",Kips Bay,1850,Studio,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 509",Kips Bay,1850,Studio,1 Bath,Manhattan,Compass
"138-140 East 31st Street, Unit 15",Kips Bay,2400,Studio,1 Bath,Manhattan,Compass
"138-140 East 31st Street, Unit 15",Kips Bay,2400,Studio,1 Bath,Manhattan,Compass
"201 West 95th Street, Unit 205",Upper West Side,1625,Studio,1 Bath,Manhattan,Compass
"30 Commerce Street, Unit 1",West Village,8500,3 Beds,2 Baths,Manhattan,Compass
"247 Wadsworth Avenue, Unit 3G",Washington Heights,1995,2 Beds,1 Bath,Manhattan,Compass
"354 East 91st Street, Unit 307",Upper East Side,3870,1 Bed,1 Bath,Manhattan,Compass
"354 East 91st Street, Unit 307",Upper East Side,3870,1 Bed,1 Bath,Manhattan,Compass
"70 Barrow Street, Unit 5FE",West Village,4695,1 Bed,1 Bath,Manhattan,Compass
"1214 5th Avenue, Unit 21B",East Harlem,4795,1 Bed,1 Bath,Manhattan,Compass
"730 Columbus Avenue, Unit 10A",Upper West Side,3825,1 Bed,1 Bath,Manhattan,Compass
"228 East 81st Street, Unit 6B",Upper East Side,2895,1 Bed,1 Bath,Manhattan,Compass
"88 Leonard Street, Unit 718",TriBeCa,5250,1 Bed,1 Bath,Manhattan,Compass
"40 Ave C, Unit 2",East Village,6500,4 Beds,2.5 Baths,Manhattan,Compass
"350 East 52nd Street, Unit 9F",Midtown East,2700,Studio,1 Bath,Manhattan,Compass
"521 East 12th Street, Unit 13",East Village,3000,2 Beds,1 Bath,Manhattan,Compass
"521 East 12th Street, Unit 13",East Village,3000,2 Beds,1 Bath,Manhattan,Compass
"230 West 107th Street, Unit 4D",Upper West Side,4125,3 Beds,1 Bath,Manhattan,Compass
"529 West 48th Street, Unit 10",Hell's Kitchen,2200,1 Bed,1 Bath,Manhattan,Compass
"529 West 48th Street, Unit 10",Hell's Kitchen,2200,1 Bed,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 510",Kips Bay,2195,Studio,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 510",Kips Bay,2195,Studio,1 Bath,Manhattan,Compass
"440 St Nicholas Avenue, Unit 2A",Harlem,2350,2 Beds,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 509",Kips Bay,1850,Studio,1 Bath,Manhattan,Compass
"143 East 30th Street, Unit 509",Kips Bay,1850,Studio,1 Bath,Manhattan,Compass
"138-140 East 31st Street, Unit 15",Kips Bay,2400,Studio,1 Bath,Manhattan,Compass
"138-140 East 31st Street, Unit 15",Kips Bay,2400,Studio,1 Bath,Manhattan,Compass
"201 West 95th Street, Unit 205",Upper West Side,1625,Studio,1 Bath,Manhattan,Compass
"30 Commerce Street, Unit 1",West Village,8500,3 Beds,2 Baths,Manhattan,Compass
"247 Wadsworth Avenue, Unit 3G",Washington Heights,1995,2 Beds,1 Bath,Manhattan,Compass
"354 East 91st Street, Unit 307",Upper East Side,3870,1 Bed,1 Bath,Manhattan,Compass
"354 East 91st Street, Unit 307",Upper East Side,3870,1 Bed,1 Bath,Manhattan,Compass
"70 Barrow Street, Unit 5FE",West Village,4695,1 Bed,1 Bath,Manhattan,Compass
"1214 5th Avenue, Unit 21B",East Harlem,4795,1 Bed,1 Bath,Manhattan,Compass
"730 Columbus Avenue, Unit 10A",Upper West Side,3825,1 Bed,1 Bath,Manhattan,Compass
"360 East 55th Street, Unit 6H",Midtown East,3595,1 Bed,1 Bath,Manhattan,Compass
"405 East 54th Street, Unit 6B",Midtown East,3650,1 Bed,1 Bath,Manhattan,Compass
"375 South End Avenue, Unit 18K",Battery Park City,4115,1 Bed,1 Bath,Manhattan,Compass
"205 East 92nd Street, Unit 36E",Upper East Side,13922,3 Beds,2 Baths,Manhattan,Compass
"160 Riverside Boulevard, Unit 25E",Upper West Side,5659,1 Bed,1 Bath,Manhattan,Compass
"150 West 51st Street, Unit 1010",Theater District,3200,1 Bed,1 Bath,Manhattan,Compass
"150 West 51st Street, Unit 1229",Theater District,3500,1 Bed,1 Bath,Manhattan,Compass
"555 10th Avenue, Unit 47B",Hudson Yards,11950,3 Beds,3 Baths,Manhattan,Compass
"555 10th Avenue, Unit 47B",Hudson Yards,10622,3 Beds,3 Baths,Manhattan,Compass
"45 West 60th Street, Unit 29B",Upper West Side,4795,1 Bed,1 Bath,Manhattan,Compass
"555 10th Avenue, Unit 27E",Hudson Yards,7380,2 Beds,2 Baths,Manhattan,Compass
"555 10th Avenue, Unit 27E",Hudson Yards,7995,2 Beds,2 Baths,Manhattan,Compass
"150 West 51st Street, Unit 924",Theater District,3400,1 Bed,1 Bath,Manhattan,Compass
"400 Park Avenue South, Unit 33A",NoMad,6500,1 Bed,1 Bath,Manhattan,Compass
"167 Ave A, Unit 1",East Village,6800,4 Beds,2 Baths,Manhattan,Compass
"345 East 56th Street, Unit 12B",Midtown East,3149,1 Bed,1 Bath,Manhattan,Compass
"10 East 29th Street, Unit 48D",NoMad,6180,1 Bed,1 Bath,Manhattan,Compass
"10 East 29th Street, Unit 48D",NoMad,6695,1 Bed,1 Bath,Manhattan,Compass
"1309 5th Avenue, Unit C22",East Harlem,2495,Studio,1 Bath,Manhattan,Compass
"4848 Broadway, Unit C4",Inwood,1895,1 Bed,1 Bath,Manhattan,Compass
"708 Greenwich Street, Unit PH",West Village,19500,2 Beds,2 Baths,Manhattan,Compass
"124 West 60th Street, Unit 49B",Upper West Side,10900,3 Beds,3 Baths,Manhattan,Compass
"105 West 29th Street, Unit 43F",Chelsea,4556,Studio,1 Bath,Manhattan,Compass
"601 West 149th Street, Unit 43A",Hamilton Heights,4500,5 Beds,2 Baths,Manhattan,Compass
"522 West End Avenue, Unit 4C",Upper West Side,5450,2 Beds,1 Bath,Manhattan,Compass
"160 East 91st Street, Unit 5B",Upper East Side,1950,Studio,1 Bath,Manhattan,Compass
"18 West 125th Street, Unit 2A",Harlem,2700,2 Beds,1 Bath,Manhattan,Compass
"550 West 54th Street, Unit 860",Hell's Kitchen,3836,1 Bed,1 Bath,Manhattan,Compass
"102 Bayard Street, Unit 2R",Chinatown,2050,Studio,1 Bath,Manhattan,Compass
"68 Bradhurst Avenue, Unit 8U",Harlem,3550,2 Beds,2 Baths,Manhattan,Compass
"634 West 135th Street, Unit 45",Morningside Heights,1850,1 Bed,1 Bath,Manhattan,Compass
"165 East 35th Street, Unit 14G",Murray Hill,2650,Studio,1 Bath,Manhattan,Compass
360 West 43rd Street,Hell's Kitchen,3391,1 Bed,1 Bath,Manhattan,Compass
"2 Cooper Square, Unit 10D",NoHo,7795,2 Beds,1 Bath,Manhattan,Compass
"3604 Broadway, Unit S2",Hamilton Heights,3800,4 Beds,2 Baths,Manhattan,Compass
"375 South End Avenue, Unit 19R",Battery Park City,4045,1 Bed,1 Bath,Manhattan,Compass
"330 East 49th Street, Unit 11J",Midtown East,3400,1 Bed,1 Bath,Manhattan,Compass
"7 Carmine Street, Unit 19",West Village,5095,3 Beds,1 Bath,Manhattan,Compass
"8 Jones Street, Unit 1D",West Village,2750,Studio,1 Bath,Manhattan,Compass
"89 Bleecker Street, Unit 1H",Greenwich Village,3200,1 Bed,1 Bath,Manhattan,Compass
"247 West 109th Street, Unit 4",Upper West Side,3200,2 Beds,1 Bath,Manhattan,Compass
"410 West 53rd Street, Unit 621",Hell's Kitchen,3400,Studio,1 Bath,Manhattan,Compass
"24 5th Avenue, Unit 1027",Greenwich Village,3495,Studio,1 Bath,Manhattan,Compass
"235 West 56th Street, Unit 28G",Theater District,4175,1 Bed,1 Bath,Manhattan,Compass
"235 West 56th Street, Unit 18F",Theater District,4050,1 Bed,1 Bath,Manhattan,Compass
"123 Mulberry Street, Unit 6",Little Italy,4600,2 Beds,1 Bath,Manhattan,Compass
"40 Park Avenue, Unit 7J",Murray Hill,4150,1 Bed,1 Bath,Manhattan,Compass
"40 Park Avenue, Unit 7J",Murray Hill,4150,1 Bed,1 Bath,Manhattan,Compass
"298 Mulberry Street, Unit 7K",NoHo,7900,3 Beds,1.5 Baths,Manhattan,Compass
"282 11th Avenue, Unit 1112",Chelsea,3605,Studio,1 Bath,Manhattan,Compass
"282 11th Avenue, Unit 507",Chelsea,3490,Studio,1 Bath,Manhattan,Compass
"137 East Houston, Unit 6",Lower East Side,2863,2 Beds,1 Bath,Manhattan,Compass
"138 Ludlow Street, Unit 10A",Lower East Side,3200,Studio,1 Bath,Manhattan,Compass
"138 Ludlow Street, Unit 10A",Lower East Side,3200,Studio,1 Bath,Manhattan,Compass
"126 East Broadway, Unit 3",Chinatown,2490,Studio,1 Bath,Manhattan,Compass
"234 East 24th Street, Unit 4FE",Kips Bay,5797,3 Beds,1 Bath,Manhattan,Compass
"234 East 24th Street, Unit 4FE",Kips Bay,5797,3 Beds,1 Bath,Manhattan,Compass
"221 Mott Street, Unit 1RS",NoLita,5395,2 Beds,1.5 Baths,Manhattan,Compass
"227 Mulberry Street, Unit GC",NoLita,5995,3 Beds,2 Baths,Manhattan,Compass
"57 Wall Street, Unit 1008",Financial District,3600,2 Beds,1 Bath,Manhattan,Compass
"238 East 50th Street, Unit 3A",Midtown East,3595,2 Beds,1 Bath,Manhattan,Compass
"400 West 63rd Street, Unit 2002",Upper West Side,11875,3 Beds,3 Baths,Manhattan,Compass
"605 West 42nd Street, Unit 58R",Hell's Kitchen,4790,1 Bed,1 Bath,Manhattan,Compass
"105 Duane Street, Unit 37E",TriBeCa,7745,2 Beds,2 Baths,Manhattan,Compass
"227 Front Street, Unit 4B",Financial District,4250,1 Bed,1 Bath,Manhattan,Compass
"45 West 60th Street, Unit 27G",Upper West Side,4395,1 Bed,1 Bath,Manhattan,Compass
"240 East 39th Street, Unit 28C",Murray Hill,7360,2 Beds,2.5 Baths,Manhattan,Compass
"525 West 28th Street, Unit 1138",Chelsea,3605,Studio,1 Bath,Manhattan,Compass
"235 West 48th Street, Unit 8C",Theater District,3460,1 Bed,1 Bath,Manhattan,Compass
"235 West 48th Street, Unit 28J",Theater District,3190,Studio,1 Bath,Manhattan,Compass
"245 East 40th Street, Unit 8E",Murray Hill,6906,2 Beds,2 Baths,Manhattan,Compass
"480 2nd Avenue, Unit 16F",Kips Bay,4425,2 Beds,1 Bath,Manhattan,Compass
"405 Main Street, Unit 15L",Roosevelt Island,3625,1 Bed,1 Bath,Manhattan,Compass
"405 Main Street, Unit 1F",Roosevelt Island,4825,2 Beds,2 Baths,Manhattan,Compass
"638 West 160th Street, Unit 1F",Washington Heights,1705,1 Bed,1 Bath,Manhattan,Compass
"400 West 63rd Street, Unit 912",Upper West Side,4665,1 Bed,1 Bath,Manhattan,Compass
"400 West 63rd Street, Unit 701",Upper West Side,3505,Studio,1 Bath,Manhattan,Compass
"400 West 63rd Street, Unit 506",Upper West Side,4815,1 Bed,1 Bath,Manhattan,Compass
"26 Post Avenue, Unit 31",Inwood,3437,4 Beds,1.5 Baths,Manhattan,Compass
"26 Post Avenue, Unit 41",Inwood,3437,4 Beds,1.5 Baths,Manhattan,Compass
"220 1st Avenue, Unit 5",East Village,1995,Studio,1 Bath,Manhattan,Compass
"163 Mulberry Street, Unit 12",Little Italy,2690,Studio,1 Bath,Manhattan,Compass
"67 East 7th Street, Unit 5A",East Village,3400,1 Bed,1 Bath,Manhattan,Compass
"50 West 93rd Street, Unit 3L",Upper West Side,5075,2 Beds,1 Bath,Manhattan,Compass
"163 Mulberry Street, Unit 2",Little Italy,2290,Studio,1 Bath,Manhattan,Compass
"226 East 3rd Street, Unit 2B",East Village,3500,2 Beds,1 Bath,Manhattan,Compass
"515 9th Avenue, Unit 12A",Hudson Yards,3162,Studio,1 Bath,Manhattan,Compass
"249 East 10th Street, Unit 3B",East Village,2695,1 Bed,1 Bath,Manhattan,Compass
"62 West 62nd Street, Unit 26B",Upper West Side,8250,2 Beds,2 Baths,Manhattan,Compass
"165 Christopher Street, Unit 6BB",West Village,4500,1 Bed,1 Bath,Manhattan,Compass
"124 West 60th Street, Unit 47E",Upper West Side,6250,2 Beds,2 Baths,Manhattan,Compass
"60 West 23rd Street, Unit 1701",Flatiron,7350,2 Beds,2 Baths,Manhattan,Compass
"60 West 23rd Street, Unit 1701",Flatiron,7350,2 Beds,2 Baths,Manhattan,Compass
"250 East 53rd Street, Unit 2101",Midtown East,8595,2 Beds,2.5 Baths,Manhattan,Compass
"166 East 63rd Street, Unit 3F",Upper East Side,5500,1 Bed,1 Bath,Manhattan,Compass
"153 East 32nd Street, Unit 3L",Kips Bay,3575,1 Bed,1 Bath,Manhattan,Compass
"249 East 10th Street, Unit 8A",East Village,2595,1 Bed,1 Bath,Manhattan,Compass
"113 Eldridge Street, Unit 2F",Lower East Side,2000,Studio,1 Bath,Manhattan,Compass
"141 West 145th Street, Unit 51",Harlem,2150,2 Beds,1 Bath,Manhattan,Compass
"610 East 20th Street, Unit 6A",Gramercy,3622,1 Bed,1 Bath,Manhattan,Compass
"435 West 31st Street, Unit 59K",Hudson Yards,11476,3 Beds,2 Baths,Manhattan,Compass
"40 East 64th Street, Unit 12",Upper East Side,2300,Studio,1 Bath,Manhattan,Compass
"99 Jane Street, Unit 2F",West Village,9700,2 Beds,2 Baths,Manhattan,Compass
37 West 95th Street,Upper West Side,7375,3 Beds,2 Baths,Manhattan,Compass
"310 West 20th Street, Unit D10",Chelsea,1675,Studio,1 Bath,Manhattan,Compass
"528 West 46th Street, Unit 5W",Hell's Kitchen,3200,2 Beds,1 Bath,Manhattan,Compass
"225 Rector Place, Unit 4A",Battery Park City,4300,1 Bed,1 Bath,Manhattan,Compass
"605 West 42nd Street, Unit 54Q",Hell's Kitchen,3450,Studio,1 Bath,Manhattan,Compass
"105 Duane Street, Unit 20F",TriBeCa,6990,2 Beds,1 Bath,Manhattan,Compass
"377 East 33rd Street, Unit 16B",Kips Bay,4600,1 Bed,1 Bath,Manhattan,Compass
"67 Mercer Street, Unit 2",SoHo,16000,1 Bed,1 Bath,Manhattan,Compass
"57 East 97th Street, Unit 12A",Upper East Side,3050,2 Beds,1 Bath,Manhattan,Compass
"250 West 19th Street, Unit 4D",Chelsea,4990,1 Bed,1 Bath,Manhattan,Compass
"317 East 5th Street, Unit 2B",East Village,3500,Studio,1 Bath,Manhattan,Compass
123 East 83rd Street,Upper East Side,4250,2 Beds,1 Bath,Manhattan,Compass
"71 East 110th Street, Unit 4A",East Harlem,3550,2 Beds,1.5 Baths,Manhattan,Compass
"237 Sullivan Street, Unit 3D",Greenwich Village,3400,1 Bed,1 Bath,Manhattan,Compass
"520 East 88th Street, Unit 4B",Upper East Side,2375,1 Bed,1 Bath,Manhattan,Compass
"251 West 71st Street, Unit 1D",Upper West Side,4450,2 Beds,1 Bath,Manhattan,Compass
"249 East 10th Street, Unit 8A",East Village,2595,1 Bed,1 Bath,Manhattan,Compass
"113 Eldridge Street, Unit 2F",Lower East Side,2000,Studio,1 Bath,Manhattan,Compass
"141 West 145th Street, Unit 51",Harlem,2150,2 Beds,1 Bath,Manhattan,Compass
"610 East 20th Street, Unit 6A",Gramercy,3622,1 Bed,1 Bath,Manhattan,Compass
"435 West 31st Street, Unit 59K",Hudson Yards,11476,3 Beds,2 Baths,Manhattan,Compass
"40 East 64th Street, Unit 12",Upper East Side,2300,Studio,1 Bath,Manhattan,Compass
"99 Jane Street, Unit 2F",West Village,9700,2 Beds,2 Baths,Manhattan,Compass
37 West 95th Street,Upper West Side,7375,3 Beds,2 Baths,Manhattan,Compass
"310 West 20th Street, Unit D10",Chelsea,1675,Studio,1 Bath,Manhattan,Compass
"528 West 46th Street, Unit 5W",Hell's Kitchen,3200,2 Beds,1 Bath,Manhattan,Compass
"225 Rector Place, Unit 4A",Battery Park City,4300,1 Bed,1 Bath,Manhattan,Compass
"605 West 42nd Street, Unit 54Q",Hell's Kitchen,3450,Studio,1 Bath,Manhattan,Compass
"105 Duane Street, Unit 20F",TriBeCa,6990,2 Beds,1 Bath,Manhattan,Compass
"377 East 33rd Street, Unit 16B",Kips Bay,4600,1 Bed,1 Bath,Manhattan,Compass
"67 Mercer Street, Unit 2",SoHo,16000,1 Bed,1 Bath,Manhattan,Compass
"57 East 97th Street, Unit 12A",Upper East Side,3050,2 Beds,1 Bath,Manhattan,Compass
"250 West 19th Street, Unit 4D",Chelsea,4990,1 Bed,1 Bath,Manhattan,Compass
"317 East 5th Street, Unit 2B",East Village,3500,Studio,1 Bath,Manhattan,Compass
123 East 83rd Street,Upper East Side,4250,2 Beds,1 Bath,Manhattan,Compass
"71 East 110th Street, Unit 4A",East Harlem,3550,2 Beds,1.5 Baths,Manhattan,Compass
"237 Sullivan Street, Unit 3D",Greenwich Village,3400,1 Bed,1 Bath,Manhattan,Compass
"520 East 88th Street, Unit 4B",Upper East Side,2375,1 Bed,1 Bath,Manhattan,Compass
"251 West 71st Street, Unit 1D",Upper West Side,4450,2 Beds,1 Bath,Manhattan,Compass
75 West End Avenue,Upper West Side,3300,1 Bed,1 Bath,Manhattan,Compass
"42 East 63rd Street, Unit 2A",Upper East Side,2250,Studio,1 Bath,Manhattan,Compass
"520 East 88th Street, Unit 2A",Upper East Side,2900,1 Bed,1 Bath,Manhattan,Compass
"20 Exchange Place, Unit 3904",Financial District,4500,1 Bed,1 Bath,Manhattan,Compass
"56 Perry Street, Unit 5RW",West Village,2995,1 Bed,1 Bath,Manhattan,Compass
"70 6th Avenue, Unit 709",TriBeCa,5350,1 Bed,1 Bath,Manhattan,Compass
"303 East 37th Street, Unit 6M",Murray Hill,3500,2 Beds,1 Bath,Manhattan,Compass
"360 West 34th Street, Unit 4E",Hudson Yards,3595,1 Bed,1 Bath,Manhattan,Compass
"321 East 54th Street, Unit 5D",Midtown East,2200,Studio,1 Bath,Manhattan,Compass
"234 East 23rd Street, Unit 12C",Gramercy,11500,3 Beds,2.5 Baths,Manhattan,Compass
"41 West 24th Street, Unit F7",NoMad,6200,3 Beds,1 Bath,Manhattan,Compass
"635 West 42nd Street, Unit 26G",Hell's Kitchen,4200,1 Bed,1 Bath,Manhattan,Compass
"130 West 15th Street, Unit 9E",Chelsea,5800,1 Bed,1 Bath,Manhattan,Compass
"404 East 88th Street, Unit 5H",Upper East Side,2450,Studio,1 Bath,Manhattan,Compass
"420 East 66th Street, Unit 3E",Upper East Side,3095,1 Bed,1 Bath,Manhattan,Compass
"309 5th Avenue, Unit 29D",Midtown South,6000,1 Bed,1 Bath,Manhattan,Compass
"524 East 119th Street, Unit 2",East Harlem,1600,1 Bed,1 Bath,Manhattan,Compass
"407 Park Avenue South, Unit 7D",Kips Bay,3600,1 Bed,1 Bath,Manhattan,Compass
"2 Cooper Square, Unit 10D",NoHo,7795,2 Beds,1 Bath,Manhattan,Compass
"250 West 85th Street, Unit 4J",Upper West Side,3395,1 Bed,1 Bath,Manhattan,Compass
"529 East 85th Street, Unit 5C",Upper East Side,3900,2 Beds,1 Bath,Manhattan,Compass
"635 West 42nd Street, Unit 9A",Hell's Kitchen,3800,1 Bed,1 Bath,Manhattan,Compass
"160 East 91st Street, Unit 3F",Upper East Side,2295,1 Bed,1 Bath,Manhattan,Compass
"55 West 26th Street, Unit 19E",NoMad,5000,1 Bed,1 Bath,Manhattan,Compass
"30 Morningside Drive, Unit 305",Morningside Heights,7173,2 Beds,2 Baths,Manhattan,Compass
"133 East 17th Street, Unit 6B",Gramercy,2625,Studio,1 Bath,Manhattan,Compass
"18 East 63rd Street, Unit 8",Upper East Side,5995,1 Bed,1 Bath,Manhattan,Compass
"440 East 75th Street, Unit 12",Upper East Side,1950,1 Bed,1 Bath,Manhattan,Compass
"309 5th Avenue, Unit 21E",Midtown South,6000,1 Bed,1 Bath,Manhattan,Compass
"95 Worth Street, Unit 1110",TriBeCa,3795,1 Bed,1 Bath,Manhattan,Compass
"408 West 57th Street, Unit 6L",Hell's Kitchen,3250,1 Bed,1 Bath,Manhattan,Compass
"177 East 77th Street, Unit 11D",Upper East Side,4900,1 Bed,1 Bath,Manhattan,Compass
"203 East 121st Street, Unit 202",East Harlem,1995,Studio,1 Bath,Manhattan,Compass
"225 Rector Place, Unit 3C",Battery Park City,3700,1 Bed,1 Bath,Manhattan,Compass
"225 East 39th Street, Unit 8B",Murray Hill,3150,Studio,1 Bath,Manhattan,Compass
"250 West Street, Unit 2D",TriBeCa,22000,3 Beds,3.5 Baths,Manhattan,Compass
"236 East 24th Street, Unit 1D",Kips Bay,3007,Studio,1 Bath,Manhattan,Compass
"109 East 36th Street, Unit 2F",Murray Hill,2950,1 Bed,1 Bath,Manhattan,Compass
"230 East 11th Street, Unit 2",East Village,14000,4 Beds,2 Baths,Manhattan,Compass
"220 Riverside Boulevard, Unit 12B",Upper West Side,4000,1 Bed,1 Bath,Manhattan,Compass
"360 East 88th Street, Unit 23A",Upper East Side,4850,2 Beds,2 Baths,Manhattan,Compass
"206 East 95th Street, Unit 5A",Upper East Side,3300,1 Bed,1 Bath,Manhattan,Compass
"100 Morton Street, Unit 14AE",West Village,7595,1 Bed,1.5 Baths,Manhattan,Compass
"230 East 44th Street, Unit 8G",Midtown East,3955,2 Beds,1 Bath,Manhattan,Compass
"50 West Street, Unit 49D",Financial District,12500,2 Beds,2 Baths,Manhattan,Compass
"247 West 63rd Street, Unit 5D",Upper West Side,1700,Studio,1 Bath,Manhattan,Compass
"254 Park Avenue South, Unit 9KL",Flatiron,6500,2 Beds,2 Baths,Manhattan,Compass
555 West 23rd Street,Chelsea,3300,1 Bed,1 Bath,Manhattan,Compass
"346 West 84th Street, Unit 2C",Upper West Side,2095,1 Bed,1 Bath,Manhattan,Compass
"325 Lexington Avenue, Unit 22C",Murray Hill,6995,2 Beds,2 Baths,Manhattan,Compass
"38 Gramercy Park North, Unit 4F",Gramercy,4000,1 Bed,1 Bath,Manhattan,Compass
"170 West 23rd Street, Unit 6Z",Chelsea,3200,1 Bed,1 Bath,Manhattan,Compass
"60 Riverside Boulevard, Unit 1608",Upper West Side,5000,1 Bed,1 Bath,Manhattan,Compass
"124 East 103rd Street, Unit 7",East Harlem,2795,2 Beds,1 Bath,Manhattan,Compass
"20 Exchange Place, Unit 3302",Financial District,4400,1 Bed,1 Bath,Manhattan,Compass
"310 West 20th Street, Unit A3",Chelsea,1650,Studio,1 Bath,Manhattan,Compass
"255 West 55th Street, Unit 3B",Theater District,2950,Studio,1 Bath,Manhattan,Compass
"336 East 81st Street, Unit 1C",Upper East Side,2495,Studio,1 Bath,Manhattan,Compass
"151 East 81st Street, Unit 3B",Upper East Side,2795,1 Bed,1 Bath,Manhattan,Compass
"250 West 19th Street, Unit 4K",Chelsea,3950,1 Bed,1 Bath,Manhattan,Compass
"550 West 54th Street, Unit 1060",Hell's Kitchen,4100,1 Bed,1 Bath,Manhattan,Compass
"344 East 85th Street, Unit 6G",Upper East Side,3195,1 Bed,1 Bath,Manhattan,Compass
"160 West 66th Street, Unit 24A",Upper West Side,4600,1 Bed,1.5 Baths,Manhattan,Compass
"416 Lafayette Street, Unit 2B",NoHo,3150,1 Bed,1 Bath,Manhattan,Compass
"100 Riverside Boulevard, Unit 31C",Upper West Side,4800,1 Bed,1 Bath,Manhattan,Compass
"101 West 15th Street, Unit 205",Chelsea,6100,1 Bed,1 Bath,Manhattan,Compass
"67 Wall Street, Unit 13B",Financial District,4500,1 Bed,1 Bath,Manhattan,Compass
"300 East 46th Street, Unit 19E",Midtown East,3300,Studio,1 Bath,Manhattan,Compass
"30 West 63rd Street, Unit 18VW",Upper West Side,8875,2 Beds,2 Baths,Manhattan,Compass
"421 Hudson Street, Unit 404",West Village,15000,2 Beds,2.5 Baths,Manhattan,Compass
"441 West 22nd Street, Unit GDN",Chelsea,6250,2 Beds,2 Baths,Manhattan,Compass
"176 Broadway, Unit 7D",Financial District,3900,1 Bed,1 Bath,Manhattan,Compass
"172 East 4th Street, Unit 5G",East Village,4300,1 Bed,1 Bath,Manhattan,Compass
416 West 52nd Street,Hell's Kitchen,9100,1 Bed,2 Baths,Manhattan,Compass
"431 West 37th Street, Unit 6C",Hudson Yards,3401,Studio,1 Bath,Manhattan,Compass
"10 Rutgers Street, Unit 2A",Lower East Side,3527,1 Bed,1 Bath,Manhattan,Compass
"10 Rutgers Street, Unit 2A",Lower East Side,3680,1 Bed,1 Bath,Manhattan,Compass
"814 10th Avenue, Unit 7A",Hell's Kitchen,2700,1 Bed,1 Bath,Manhattan,Compass
"66 Madison Avenue, Unit 2DE",NoMad,6000,3 Beds,2 Baths,Manhattan,Compass
