Address,Price,Rental_type,Beds_baths,Sqfeet,Boro
"80 Meserole Avenue - Greenpoint, New York",4000,Commercial,| 2 Baths,Approximate Sq. Feet: 612,Brooklyn
"14th Street - Park Slope, New York",4000,Single Family Townhouse,2 Beds | 1 Bath,"Approximate Sq. Feet: 1,472",Brooklyn
"111 Greenpoint Avenue, C2 - Greenpoint, New York",4000,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 1,050",Brooklyn
"115 Greenpoint Avenue, A4 - Greenpoint, New York",4000,Rental,2 Beds | 1 Bath | 1 Half Bath,Listing ID: 3716645,Brooklyn
"115 Greenpoint Avenue, A1 - Greenpoint, New York",4000,Rental,2 Beds | 1 Bath | 1 Half Bath,Listing ID: 3722108,Brooklyn
"75 Kingsland Avenue, 3B - Williamsburg, New York",4000,Condo,2 Beds | 1 Bath,"Approximate Sq. Feet: 1,200",Brooklyn
"475 Clermont Avenue, 526 - Fort Greene, New York",3995,Rental,1.5 Beds | 1 Bath | 1 Half Bath,Listing ID: 3872975,Brooklyn
"365 Bond Street, C422 - Gowanus, New York",3992,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3888637,Brooklyn
"150 Myrtle Avenue, 1606 - Downtown Brooklyn, New York",3950,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,033",Brooklyn
"Caton Pl - Windsor Terrace, New York",3942,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3569062,Brooklyn
"44 1st Pl, PARLOR - Carroll Gardens, New York",3900,Multi-Family,1 Bed | 1 Bath,Listing ID: 3864895,Brooklyn
"662 Vanderbilt Street, 1 - Windsor Terrace, New York",3900,Rental,3 Beds | 1 Bath,"Approximate Sq. Feet: 1,100",Brooklyn
"81 Ocean Pkwy, 5B - Windsor Terrace, New York",3900,Cooperative,3 Beds | 2 Baths,Listing ID: 3835528,Brooklyn
"295 Columbia Street, 3 - Columbia Street Waterfront District, New York",3900,Rental,2 Beds | 2 Baths,Listing ID: 3760221,Brooklyn
"257 15th Street, PH2 - Park Slope, New York",3900,Rental,2 Beds | 2 Baths,Listing ID: 3877157,Brooklyn
"14th Street - Park Slope, New York",3850,Rental,2 Beds | 1 Bath,Approximate Sq. Feet: 761,Brooklyn
"Caton Pl - Windsor Terrace, New York",3850,"Rental, Doorman",2 Beds | 2 Baths,Approximate Sq. Feet: 940,Brooklyn
