"280 Park Avenue South, Apt. 12G",4585,1 Bed / 1 Bath / Condo,Flatiron
"210 East 21st Street, Apt. 6D",2250,Studio / 1 Bath / Co-op,Gramercy
"259 West 85th Street, Apt. 4",4000,1 Bed / 1 Bath / 856 Sq. Ft. / Condo,Upper West Side
"159 West 82nd Street, Apt. 2",4995,2 Beds / 1 Bath / Rental,Upper West Side
"310 East 46th Street, Apt. 12G",3850,1 Bed / 1 Bath / Condo/Co-op,Midtown East
"7 East 14th Street, Apt. 1024",2900,Studio / 1 Bath / 450 Sq. Ft. / Co-op,Flatiron
"200 East 94th Street, Apt. 505",3150,1 Bed / 1 Bath / Condo,Upper East Side
"524 West 149th Street, Apt. 3",2300,4 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights
"235 East 40th Street, Apt. 30G",3850,1 Bed / 1 Bath / Condo,Murray Hill
"216 East 47th Street, Apt. 3B",3700,1 Bed / 1 Bath / Condo,Midtown East
"400 Central Park West, Apt. 8Y",3200,1 Bed / 1 Bath / 650 Sq. Ft. / Condo,Upper West Side
"242 East 10th Street, Apt. 6",3500,2 Beds / 1 Bath / Rental,East Village
"77 Sullivan Street, Apt. 4",5500,"8 Units / 5 Floors / 1,100 Sq. Ft. / Multi-Family Townhouse",Soho/Nolita
"157 West 57th Street, Apt. 39C",23000,"2 Beds / 2 Baths / 1,985 Sq. Ft. / Condo",Central Park South
"52 East End Avenue, Apt. 16BC",12000,"3 Beds / 2 Baths / 1,900 Sq. Ft. / Condo",Upper East Side
"855 Ninth Avenue, Apt. 2A",2500,1 Bed / 1 Bath / Co-op,Midtown West
"530 West 148th Street, Apt. 2",2895,3 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights
"200 Cabrini Boulevard, Apt. 9",2900,2 Beds / 1 Bath / Co-op,Washington Heights
"142 East 49th Street, Apt. 3D",2650,Studio / 1 Bath / Condo/Co-op,Midtown East
"350 West 50th Street, Apt. 16I",3200,1 Bed / 1 Bath / 601 Sq. Ft. / Condo,Clinton
"219 West 81st Street, Apt. 3J",3450,1 Bed / 1 Bath / Condo,Upper West Side
"165 Hudson Street, Apt. 5C",6000,"2 Beds / 1 Bath / 1,650 Sq. Ft. / Co-op",Tribeca
"240 East 10th Street, Apt. 5c",7900,"2 Beds / 2 Baths / 1,176 Sq. Ft. / Condo",East Village
"341 West 122nd Street, Apt. 1",2350,2 Units / 4 Floors / Multi-Family Townhouse,Morningside Heights
"161 West 61st Street, Apt. 14G",6250,2 Beds / 2 Baths / Condo,Upper West Side
"45 East 25th Street, Apt. 16B",4700,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Flatiron
"80 Riverside Boulevard, Apt. 24A",12000,3 Beds / 3 Baths / Condo,Upper West Side
"7 Lexington Avenue, Apt. 7F",3450,Studio / 1 Bath / Condo/Co-op,Gramercy
"150 Nassau Street, Apt. 20A",9500,"2 Beds / 2 Baths / 1,723 Sq. Ft. / Condo",Financial District
"56 Leonard Street, Apt. 47 WEST",38500,"4 Beds / 4 Baths / 3,576 Sq. Ft. / Condo",Tribeca
"270 Broadway, Apt. 19A",14500,"3 Beds / 2 Baths / 2,780 Sq. Ft. / Condo",Tribeca
"20 Pine Street, Apt. 1104",6150,"2 Beds / 2 Baths / 1,280 Sq. Ft. / Condo",Financial District
"516 West 47th Street, Apt. N4K",2800,Studio / 1 Bath / 471 Sq. Ft. / Condo,Clinton
"222 Park Avenue South, Apt. 11E",29950,"5 Beds / 4 Baths / 3,500 Sq. Ft. / Co-op",Gramercy
"39 Jane Street, Apt. 2D",3095,Loft / 1 Bath / Rental,West Village
"77 East 12th Street, Apt. 17B",3400,Studio / 1 Bath / Co-op,Greenwich Village
"404 East 66th Street, Apt. 4B",2600,Studio / 1 Bath / 560 Sq. Ft. / Condo,Upper East Side
"401 East 60th Street, Apt. 23B",7295,"2 Beds / 2 Baths / 1,300 Sq. Ft. / Condo",Upper East Side
"258 Riverside Drive, Apt. 3B",7750,3 Beds / 2 Baths / Co-op,Upper West Side
"15 Rivington Street, Apt. PH",22000,"2 Beds / 3 Baths / 2,100 Sq. Ft. / Condo",Lower East Side
"52 East End Avenue, Apt. 22B",4000,1 Bed / 1 Bath / Condo,Upper East Side
"588 West End Avenue, Apt. 10B",6500,2 Beds / 1 Bath / Co-op,Upper West Side
"240 Riverside Boulevard, Apt. 19B",12995,"3 Beds / 3 Baths / 2,147 Sq. Ft. / Condo",Upper West Side
"11 East 36th Street, Apt. 602",4250,1 Bed / 1 Bath / 819 Sq. Ft. / Condo,Murray Hill
"120 Greenwich Street, Apt. 6B",2800,Loft / 1 Bath / Condo,Financial District
"285 West 110th Street, Apt. 2A",7995,3 Beds / 3 Baths / Condo,Upper West Side
"416 East 83rd Street, Apt. D5",1850,Studio / 1 Bath / Co-op,Upper East Side
"327 West 22nd Street, Apt. 8",17000,"9 Units / 5 Floors / 1,800 Sq. Ft. / Multi-Family Townhouse",Chelsea/Hudson Yards
"301 East 95th Street, Apt. 4B",2225,1 Bed / 1 Bath / Rental,Upper East Side
"251 East 13th Street, Apt. 2",4000,2 Beds / 1 Bath / Rental,East Village
"422 West 20th Street, Apt. PARLOR A",11000,3 Beds / 2 Baths / Condo,Chelsea/Hudson Yards
"17 Convent Avenue, Apt. 5D",3350,1 Bed / 1 Bath / 743 Sq. Ft. / Condo,Harlem
"157 West 57th Street, Apt. 56C",59000,"4 Beds / 4 Baths / 3,466 Sq. Ft. / Condo",Central Park South
"25 Charles Street, Apt. 5A",6200,2 Beds / 1 Bath / 810 Sq. Ft. / Co-op,West Village
"17 West 67th Street, Apt. 3B",4000,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Upper West Side
"350 West 50th Street, Apt. 3II",2900,Studio / 1 Bath / 522 Sq. Ft. / Condo,Clinton
"116 Central Park South, Apt. 3A",4799,1 Bed / 1 Bath / 915 Sq. Ft. / Condo,Central Park South
5 West 87th Street,27000,"5 Floors / 6,534 Sq. Ft. / Single Family Townhouse",Upper West Side
117 Charles Street,18000,"4 Floors / 2,187 Sq. Ft. / Single Family Townhouse",West Village
"105 West 77th Street, Apt. 3B",2500,Studio / 1 Bath / Condo,Upper West Side
"380 Lenox Avenue, Apt. PHG",9000,"3 Beds / 2 Baths / 2,116 Sq. Ft. / Condo",Harlem
"157 West 82nd Street, Apt. 1",10995,4 Floors / Multi-Family Townhouse,Upper West Side
"50 Riverside Boulevard, Apt. 9N",8000,2 Beds / 2 Baths / Condo,Upper West Side
"150 West 51st Street, Apt. 1609",3900,2 Beds / 1 Bath / Condo,Midtown West
"343 East 76th Street, Apt. 5D",2495,Studio / 1 Bath / Rental,Upper East Side
"105 West 77th Street, Apt. 3F",2800,1 Bed / 1 Bath / Condo,Upper West Side
"540 West 149th Street, Apt. 4",4500,2 Beds / 2 Baths / Condo,Hamilton Heights
"243 West 60th Street, Apt. 2C",4350,1 Bed / 1 Bath / Condo,Upper West Side
