657 Greene Avenue,1995000,"4 Units / 4 Floors / 2,800 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
572 Myrtle Avenue,4650000,"6 Units / 3 Floors / 4,800 Sq. Ft. / Mixed Use Townhouse",Clinton Hill
667 Decatur Street,1495000,"2 Units / 3 Floors / 2,100 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"511 Herkimer Street, Apt. 3B",615000,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant
"195 Prospect Park West, Apt. 4D",499000,1 Bed / 1 Bath / Co-op,Park Slope
168 Amity Street,6950000,4 Floors / Single Family Townhouse,Cobble Hill
191 Richards Street,2390000,"3 Units / 3 Floors / 3,000 Sq. Ft. / Multi-Family Townhouse",Red Hook
"11 Hoyt Street, Apt. 14M",695000,Studio / 1 Bath / 466 Sq. Ft. / Condo,Downtown Brooklyn
"209 Clinton Avenue, Apt. 8E",650000,2 Beds / 1 Bath / 793 Sq. Ft. / Co-op,Clinton Hill
"805 5th Avenue, Apt. 1B",479000,Studio / 1 Bath / 835 Sq. Ft. / Condo,Greenwood
"511 Herkimer Street, Apt. 4A",685000,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant
84 6th Avenue,3750000,Multi-Family Townhouse,Park Slope
1570 Eastern Parkway,1299000,"4 Units / 3 Floors / 4,500 Sq. Ft. / Multi-Family Townhouse",Crown Heights
3604 Church Avenue,5995000,Multi-Family Townhouse,empty neighborhood
"800 Ocean Parkway, Apt. 4N",649000,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Co-op",Midwood
"221 Mcdonald Avenue, Apt. 3J",419000,1 Bed / 1 Bath / Co-op,Windsor Terrace
"328 Dean Street, Apt. 3D",1699000,"2 Beds / 2 Baths / 1,429 Sq. Ft. / Condo",Boerum Hill
"971 Jerome Street, Apt. 1f",275000,1 Bed / 1 Bath / 643 Sq. Ft. / Condo,empty neighborhood
632 President Street,3200000,"4 Units / 4 Floors / 3,060 Sq. Ft. / Multi-Family Townhouse",Park Slope
430 East 55th Street,528000,3 Beds / 3 Baths / House,empty neighborhood
"147 Hope Street, Apt. TH 1C",1995000,"2.5 Beds / 2 Baths / 2,075 Sq. Ft. / Condo",Williamsburg
1277 Bergen Street,2295000,"3 Units / 4 Floors / 3,500 Sq. Ft. / Multi-Family Townhouse",Crown Heights
37 East 32nd Street,899000,"2 Units / 2 Floors / 2,280 Sq. Ft. / Multi-Family Townhouse",Flatbush
"781 Union Street, Apt. 4R",599000,1 Bed / 1 Bath / Co-op,Park Slope
"570 7th Street, Apt. 3B",1175000,2 Beds / 1 Bath / Condo,Park Slope
"1638 8th Avenue, Apt. 1A",1450000,"2.5 Beds / 2 Baths / 1,404 Sq. Ft. / Condo",Park Slope
"264 Cumberland Street, Apt. 1",1150000,"1.5 Beds / 1 Bath / 1,592 Sq. Ft. / Condo",Fort Greene
"360 Furman Street, Apt. 209",3495000,"3 Beds / 3 Baths / 2,430 Sq. Ft. / Condo",Brooklyn Heights
261A 19th Street,2750000,"2 Units / 2 Floors / 3,171 Sq. Ft. / Multi-Family Townhouse",Park Slope
"2781 Ocean Avenue, Apt. CC",499000,1 Bed / 2 Baths / Condo,Sheepshead Bay
"289 Devoe Street, Apt. 3R",745000,1 Bed / 1 Bath / Condo,Williamsburg
"360 Furman Street, Apt. 410",2150000,"3 Beds / 2 Baths / 1,434 Sq. Ft. / Condo",Brooklyn Heights
3606 Avenue R,689000,"3 Beds / 1 Bath / 1,188 Sq. Ft. / House",Marine Park
4 Hunts Lane,6250000,2 Floors / House,Brooklyn Heights
"188 Meserole Avenue, Apt. 4N",825000,1 Bed / 1 Bath / 638 Sq. Ft. / Condo,Greenpoint
"289 Devoe Street, Apt. 2F",695000,1 Bed / 1 Bath / Condo,Williamsburg
754 McDonald Avenue,1700000,"5 Units / 3 Floors / 3,000 Sq. Ft. / Mixed Use Townhouse",Kensington
"294 12th Street, Apt. 3B",1174995,2 Beds / 1 Bath / Condo,Park Slope
"946 Herkimer Street, Apt. 3B",724995,2 Beds / 2 Baths / Condo,Bedford-Stuyvesant
"946 Herkimer Street, Apt. 2A",424995,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant
711 Church Avenue,1398000,"2 Floors / 2,590 Sq. Ft. / Mixed Use Townhouse",Kensington
