,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
188,"20 West Street, Unit 44B",Financial District,3650,1 BD,1 BA,Manhattan,Compass
189,5 West 87th Street,Upper West Side,27000,5 BD,4 BA,Manhattan,Compass
190,"125 East 12th Street, Unit 1F",Greenwich Village,13995,4 BD,2.5 BA,Manhattan,Compass
192,"154 West 120th Street, Unit 2",Harlem,2800,1 BD,1 BA,Manhattan,Compass
193,"605 West 42nd Street, Unit 35E",Hell's Kitchen,3760,1 BD,1 BA,Manhattan,Compass
195,"366 Broadway, Unit PHC",TriBeCa,10995,2 BD,2 BA,Manhattan,Compass
196,"320 East 65th Street, Unit 422",Upper East Side,2460,Studio,1 BA,Manhattan,Compass
197,"251 West 19th Street, Unit 1D",Chelsea,8000,2 BD,2 BA,Manhattan,Compass
198,"414 West 45th Street, Unit 3F",Hell's Kitchen,3500,1 BD,1 BA,Manhattan,Compass
200,"845 United Nations Plaza, Unit 18H",Midtown East,6795,2 BD,2 BA,Manhattan,Compass
201,"175 Franklin Street, Unit 4",TriBeCa,12500,2 BD,2 BA,Manhattan,Compass
202,"4 East 30th Street, Unit 4B",NoMad,3000,2 BD,1 BA,Manhattan,Compass
203,"1 Irving Place, Unit U11D",Gramercy,4900,1 BD,1 BA,Manhattan,Compass
204,"172 Madison Avenue, Unit 12A",Midtown South,8995,2 BD,2.5 BA,Manhattan,Compass
205,"414 West 45th Street, Unit 3R",Hell's Kitchen,4000,1 BD,1.5 BA,Manhattan,Compass
206,"1793 Amsterdam Avenue, Unit 6",Hamilton Heights,2280,2 BD,2 BA,Manhattan,Compass
208,"10 West End Avenue, Unit 8E",Upper West Side,3950,1 BD,1 BA,Manhattan,Compass
209,"301 East 61st Street, Unit 16A",Upper East Side,13995,3 BD,3.5 BA,Manhattan,Compass
210,"447 West 36th Street, Unit 2",Hudson Yards,9495,Studio,1 BA,Manhattan,Compass
211,"165 Charles Street, Unit 3",West Village,5250,Studio,1 BA,Manhattan,Compass
212,"2285 Adam Clayton Powell Junior Boulevard, Unit 3N",Harlem,4200,4 BD,2 BA,Manhattan,Compass
213,120 Thompson Street,SoHo,5000,Studio,0.5 BA,Manhattan,Compass
215,"411 East 53rd Street, Unit 2J",Midtown East,2700,1 BD,1 BA,Manhattan,Compass
217,138 Manhattan Avenue,Upper West Side,16995,5 BD,3.5 BA,Manhattan,Compass
218,"531 East 88th Street, Unit 1C",Upper East Side,2000,Studio,1 BA,Manhattan,Compass
219,"310 Greenwich Street, Unit 39K",TriBeCa,6195,2 BD,2 BA,Manhattan,Compass
220,"330 East 119th Street, Unit 6B",East Harlem,2675,1 BD,1 BA,Manhattan,Compass
221,"23 West 88th Street, Unit 2F",Upper West Side,2600,Studio,1 BA,Manhattan,Compass
222,120 Thompson Street,SoHo,2400,Studio,1 BA,Manhattan,Compass
223,"530 Park Avenue, Unit 14D",Upper East Side,20495,3 BD,3.5 BA,Manhattan,Compass
224,"159 West 53rd Street, Unit 24A",Theater District,2900,1 BD,1 BA,Manhattan,Compass
226,"615 East 6th Street, Unit G",Chelsea,6495,3 BD,2 BA,Manhattan,Compass
227,"210 Forsyth Street, Unit 4",Lower East Side,6500,2 BD,2 BA,Manhattan,Compass
228,"60 East 96th Street, Unit 1B",Upper East Side,8700,3 BD,2 BA,Manhattan,Compass
229,"151 East 58th Street, Unit 34B",Midtown East,40000,4 BD,3.5 BA,Manhattan,Compass
230,"45 Tudor City Place, Unit 1012",Midtown East,2200,Studio,1 BA,Manhattan,Compass
231,"1396 3rd Avenue, Unit 1B",Upper East Side,4900,2 BD,1.5 BA,Manhattan,Compass
