,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
4178,"125 East 90th Street, Unit 2A",Upper East Side,2810,1 BD,1 BA,Manhattan,Compass
4179,"382 3rd Avenue, Unit 5C",Kips Bay,2395,Studio,1 BA,Manhattan,Compass
4180,"65 Bank Street, Unit 16",West Village,4600,1 BD,1 BA,Manhattan,Compass
4181,"171 East 117th Street, Unit 3",East Harlem,3200,3 BD,1 BA,Manhattan,Compass
4182,"100 Riverside Boulevard, Unit 14K",Upper West Side,4400,1 BD,1 BA,Manhattan,Compass
4183,"45 Carmine, Unit 5B",West Village,3400,1 BD,1 BA,Manhattan,Compass
4184,"250 West 93rd Street, Unit 15B",Upper West Side,7195,2 BD,2 BA,Manhattan,Compass
4185,"250 West 93rd Street, Unit 16A",Upper West Side,7995,2 BD,2 BA,Manhattan,Compass
4186,"1665 York Avenue, Unit 5B",Upper East Side,2400,1 BD,1 BA,Manhattan,Compass
4187,"1665 York Avenue, Unit 5B",Upper East Side,2400,1 BD,1 BA,Manhattan,Compass
4188,"78 Manhattan Avenue, Unit 2K",Upper West Side,2470,1 BD,1 BA,Manhattan,Compass
4189,"240 East 27th Street, Unit 12L",Kips Bay,3902,1 BD,1 BA,Manhattan,Compass
4190,"135 West 52nd Street, Unit 9D",Theater District,5800,2 BD,2 BA,Manhattan,Compass
4191,"93 Worth Street, Unit 604",TriBeCa,8950,2 BD,2.5 BA,Manhattan,Compass
4192,"145 Clinton Street, Unit 14A",Lower East Side,6138,2 BD,2 BA,Manhattan,Compass
4193,"247 West 46th Street, Unit 2606",Theater District,4700,1 BD,1.5 BA,Manhattan,Compass
4194,"200 East 116th Street, Unit 3N",East Harlem,6200,5 BD,2 BA,Manhattan,Compass
4195,"222 East 44th Street, Unit 39B",Midtown East,5630,1 BD,1 BA,Manhattan,Compass
4196,"447 West 47th Street, Unit 4",Hell's Kitchen,2750,1 BD,1 BA,Manhattan,Compass
4197,"322 West 57th Street, Unit 34B",Hell's Kitchen,8750,2 BD,2 BA,Manhattan,Compass
4198,"313 East 84th Street, Unit 3B",Upper East Side,2250,Studio,1 BA,Manhattan,Compass
4199,"3 Hanover Square, Unit 23EF",Financial District,3800,1 BD,1 BA,Manhattan,Compass
4200,"60 East 8th Street, Unit 9B",Greenwich Village,8995,2 BD,2 BA,Manhattan,Compass
4201,"155 East 34th Street, Unit 3C",Murray Hill,2650,Studio,1 BA,Manhattan,Compass
4202,"2373 Broadway, Unit 609",Upper West Side,2995,1 BD,1 BA,Manhattan,Compass
4203,"214 Riverside Drive, Unit 706",Upper West Side,2450,Studio,1 BA,Manhattan,Compass
4204,"71 Clinton Street, Unit 12",Lower East Side,2950,2 BD,1 BA,Manhattan,Compass
4205,"40 Prince Street, Unit 6C",NoLita,6450,2 BD,2 BA,Manhattan,Compass
4206,"5 East 22nd Street, Unit 23A",Flatiron,3950,1 BD,1 BA,Manhattan,Compass
4207,"15 William Street, Unit 10G",Financial District,3995,1 BD,1 BA,Manhattan,Compass
4208,"210 West 70th Street, Unit 316",Upper West Side,2875,Studio,1 BA,Manhattan,Compass
4209,"222 East 44th Street, Unit 40N",Midtown East,6550,1 BD,1.5 BA,Manhattan,Compass
4210,"208 East 70th Street, Unit 1E",Upper East Side,2195,Studio,1 BA,Manhattan,Compass
4211,"37 West 72nd Street, Unit 8E",Upper West Side,3700,1 BD,1 BA,Manhattan,Compass
4212,"444 East 82nd Street, Unit 11V",Upper East Side,6900,3 BD,2 BA,Manhattan,Compass
4213,"333 East 108th Street, Unit 3D",East Harlem,2295,2 BD,1 BA,Manhattan,Compass
4214,"347 West 57th Street, Unit 24C",Hell's Kitchen,5800,2 BD,2 BA,Manhattan,Compass
4215,"186 West 80th Street, Unit 8C",Upper West Side,2450,Studio,1 BA,Manhattan,Compass
4216,"205 West 107th Street, Unit 3W",Upper West Side,6295,3 BD,2 BA,Manhattan,Compass
4217,"212 West 16th Street, Unit 1W",Chelsea,2395,Studio,1 BA,Manhattan,Compass
4218,"115 Lexington Avenue, Unit 6C",Kips Bay,2500,1 BD,1 BA,Manhattan,Compass
4219,"250 West 93rd Street, Unit 15B",Upper West Side,7195,2 BD,2 BA,Manhattan,Compass
4220,"150 West 51st Street, Unit 1031",Theater District,3500,1 BD,1 BA,Manhattan,Compass
4221,"225 Rector Place, Unit 11J",Battery Park City,4000,1 BD,1 BA,Manhattan,Compass
4222,"620 West 42nd Street, Unit 44E",Hudson Yards,5635,2 BD,2 BA,Manhattan,Compass
4223,"250 West 93rd Street, Unit 16A",Upper West Side,7995,2 BD,2 BA,Manhattan,Compass
4224,"250 West 93rd Street, Unit 16A",Upper West Side,7995,2 BD,2 BA,Manhattan,Compass
4225,"720 Greenwich Street, Unit 7N",West Village,5495,1 BD,1 BA,Manhattan,Compass
4226,"1 Bank Street, Unit 5K",West Village,4375,1 BD,1 BA,Manhattan,Compass
4227,"550 West 45th Street, Unit 540",Hell's Kitchen,3875,1 BD,1 BA,Manhattan,Compass
4228,"333 East 109th Street, Unit 3C",East Harlem,2695,1 BD,1 BA,Manhattan,Compass
4229,"310 West 122nd Street, Unit 5W",Harlem,2995,2 BD,1 BA,Manhattan,Compass
4230,"222 East 44th Street, Unit 40J",Midtown East,4700,Studio,1 BA,Manhattan,Compass
4231,"237 East 12th Street, Unit 3A",East Village,2750,Studio,1 BA,Manhattan,Compass
4232,"202 West 84th Street, Unit 5E",Upper West Side,5800,3 BD,3 BA,Manhattan,Compass
4233,"203 East 121st Street, Unit 503",East Harlem,1850,Studio,1 BA,Manhattan,Compass
4234,"4 Park Avenue, Unit 20L",Murray Hill,2750,Studio,1 BA,Manhattan,Compass
4235,"415 Main Street, Unit 15E",Roosevelt Island,3295,1 BD,1 BA,Manhattan,Compass
4236,"186 9th Avenue, Unit 2F",Chelsea,3500,1 BD,1 BA,Manhattan,Compass
4237,"51 Bank Street, Unit 21",West Village,3995,2 BD,1 BA,Manhattan,Compass
4238,"220 Ave A, Unit 1D",East Village,2491,Studio,1 BA,Manhattan,Compass
4239,"236 East 47th Street, Unit 19A",Midtown East,2600,Studio,1 BA,Manhattan,Compass
4240,"2101 8th Avenue, Unit 5A",Harlem,2700,1 BD,1 BA,Manhattan,Compass
4241,"419 West 56th Street, Unit 1B",Hell's Kitchen,1850,Studio,1 BA,Manhattan,Compass
4242,"421 Hudson Street, Unit 708",West Village,7245,1 BD,2 BA,Manhattan,Compass
4243,"1661 Park Avenue, Unit 6A",East Harlem,2995,3 BD,1 BA,Manhattan,Compass
4244,"145 Clinton Street, Unit 3K",Lower East Side,6276,2 BD,2 BA,Manhattan,Compass
4245,"124-136 East 117th Street, Unit 6P",East Harlem,2995,3 BD,1 BA,Manhattan,Compass
4246,572 West 141st Street,Hamilton Heights,2450,2 BD,1 BA,Manhattan,Compass
4247,"77 7th Avenue, Unit 12C",Chelsea,4250,1 BD,1 BA,Manhattan,Compass
4248,"191 West 10th Street, Unit 4",West Village,5495,1 BD,1 BA,Manhattan,Compass
4249,"145 Clinton Street, Unit 9J",Lower East Side,5538,2 BD,1 BA,Manhattan,Compass
4250,"215 East 117th Street, Unit 22",East Harlem,2375,2 BD,1 BA,Manhattan,Compass
4251,2490 8th Avenue,Harlem,2250,1 BD,1 BA,Manhattan,Compass
4252,"451 West 22nd Street, Unit 2F",Chelsea,2450,Studio,1 BA,Manhattan,Compass
4253,"406 West 48th Street, Unit 3RW",Hell's Kitchen,2275,1 BD,1 BA,Manhattan,Compass
4254,"113 Christopher Street, Unit 3C",West Village,4050,1 BD,1 BA,Manhattan,Compass
4255,"125 Delancey Street, Unit 1607",Lower East Side,4341,1 BD,1 BA,Manhattan,Compass
4256,"222 East 44th Street, Unit 39K",Midtown East,5980,1 BD,1 BA,Manhattan,Compass
4257,"111 West 67th Street, Unit 20D",Upper West Side,3550,1 BD,1 BA,Manhattan,Compass
4258,"39-a Gramercy Park North, Unit 6C",Gramercy,4200,Studio,1 BA,Manhattan,Compass
4259,"20 Pine Street, Unit 715",Financial District,3600,Studio,1 BA,Manhattan,Compass
4260,"181 Hudson Street, Unit 1D",TriBeCa,11750,4 BD,2 BA,Manhattan,Compass
4261,"73 West 68th Street, Unit 6",Upper West Side,2650,1 BD,1 BA,Manhattan,Compass
4262,"519 Broadway, Unit 6",SoHo,19000,3 BD,2.5 BA,Manhattan,Compass
4263,"58 East 56th Street, Unit 3A",Midtown East,3695,1 BD,1 BA,Manhattan,Compass
4264,"275 West 10th Street, Unit 6D",West Village,45000,4 BD,4 BA,Manhattan,Compass
4265,"247 East 28th Street, Unit 7E",Kips Bay,4150,2 BD,1 BA,Manhattan,Compass
4266,"145 Clinton Street, Unit 3L",Lower East Side,7153,3 BD,2 BA,Manhattan,Compass
4267,"1110 Park Avenue, Unit PHA",Upper East Side,85000,5 BD,5.5 BA,Manhattan,Compass
4268,"125 Delancey Street, Unit 2001",Lower East Side,3492,Studio,1 BA,Manhattan,Compass
4269,"518 9th Avenue, Unit 3",Hudson Yards,4500,3 BD,1 BA,Manhattan,Compass
4270,"305 West 50th Street, Unit 26C",Hell's Kitchen,4631,1 BD,1 BA,Manhattan,Compass
4271,"0 West 55th Street, Unit 4M",Midtown East,2295,Studio,1 BA,Manhattan,Compass
4272,"450 West 17th Street, Unit 716",Chelsea,4885,Studio,1 BA,Manhattan,Compass
4273,"450 West 17th Street, Unit 401",Chelsea,5955,1 BD,1 BA,Manhattan,Compass
4274,"265 West 87th Street, Unit 5B",Upper West Side,2325,Studio,1 BA,Manhattan,Compass
4275,"814 10th Avenue, Unit 3A",Hell's Kitchen,2400,Studio,1 BA,Manhattan,Compass
4276,"77 West 85th Street, Unit E",Upper West Side,4260,1 BD,1 BA,Manhattan,Compass
4277,"77 West 85th Street, Unit E",Upper West Side,4260,1 BD,1 BA,Manhattan,Compass
4278,"342 East 8th Street, Unit 2I",East Village,4285,2 BD,1 BA,Manhattan,Compass
4279,"200 West 85th Street, Unit 4C",Upper West Side,3500,2 BD,1 BA,Manhattan,Compass
4280,"312 West 48th Street, Unit 7",Hell's Kitchen,2490,1 BD,1 BA,Manhattan,Compass
4281,"0 East 79th Street, Unit 6P",Manhattan,2250,1 BD,1 BA,Manhattan,Compass
4282,10-40 River Road,Roosevelt Island,6200,3 BD,2 BA,Manhattan,Compass
4283,"10-40 River Road, Unit 1002A",Roosevelt Island,3400,1 BD,1 BA,Manhattan,Compass
4284,"105 West 29th Street, Unit 48C",Chelsea,7909,2 BD,2 BA,Manhattan,Compass
4285,"411 West 35th Street, Unit 3U",Hudson Yards,3649,Studio,1 BA,Manhattan,Compass
4286,"7 West 21st Street, Unit 16J",Flatiron,6161,1 BD,1 BA,Manhattan,Compass
4287,10-40 River Road,Roosevelt Island,2850,1 BD,1 BA,Manhattan,Compass
4288,"100 Suffolk Street, Unit 2E",Lower East Side,3200,1 BD,1 BA,Manhattan,Compass
4289,"98 Suffolk Street, Unit 4D",Lower East Side,3500,2 BD,1 BA,Manhattan,Compass
4290,261 Hudson Street,SoHo,11995,2 BD,2 BA,Manhattan,Compass
4291,"282 11th Avenue, Unit 1520",Chelsea,4480,1 BD,1 BA,Manhattan,Compass
4292,"282 11th Avenue, Unit 1113",Chelsea,6065,2 BD,2 BA,Manhattan,Compass
4293,"953 Columbus Avenue, Unit 5N",Upper West Side,3900,3 BD,1 BA,Manhattan,Compass
4294,"953 Columbus Avenue, Unit 5N",Upper West Side,3900,3 BD,1 BA,Manhattan,Compass
4295,"326 East 35th Street, Unit 52",Murray Hill,3495,2 BD,1 BA,Manhattan,Compass
4296,"330 East 35th Street, Unit 51",Murray Hill,2595,1 BD,1 BA,Manhattan,Compass
4297,"410 East 13th Street, Unit 2C",East Village,2995,1 BD,1 BA,Manhattan,Compass
4298,"10 East 13th Street, Unit PHG",Greenwich Village,6850,2 BD,2 BA,Manhattan,Compass
4299,"10 East 13th Street, Unit PHG",Greenwich Village,6850,2 BD,2 BA,Manhattan,Compass
4300,"300 East 39th Street, Unit 28B",Murray Hill,3702,Studio,1 BA,Manhattan,Compass
4301,"516 East 79th Street, Unit 4B",Upper East Side,2020,Studio,1 BA,Manhattan,Compass
4302,"300 East 56th Street, Unit 3M",Midtown East,5695,1 BD,1.5 BA,Manhattan,Compass
4303,"300 East 56th Street, Unit 6L",Midtown East,5695,1 BD,1.5 BA,Manhattan,Compass
4304,"221 Wadsworth Avenue, Unit 1C",Washington Heights,3300,3 BD,1 BA,Manhattan,Compass
4305,"0 East 79th Street, Unit 6G",Manhattan,2150,1 BD,1 BA,Manhattan,Compass
4306,"44 East 63rd Street, Unit 3C",Upper East Side,2995,1 BD,1 BA,Manhattan,Compass
4307,"101 West 15th Street, Unit 427",Chelsea,6300,1 BD,1 BA,Manhattan,Compass
4308,"5 East 22nd Street, Unit 5L",Flatiron,4100,1 BD,1 BA,Manhattan,Compass
4309,"250 West 88th Street, Unit 508",Upper West Side,2500,Studio,1 BA,Manhattan,Compass
4310,"10 Downing Street, Unit 5U",West Village,4900,Studio,1 BA,Manhattan,Compass
4311,"7 West 21st Street, Unit 16J",Flatiron,6161,1 BD,1 BA,Manhattan,Compass
4312,"204 Forsyth Street, Unit 3N",Lower East Side,9750,2 BD,2 BA,Manhattan,Compass
4313,"105 Duane Street, Unit 48G",TriBeCa,5925,1 BD,1.5 BA,Manhattan,Compass
4314,"1050 6th Avenue, Unit 11B",Midtown South,3500,Studio,1 BA,Manhattan,Compass
4315,"0 East 79th Street, Unit 5F",Manhattan,1950,Studio,1 BA,Manhattan,Compass
4316,"646 Amsterdam Avenue, Unit 2C",Upper West Side,2695,1 BD,1 BA,Manhattan,Compass
4317,"646 Amsterdam Avenue, Unit 2C",Upper West Side,2695,1 BD,1 BA,Manhattan,Compass
4318,"0 East 79th Street, Unit 5K",Manhattan,1950,Studio,1 BA,Manhattan,Compass
4319,"411 West 35th Street, Unit 3B",Hudson Yards,3446,Studio,1 BA,Manhattan,Compass
4320,"330 East 35th Street, Unit 51",Murray Hill,2595,1 BD,1 BA,Manhattan,Compass
4321,"410 East 13th Street, Unit 2C",East Village,2995,1 BD,1 BA,Manhattan,Compass
4322,"10 East 13th Street, Unit PHG",Greenwich Village,6850,2 BD,2 BA,Manhattan,Compass
4323,"10 East 13th Street, Unit PHG",Greenwich Village,6850,2 BD,2 BA,Manhattan,Compass
4324,"300 East 39th Street, Unit 28B",Murray Hill,3702,Studio,1 BA,Manhattan,Compass
4325,"516 East 79th Street, Unit 4B",Upper East Side,2020,Studio,1 BA,Manhattan,Compass
4326,"300 East 56th Street, Unit 3M",Midtown East,5695,1 BD,1.5 BA,Manhattan,Compass
4327,"300 East 56th Street, Unit 6L",Midtown East,5695,1 BD,1.5 BA,Manhattan,Compass
4328,"221 Wadsworth Avenue, Unit 1C",Washington Heights,3300,3 BD,1 BA,Manhattan,Compass
4329,"0 East 79th Street, Unit 6G",Manhattan,2150,1 BD,1 BA,Manhattan,Compass
4330,"44 East 63rd Street, Unit 3C",Upper East Side,2995,1 BD,1 BA,Manhattan,Compass
4331,"101 West 15th Street, Unit 427",Chelsea,6300,1 BD,1 BA,Manhattan,Compass
4332,"5 East 22nd Street, Unit 5L",Flatiron,4100,1 BD,1 BA,Manhattan,Compass
4333,"250 West 88th Street, Unit 508",Upper West Side,2500,Studio,1 BA,Manhattan,Compass
4334,"10 Downing Street, Unit 5U",West Village,4900,Studio,1 BA,Manhattan,Compass
4335,"7 West 21st Street, Unit 16J",Flatiron,6161,1 BD,1 BA,Manhattan,Compass
4336,"204 Forsyth Street, Unit 3N",Lower East Side,9750,2 BD,2 BA,Manhattan,Compass
4337,"105 Duane Street, Unit 48G",TriBeCa,5925,1 BD,1.5 BA,Manhattan,Compass
4338,"1050 6th Avenue, Unit 11B",Midtown South,3500,Studio,1 BA,Manhattan,Compass
4339,"0 East 79th Street, Unit 5F",Manhattan,1950,Studio,1 BA,Manhattan,Compass
4340,"646 Amsterdam Avenue, Unit 2C",Upper West Side,2695,1 BD,1 BA,Manhattan,Compass
4341,"646 Amsterdam Avenue, Unit 2C",Upper West Side,2695,1 BD,1 BA,Manhattan,Compass
4342,"0 East 79th Street, Unit 5K",Manhattan,1950,Studio,1 BA,Manhattan,Compass
4343,"411 West 35th Street, Unit 3B",Hudson Yards,3446,Studio,1 BA,Manhattan,Compass
4344,"240 East 27th Street, Unit 26J",Kips Bay,7278,3 BD,2 BA,Manhattan,Compass
4345,"240 East 27th Street, Unit 16L",Kips Bay,3847,1 BD,1 BA,Manhattan,Compass
4346,"160 Riverside Boulevard, Unit 15U",Upper West Side,5442,2 BD,2 BA,Manhattan,Compass
4347,"105 Duane Street, Unit 31F",TriBeCa,5290,1 BD,1 BA,Manhattan,Compass
4348,"260 Audubon Avenue, Unit 22G",Washington Heights,2665,2 BD,1 BA,Manhattan,Compass
4349,"2021 Lexington Avenue, Unit 2D",East Harlem,2900,3 BD,1 BA,Manhattan,Compass
4350,"66 West 38th Street, Unit 18H",Midtown South,4275,1 BD,1 BA,Manhattan,Compass
4351,"411 West 35th Street, Unit 5W",Hudson Yards,6917,2 BD,2 BA,Manhattan,Compass
4352,"411 West 35th Street, Unit 11D",Hudson Yards,7100,2 BD,2 BA,Manhattan,Compass
4353,"303 East 83rd Street, Unit 28H",Upper East Side,3903,1 BD,1 BA,Manhattan,Compass
4354,"55 West 25th Street, Unit 33M",NoMad,4895,Studio,1 BA,Manhattan,Compass
4355,"395 South End Avenue, Unit 4B",Battery Park City,6225,2 BD,2 BA,Manhattan,Compass
4356,"345 South End Avenue, Unit 6H",Battery Park City,4160,1 BD,1 BA,Manhattan,Compass
4357,"71 Broadway, Unit 5K",Financial District,4223,1 BD,1 BA,Manhattan,Compass
4358,"52 East 7th Street, Unit 11",East Village,3200,1 BD,1.5 BA,Manhattan,Compass
4359,"52 East 7th Street, Unit 11",East Village,3200,1 BD,1.5 BA,Manhattan,Compass
4360,"431 West 37th Street, Unit 12C",Hudson Yards,3569,Studio,1 BA,Manhattan,Compass
4361,"6 St Nicholas Terrace, Unit 2B",Morningside Heights,3895,3 BD,1 BA,Manhattan,Compass
4362,"518 9th Avenue, Unit 1",Hudson Yards,4500,3 BD,1 BA,Manhattan,Compass
4363,"174 West 137th Street, Unit 2",Harlem,2900,3 BD,1 BA,Manhattan,Compass
4364,"550 West 54th Street, Unit 1106",Hell's Kitchen,3836,1 BD,1 BA,Manhattan,Compass
4365,"107 Christopher Street, Unit 18",West Village,5400,3 BD,1 BA,Manhattan,Compass
4366,"102 West 79th Street, Unit 3B",Upper West Side,2800,1 BD,1 BA,Manhattan,Compass
4367,"102 West 79th Street, Unit 2G",Upper West Side,2000,Studio,1 BA,Manhattan,Compass
4368,"217 Front Street, Unit 5C",Financial District,4250,1 BD,1 BA,Manhattan,Compass
4369,16 Maiden Lane,Financial District,7000,5 BD,1 BA,Manhattan,Compass
4370,16 Maiden Lane,Financial District,7000,5 BD,1 BA,Manhattan,Compass
4371,439 West 48th Street,Hell's Kitchen,3400,2 BD,1 BA,Manhattan,Compass
4372,"101 East 10th Street, Unit 85",East Village,5795,1 BD,1 BA,Manhattan,Compass
4373,"101 East 10th Street, Unit 85",East Village,5216,1 BD,1 BA,Manhattan,Compass
4374,"205 East 33rd, Unit 3F",Kips Bay,4545,2 BD,2 BA,Manhattan,Compass
4375,"205 East 33rd Street, Unit 3F",Kips Bay,5000,2 BD,2 BA,Manhattan,Compass
4376,"101 East 10th Street, Unit 34",East Village,6750,2 BD,2 BA,Manhattan,Compass
4377,"101 East 10th Street, Unit 34",East Village,6075,2 BD,2 BA,Manhattan,Compass
4378,"529 West 48th Street, Unit 3",Hell's Kitchen,2150,1 BD,1 BA,Manhattan,Compass
4379,"529 West 48th Street, Unit 3",Hell's Kitchen,2150,1 BD,1 BA,Manhattan,Compass
4380,"37 Crosby Street, Unit 6A",SoHo,9200,3 BD,3 BA,Manhattan,Compass
4381,"484 2nd Avenue, Unit 5B",Kips Bay,3105,Studio,1 BA,Manhattan,Compass
4382,"55 West 25th Street, Unit 33M",NoMad,4895,Studio,1 BA,Manhattan,Compass
4383,"182 East 95th Street, Unit 2H",Upper East Side,3725,2 BD,1 BA,Manhattan,Compass
4384,"166 East 35th Street, Unit 14B",Murray Hill,3100,1 BD,1 BA,Manhattan,Compass
4385,"164 Bank Street, Unit 4B",West Village,4750,1 BD,1 BA,Manhattan,Compass
4386,"152 Thompson Street, Unit C",SoHo,3300,1 BD,1 BA,Manhattan,Compass
4387,"1107 Broadway Square West, Unit 14B",NoMad,10000,1 BD,1.5 BA,Manhattan,Compass
4388,"67 Wall Street, Unit 12C",Financial District,3450,Studio,1 BA,Manhattan,Compass
4389,"210 West 101st Street, Unit 15K",Upper West Side,3250,1 BD,1.5 BA,Manhattan,Compass
4390,"321 East 43rd Street, Unit 810",Midtown East,1800,Studio,1 BA,Manhattan,Compass
4391,"114 Christopher Street, Unit 9",West Village,3995,2 BD,1 BA,Manhattan,Compass
4392,"114 Christopher Street, Unit 26",West Village,3995,2 BD,1 BA,Manhattan,Compass
4393,"16 Jane Street, Unit 3E",West Village,2635,Studio,1 BA,Manhattan,Compass
4394,"423 East 83rd Street, Unit 3A",Upper East Side,2527,1 BD,1 BA,Manhattan,Compass
4395,"423 East 83rd, Unit 3A",Upper East Side,2527,1 BD,1 BA,Manhattan,Compass
4396,"150 East 44th Street, Unit 40G",Midtown East,5100,1 BD,1.5 BA,Manhattan,Compass
4397,"225 East 39th Street, Unit 8H",Murray Hill,4834,1 BD,1 BA,Manhattan,Compass
4398,"50 West 77th Street, Unit 8M",Upper West Side,2803,Studio,1 BA,Manhattan,Compass
4399,"240 East 27th Street, Unit 17H",Kips Bay,7586,3 BD,2 BA,Manhattan,Compass
4400,"143 Ludlow Street, Unit 6BB",Lower East Side,4895,3 BD,1 BA,Manhattan,Compass
4401,"143 Ludlow Street, Unit 6BB",Lower East Side,4895,3 BD,1 BA,Manhattan,Compass
4402,"143 Ludlow Street, Unit 2CC",Lower East Side,3695,2 BD,1 BA,Manhattan,Compass
4403,"143 Ludlow Street, Unit 2CC",Lower East Side,3695,2 BD,1 BA,Manhattan,Compass
4404,"311 West 84th Street, Unit 2F",Upper West Side,2400,Studio,1 BA,Manhattan,Compass
4405,"164 Ludlow Street, Unit 9A",Lower East Side,3600,2 BD,1 BA,Manhattan,Compass
4406,"164 Ludlow Street, Unit 9A",Lower East Side,3300,2 BD,1 BA,Manhattan,Compass
4407,"334 East 55th Street, Unit 11",Midtown East,2000,Studio,1 BA,Manhattan,Compass
4408,"240 East 27th Street, Unit 8D",Kips Bay,3863,1 BD,1 BA,Manhattan,Compass
4409,"250 East 53rd Street, Unit 603",Midtown East,4400,1 BD,1 BA,Manhattan,Compass
4410,"460 West 20th Street, Unit 4J",Chelsea,5800,2 BD,2 BA,Manhattan,Compass
4411,"460 West 20th Street, Unit 4J",Chelsea,5800,2 BD,2 BA,Manhattan,Compass
4412,"21 West Street, Unit 12L",Financial District,3795,Studio,1 BA,Manhattan,Compass
4413,"310 Greenwich Street, Unit 12H",TriBeCa,5995,2 BD,1.5 BA,Manhattan,Compass
4414,"180 Water Street, Unit 1301",Financial District,5097,1 BD,2 BA,Manhattan,Compass
4415,"520 East 14th Street, Unit 33","Manhattan, NY 10009",3400,2 BD,1 BA,Manhattan,Compass
4416,"520 West 112th Street, Unit 10B",Morningside Heights,3000,1 BD,1 BA,Manhattan,Compass
4417,"255 West 94th Street, Unit 12R",Upper West Side,4375,1 BD,1 BA,Manhattan,Compass
4418,"227 East 50th Street, Unit 17",Midtown East,4450,3 BD,1 BA,Manhattan,Compass
4419,"410 West 53rd Street, Unit 224",Hell's Kitchen,3750,1 BD,1 BA,Manhattan,Compass
4420,"227 East 50th Street, Unit 9",Midtown East,4650,3 BD,1 BA,Manhattan,Compass
4421,"257 Water Street, Unit 4E",Financial District,7500,5 BD,2 BA,Manhattan,Compass
4422,"257 Water Street, Unit 4E",Financial District,7500,5 BD,2 BA,Manhattan,Compass
4423,"235 East 50th Street, Unit 51",Midtown East,4495,3 BD,1 BA,Manhattan,Compass
4424,"65 East 54th Street, Unit 5F",Midtown East,3000,Studio,1 BA,Manhattan,Compass
4425,"4300 Broadway, Unit 6C",Washington Heights,1695,Studio,1 BA,Manhattan,Compass
4426,"116 St Marks Place, Unit 2F",East Village,7333,4 BD,2 BA,Manhattan,Compass
4427,"234 West 14th Street, Unit 3A",West Village,6995,3 BD,2 BA,Manhattan,Compass
4428,"330 East 6th Street, Unit 1R",East Village,8795,4 BD,2.5 BA,Manhattan,Compass
4429,"47 East 1st Street, Unit 2R",East Village,4595,2 BD,2 BA,Manhattan,Compass
4430,"47 East 1st Street, Unit 3R",East Village,4395,2 BD,2 BA,Manhattan,Compass
4431,"43 East 63rd Street, Unit 3",Upper East Side,4500,1 BD,1 BA,Manhattan,Compass
4432,"336 West 95th Street, Unit 62",Upper West Side,5400,2 BD,1 BA,Manhattan,Compass
4433,"336 West 95th Street, Unit 24",Upper West Side,5100,2 BD,1 BA,Manhattan,Compass
4434,"312 11th Avenue, Unit 8H",Chelsea,3595,Studio,1 BA,Manhattan,Compass
4435,"301 East 21st Street, Unit 9J",Gramercy,5700,2 BD,1 BA,Manhattan,Compass
4436,"301 East 21st Street, Unit 13M",Gramercy,5395,1 BD,1 BA,Manhattan,Compass
4437,"207 Madison Street, Unit 22",Lower East Side,3400,2 BD,1 BA,Manhattan,Compass
4438,"4300 Broadway, Unit 2E",Washington Heights,2534,2 BD,1 BA,Manhattan,Compass
4439,"202 Riverside Drive, Unit 9K",Upper West Side,3200,1 BD,1 BA,Manhattan,Compass
4440,"471 Washington Street, Unit 4A",TriBeCa,11500,2 BD,1.5 BA,Manhattan,Compass
4441,"750 Columbus Avenue, Unit 9G",Upper West Side,6061,2 BD,2 BA,Manhattan,Compass
4442,"50 West 77th Street, Unit 6F",Upper West Side,3268,1 BD,1 BA,Manhattan,Compass
4443,"60 West 142nd Street, Unit 4K",Harlem,1923,Studio,1 BA,Manhattan,Compass
4444,"322 West 14th Street, Unit 5",West Village,3254,1 BD,1 BA,Manhattan,Compass
4445,"101 West End Avenue, Unit 24D",Upper West Side,7526,2 BD,2 BA,Manhattan,Compass
4446,"107 East 63rd Street, Unit 7B",Upper East Side,4000,2 BD,2 BA,Manhattan,Compass
4447,"172 Mulberry Street, Unit 15",Little Italy,2895,1 BD,1 BA,Manhattan,Compass
4448,"35 West 65th Street, Unit 5B",Upper West Side,2395,Studio,1 BA,Manhattan,Compass
4449,"601 Hudson Street, Unit 7",West Village,10000,4 BD,2 BA,Manhattan,Compass
4450,"601 Hudson Street, Unit 7",West Village,10000,4 BD,2 BA,Manhattan,Compass
4451,441 West 48th Street,Hell's Kitchen,4495,3 BD,1 BA,Manhattan,Compass
4452,"260 West 88th Street, Unit 3",Upper West Side,4895,2 BD,1.5 BA,Manhattan,Compass
4453,"183 East 3rd Street, Unit 5E",East Village,5200,3 BD,1 BA,Manhattan,Compass
4454,"183 East 3rd Street, Unit 5E",East Village,5200,3 BD,1 BA,Manhattan,Compass
4455,"250 West 50th Street, Unit 6P",Theater District,3772,1 BD,1 BA,Manhattan,Compass
4456,"525 West 28th Street, Unit 1458",Chelsea,3440,Studio,1 BA,Manhattan,Compass
4457,"250 West 50th Street, Unit 4J",Theater District,3802,1 BD,1 BA,Manhattan,Compass
4458,"101 Stanton Street, Unit 1",Lower East Side,4200,2 BD,1 BA,Manhattan,Compass
4459,"101 Stanton Street, Unit 1",Lower East Side,4200,2 BD,1 BA,Manhattan,Compass
4460,"8 Centre Market Place, Unit 4",SoHo,4500,3 BD,1 BA,Manhattan,Compass
4461,"8 Centre Market Place, Unit 4",SoHo,4500,3 BD,1 BA,Manhattan,Compass
