Address,Neighborhood,Price,Beds,Baths,Boro,Agency
"274 7th Avenue, Unit 1I",Central Slope,1950,Studio,1 Bath,Brooklyn,Compass
"274 7th Avenue, Unit 1I",Central Slope,1950,Studio,1 Bath,Brooklyn,Compass
"3105 Brighton 3rd Street, Unit 5H",Brighton Beach,1450,1 Bed,1 Bath,Brooklyn,Compass
"207 Ocean Parkway, Unit 2J",Kensington,1760,1 Bed,1 Bath,Brooklyn,Compass
"466 Myrtle Avenue, Unit 2",Clinton Hill,3175,2 Beds,1 Bath,Brooklyn,Compass
"308 Kosciuszko Street, Unit 4R",Bedford-Stuyvesant,2700,3 Beds,2 Baths,Brooklyn,Compass
"308 Kosciuszko Street, Unit 4R",Bedford-Stuyvesant,2700,3 Beds,2 Baths,Brooklyn,Compass
"75 Clinton Street, Unit 8K",Brooklyn Heights,9067,3 Beds,3 Baths,Brooklyn,Compass
"371 Classon Avenue, Unit 4B",Clinton Hill,2400,2 Beds,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 430",Williamsburg,3535,1 Bed,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 309",Williamsburg,3680,1 Bed,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 231",Williamsburg,2921,Studio,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit C422",Gowanus,3770,1 Bed,1 Bath,Brooklyn,Compass
"3066 Brighton 4th Street, Unit 401",Brighton Beach,2300,2 Beds,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit B504",Gowanus,3014,Studio,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit B211",Gowanus,3549,1 Bed,1 Bath,Brooklyn,Compass
"788 Classon Avenue, Unit 1R",Crown Heights,3117,2 Beds,1 Bath,Brooklyn,Compass
"2515 Glenwood Road, Unit G3",Flatbush,1825,1 Bed,1 Bath,Brooklyn,Compass
"158 Wyckoff Avenue, Unit 3L",Bushwick,2700,2 Beds,1 Bath,Brooklyn,Compass
"158 Wyckoff Avenue, Unit 3L",Bushwick,2700,2 Beds,1 Bath,Brooklyn,Compass
"15 Bridge Park Drive, Unit 14D",Brooklyn Heights,2914,1 Bed,1 Bath,Brooklyn,Compass
"360 Furman Street, Unit 517",Brooklyn Heights,4200,1 Bed,1 Bath,Brooklyn,Compass
"11 Stagg Street, Unit 2L",East Williamsburg,2800,2 Beds,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 10C",Downtown Brooklyn,5500,2 Beds,2 Baths,Brooklyn,Compass
"180 Nassau Street, Unit 7C",Downtown Brooklyn,3500,1 Bed,1 Bath,Brooklyn,Compass
"216 6th Avenue, Unit 4B",North Slope,2450,1 Bed,1 Bath,Brooklyn,Compass
"607 Manhattan Avenue, Unit 6",Greenpoint,5000,2 Beds,2 Baths,Brooklyn,Compass
"110 Warren Street, Unit B203",Columbia Street Waterfront,3250,1 Bed,1 Bath,Brooklyn,Compass
"1158 Myrtle Avenue, Unit 2",Bushwick,1995,1 Bed,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 7A",Downtown Brooklyn,4500,2 Beds,1 Bath,Brooklyn,Compass
"226 Cumberland Street, Unit 1",Fort Greene,3950,2 Beds,2 Baths,Brooklyn,Compass
"184 Kent Avenue, Unit B512",Williamsburg,7000,2 Beds,2 Baths,Brooklyn,Compass
"371 Classon Avenue, Unit 4B",Clinton Hill,2400,2 Beds,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 430",Williamsburg,3535,1 Bed,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 309",Williamsburg,3680,1 Bed,1 Bath,Brooklyn,Compass
"395 Leonard Street, Unit 231",Williamsburg,2921,Studio,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit C422",Gowanus,3770,1 Bed,1 Bath,Brooklyn,Compass
"3066 Brighton 4th Street, Unit 401",Brighton Beach,2300,2 Beds,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit B504",Gowanus,3014,Studio,1 Bath,Brooklyn,Compass
"365 Bond Street, Unit B211",Gowanus,3549,1 Bed,1 Bath,Brooklyn,Compass
"788 Classon Avenue, Unit 1R",Crown Heights,3117,2 Beds,1 Bath,Brooklyn,Compass
"2515 Glenwood Road, Unit G3",Flatbush,1825,1 Bed,1 Bath,Brooklyn,Compass
"158 Wyckoff Avenue, Unit 3L",Bushwick,2700,2 Beds,1 Bath,Brooklyn,Compass
"158 Wyckoff Avenue, Unit 3L",Bushwick,2700,2 Beds,1 Bath,Brooklyn,Compass
"15 Bridge Park Drive, Unit 14D",Brooklyn Heights,2914,1 Bed,1 Bath,Brooklyn,Compass
"360 Furman Street, Unit 517",Brooklyn Heights,4200,1 Bed,1 Bath,Brooklyn,Compass
"11 Stagg Street, Unit 2L",East Williamsburg,2800,2 Beds,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 10C",Downtown Brooklyn,5500,2 Beds,2 Baths,Brooklyn,Compass
"180 Nassau Street, Unit 7C",Downtown Brooklyn,3500,1 Bed,1 Bath,Brooklyn,Compass
"216 6th Avenue, Unit 4B",North Slope,2450,1 Bed,1 Bath,Brooklyn,Compass
"607 Manhattan Avenue, Unit 6",Greenpoint,5000,2 Beds,2 Baths,Brooklyn,Compass
"110 Warren Street, Unit B203",Columbia Street Waterfront,3250,1 Bed,1 Bath,Brooklyn,Compass
"1158 Myrtle Avenue, Unit 2",Bushwick,1995,1 Bed,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 7A",Downtown Brooklyn,4500,2 Beds,1 Bath,Brooklyn,Compass
"226 Cumberland Street, Unit 1",Fort Greene,3950,2 Beds,2 Baths,Brooklyn,Compass
"184 Kent Avenue, Unit B512",Williamsburg,7000,2 Beds,2 Baths,Brooklyn,Compass
"15 Bridge Park Drive, Unit 11I",Brooklyn Heights,4043,3 Beds,2 Baths,Brooklyn,Compass
"15 Bridge Park Drive, Unit 7B",Brooklyn Heights,2914,1 Bed,1 Bath,Brooklyn,Compass
"215 Bergen Street, Unit 1",Boerum Hill,2250,Studio,1 Bath,Brooklyn,Compass
"784 St Johns Place, Unit 1L",Crown Heights,3000,3 Beds,1 Bath,Brooklyn,Compass
"15 Bridge Park Drive, Unit 11J",Brooklyn Heights,2720,Studio,1 Bath,Brooklyn,Compass
"272 St Marks Avenue, Unit 3F",Prospect Heights,3250,1 Bed,1 Bath,Brooklyn,Compass
"1882 Bergen Street, Unit 3",Crown Heights,2300,3 Beds,2 Baths,Brooklyn,Compass
"180 Nassau Street, Unit 2D",Downtown Brooklyn,3500,1 Bed,1 Bath,Brooklyn,Compass
"825 48th Street, Unit 2R",Sunset Park,1650,1 Bed,1 Bath,Brooklyn,Compass
"763 Monroe Street, Unit 2L",Bedford-Stuyvesant,2500,3 Beds,1 Bath,Brooklyn,Compass
"31 Ocean Parkway, Unit 5J",Windsor Terrace,2390,1 Bed,1 Bath,Brooklyn,Compass
"5 Monroe Place, Unit 4",Brooklyn Heights,4250,2 Beds,1 Bath,Brooklyn,Compass
"618 Bushwick Avenue, Unit 311A",Bushwick,4373,2 Beds,1 Bath,Brooklyn,Compass
"113 Columbia Street, Unit 3",Columbia Street Waterfront,3600,3 Beds,1 Bath,Brooklyn,Compass
"180 Montague Street, Unit 29B",Brooklyn Heights,6600,3 Beds,2 Baths,Brooklyn,Compass
"40 North 4th Street, Unit 3E",Williamsburg,4750,2 Beds,2 Baths,Brooklyn,Compass
"1019 Putnam Avenue, Unit 1B",Bedford-Stuyvesant,1750,2 Beds,1 Bath,Brooklyn,Compass
"26 West Street, Unit 7E",Greenpoint,3660,1 Bed,1 Bath,Brooklyn,Compass
"919 Park Place, Unit 3F",Crown Heights,2400,1 Bed,1 Bath,Brooklyn,Compass
"919 Park Place, Unit 3F",Crown Heights,2400,1 Bed,1 Bath,Brooklyn,Compass
"368 Myrtle Avenue, Unit 4L",Fort Greene,4795,4 Beds,2 Baths,Brooklyn,Compass
"175 Kent Avenue, Unit 709",Williamsburg,6283,2 Beds,2 Baths,Brooklyn,Compass
"44 Berry Street, Unit 5",Williamsburg,3175,1 Bed,1 Bath,Brooklyn,Compass
"70-74 South 4th Street, Unit 1B",Williamsburg,4450,3 Beds,1.5 Baths,Brooklyn,Compass
"33 Caton Place, Unit 3N",Windsor Terrace,3850,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 2404",Downtown Brooklyn,5600,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 1704",Downtown Brooklyn,5560,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 2108",Downtown Brooklyn,5617,2 Beds,2 Baths,Brooklyn,Compass
"1501 Voorhies Avenue, Unit 8M",Sheepshead Bay,3190,1 Bed,1 Bath,Brooklyn,Compass
"126 East 31st Street, Unit 4",Kips Bay,3795,2 Beds,1 Bath,Brooklyn,Compass
"382 Eastern Parkway, Unit 3F",Crown Heights,2495,1 Bed,1 Bath,Brooklyn,Compass
"654 St Marks Avenue, Unit 2B",Crown Heights,2850,2 Beds,1 Bath,Brooklyn,Compass
"1581 President Street, Unit 14",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"1580 President Street, Unit 25",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"576 Myrtle Avenue, Unit 1",Clinton Hill,2995,2 Beds,1 Bath,Brooklyn,Compass
"926 47th Street, Unit 4C",Borough Park,1581,Studio,1 Bath,Brooklyn,Compass
257 15th Street,South Slope,3900,2 Beds,2 Baths,Brooklyn,Compass
"275 Conover Street, Unit 4F",Red Hook,6300,1 Bed,2 Baths,Brooklyn,Compass
111 Windsor Place,South Slope,9500,4 Beds,3 Baths,Brooklyn,Compass
"439 Hicks Street, Unit 4C",Cobble Hill,2400,1 Bed,1 Bath,Brooklyn,Compass
"257 15th Street, Unit PH",South Slope,3900,2 Beds,2 Baths,Brooklyn,Compass
"100 Jay Street, Unit 19B",DUMBO,4000,1 Bed,1 Bath,Brooklyn,Compass
914 47th Street,Borough Park,1513,Studio,1 Bath,Brooklyn,Compass
"1655 Flatbush Avenue, Unit C2110",East Flatbush,1800,1 Bed,1 Bath,Brooklyn,Compass
"863 45th Street, Unit 1",Sunset Park,2400,3 Beds,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 224A",Fort Greene,4195,2 Beds,1.5 Baths,Brooklyn,Compass
"67 Sutton Street, Unit 2RR",Greenpoint,3000,2 Beds,1 Bath,Brooklyn,Compass
"705 St Marks Avenue, Unit 2C",Crown Heights,2300,2 Beds,1 Bath,Brooklyn,Compass
"33 Caton Place, Unit 3N",Windsor Terrace,3850,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 2404",Downtown Brooklyn,5600,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 1704",Downtown Brooklyn,5560,2 Beds,2 Baths,Brooklyn,Compass
"343 Gold Street, Unit 2108",Downtown Brooklyn,5617,2 Beds,2 Baths,Brooklyn,Compass
"1501 Voorhies Avenue, Unit 8M",Sheepshead Bay,3190,1 Bed,1 Bath,Brooklyn,Compass
"126 East 31st Street, Unit 4",Kips Bay,3795,2 Beds,1 Bath,Brooklyn,Compass
"382 Eastern Parkway, Unit 3F",Crown Heights,2495,1 Bed,1 Bath,Brooklyn,Compass
"654 St Marks Avenue, Unit 2B",Crown Heights,2850,2 Beds,1 Bath,Brooklyn,Compass
"1581 President Street, Unit 14",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"1580 President Street, Unit 25",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"576 Myrtle Avenue, Unit 1",Clinton Hill,2995,2 Beds,1 Bath,Brooklyn,Compass
"926 47th Street, Unit 4C",Borough Park,1581,Studio,1 Bath,Brooklyn,Compass
257 15th Street,South Slope,3900,2 Beds,2 Baths,Brooklyn,Compass
"275 Conover Street, Unit 4F",Red Hook,6300,1 Bed,2 Baths,Brooklyn,Compass
111 Windsor Place,South Slope,9500,4 Beds,3 Baths,Brooklyn,Compass
"439 Hicks Street, Unit 4C",Cobble Hill,2400,1 Bed,1 Bath,Brooklyn,Compass
"257 15th Street, Unit PH",South Slope,3900,2 Beds,2 Baths,Brooklyn,Compass
"100 Jay Street, Unit 19B",DUMBO,4000,1 Bed,1 Bath,Brooklyn,Compass
914 47th Street,Borough Park,1513,Studio,1 Bath,Brooklyn,Compass
"1655 Flatbush Avenue, Unit C2110",East Flatbush,1800,1 Bed,1 Bath,Brooklyn,Compass
"863 45th Street, Unit 1",Sunset Park,2400,3 Beds,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 224A",Fort Greene,4195,2 Beds,1.5 Baths,Brooklyn,Compass
"67 Sutton Street, Unit 2RR",Greenpoint,3000,2 Beds,1 Bath,Brooklyn,Compass
"705 St Marks Avenue, Unit 2C",Crown Heights,2300,2 Beds,1 Bath,Brooklyn,Compass
"2323 64th Street, Unit 2",Mapleton,1900,2 Beds,1 Bath,Brooklyn,Compass
"134 Kingsland Avenue, Unit 2F",Williamsburg,2650,2 Beds,1 Bath,Brooklyn,Compass
"31 Ocean Parkway, Unit 4L",Windsor Terrace,2590,1 Bed,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 542",Fort Greene,2765,Studio,1 Bath,Brooklyn,Compass
"90 Atlantic Avenue, Unit 1D",Cobble Hill,2428,Studio,1 Bath,Brooklyn,Compass
"100 Jay Street, Unit 26C",DUMBO,5995,2 Beds,2 Baths,Brooklyn,Compass
"6809 3rd Avenue, Unit A3",Bay Ridge,2300,2 Beds,2 Baths,Brooklyn,Compass
638 2nd Street,Central Slope,3150,2 Beds,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 615",Fort Greene,4340,1 Bed,1.5 Baths,Brooklyn,Compass
"180 Montague Street, Unit 4B",Brooklyn Heights,3567,1 Bed,1 Bath,Brooklyn,Compass
"283 Albany Avenue, Unit 6F",Crown Heights,2875,3 Beds,1 Bath,Brooklyn,Compass
"1201 East 14th Street, Unit 2",Midwood,2400,3 Beds,1 Bath,Brooklyn,Compass
"1201 East 14th Street, Unit 2",Midwood,2400,3 Beds,1 Bath,Brooklyn,Compass
"63 North 3rd Street, Unit 402",Williamsburg,4100,1 Bed,1 Bath,Brooklyn,Compass
"1278 Halsey Street, Unit 1",Bushwick,2567,3 Beds,1 Bath,Brooklyn,Compass
"626 Flatbush Avenue, Unit 6C",Prospect Lefferts Gardens,2840,1 Bed,1 Bath,Brooklyn,Compass
"433 Dean Street, Unit 10",North Slope,4408,3 Beds,1 Bath,Brooklyn,Compass
"26 West Street, Unit 5H",Greenpoint,3315,1 Bed,1 Bath,Brooklyn,Compass
"182 Prospect Park West, Unit 4",South Slope,2354,Studio,1 Bath,Brooklyn,Compass
"807 Quincy Street, Unit 3A",Bedford-Stuyvesant,2975,3 Beds,1 Bath,Brooklyn,Compass
"968 60th Street, Unit 207",Borough Park,2500,1 Bed,1 Bath,Brooklyn,Compass
"626 Flatbush Avenue, Unit 3F",Prospect Lefferts Gardens,2320,Studio,1 Bath,Brooklyn,Compass
"220 Water Street, Unit 427",DUMBO,4750,1 Bed,1 Bath,Brooklyn,Compass
"110 Linwood Street, Unit 2",Highland Park,1499,Studio,1 Bath,Brooklyn,Compass
"4906 Church Avenue, Unit 2",East Flatbush,2100,2 Beds,1 Bath,Brooklyn,Compass
"4906 Church Avenue, Unit 2",East Flatbush,2100,2 Beds,1 Bath,Brooklyn,Compass
"246 Carlton Avenue, Unit 2",Fort Greene,8000,4 Beds,2 Baths,Brooklyn,Compass
"514 39th Street, Unit 1F",Sunset Park,2100,2 Beds,1 Bath,Brooklyn,Compass
"219 45th Street, Unit 2",Sunset Park,2699,3 Beds,1 Bath,Brooklyn,Compass
"219 45th Street, Unit 2",Sunset Park,2699,3 Beds,1 Bath,Brooklyn,Compass
"8102 6th Avenue, Unit 1A",Bay Ridge,1999,2 Beds,1 Bath,Brooklyn,Compass
"8102 6th Avenue, Unit 1A",Bay Ridge,1999,2 Beds,1 Bath,Brooklyn,Compass
"406 East 94th, Unit 2B",Brownsville,1999,2 Beds,1 Bath,Brooklyn,Compass
"406 East 94th Street, Unit 2B",Brownsville,1999,2 Beds,1 Bath,Brooklyn,Compass
"1501 Voorhies Avenue, Unit 11H",Sheepshead Bay,2861,1 Bed,1 Bath,Brooklyn,Compass
"185 Clifton Place, Unit 1R",Clinton Hill,2400,2 Beds,1 Bath,Brooklyn,Compass
"187 Clifton Place, Unit 4A",Clinton Hill,2400,2 Beds,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 26N",Downtown Brooklyn,3075,Studio,1 Bath,Brooklyn,Compass
"2817 Foster Avenue, Unit 1C",Flatbush,2200,2 Beds,1 Bath,Brooklyn,Compass
206 Warren Street,Cobble Hill,9995,3 Beds,2 Baths,Brooklyn,Compass
"417 Van Brunt Street, Unit 2L",Red Hook,2600,1 Bed,1 Bath,Brooklyn,Compass
"241 Ocean Parkway, Unit A3",Kensington,3750,2 Beds,2 Baths,Brooklyn,Compass
"11 Montgomery Place, Unit 5",North Slope,6995,3 Beds,2 Baths,Brooklyn,Compass
"96 Steuben Street, Unit 7B",Clinton Hill,2796,1 Bed,1 Bath,Brooklyn,Compass
"871 Park Place, Unit 2F",Crown Heights,3300,2 Beds,1 Bath,Brooklyn,Compass
"1314 Ocean Parkway, Unit 4L",Ocean Parkway,1750,1 Bed,1 Bath,Brooklyn,Compass
"145 Milton Street, Unit 1",Greenpoint,2700,1 Bed,1 Bath,Brooklyn,Compass
"74 Greenpoint Avenue, Unit A5",Greenpoint,2700,2 Beds,1 Bath,Brooklyn,Compass
"96 Steuben Street, Unit 6E",Clinton Hill,3067,1 Bed,1 Bath,Brooklyn,Compass
"706 Sackett Street, Unit 2R",North Slope,2699,1 Bed,1 Bath,Brooklyn,Compass
"344 14th Street, Unit 2L",South Slope,2500,2 Beds,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 217A",Fort Greene,5295,2 Beds,2 Baths,Brooklyn,Compass
"430 St Marks Avenue, Unit B",Crown Heights,3650,3 Beds,1.5 Baths,Brooklyn,Compass
"156 North 4th Street, Unit 9",Williamsburg,3670,1 Bed,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 721A",Fort Greene,6460,2 Beds,2 Baths,Brooklyn,Compass
"98 15th Street, Unit 1",Gowanus,2995,1 Bed,1 Bath,Brooklyn,Compass
"1283 Madison Street, Unit 2",Bushwick,2400,2 Beds,1 Bath,Brooklyn,Compass
"172 Bayard Street, Unit 4B",Greenpoint,2450,1 Bed,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 340D",Fort Greene,4895,2 Beds,2 Baths,Brooklyn,Compass
"509 Pacific Street, Unit 4C",Boerum Hill,6500,2 Beds,2.5 Baths,Brooklyn,Compass
"475 Clermont Avenue, Unit 602A",Fort Greene,3135,Studio,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 526",Fort Greene,3995,1 Bed,1.5 Baths,Brooklyn,Compass
420 12th Street,South Slope,3500,1 Bed,1 Bath,Brooklyn,Compass
"97 Brooklyn Avenue, Unit 4H",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"97 Brooklyn Avenue, Unit 4H",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"297 Broadway, Unit 3F",Williamsburg,1950,2 Beds,1 Bath,Brooklyn,Compass
"202 Macon Street, Unit 2EE",Bedford-Stuyvesant,2950,2 Beds,1 Bath,Brooklyn,Compass
"202 Macon Street, Unit 2E",Bedford-Stuyvesant,2950,2 Beds,1 Bath,Brooklyn,Compass
"2817 Foster Avenue, Unit 4A",Flatbush,1699,1 Bed,1 Bath,Brooklyn,Compass
"180 Montague Street, Unit 24E",Brooklyn Heights,5964,2 Beds,2 Baths,Brooklyn,Compass
"363 4th Street, Unit 4",Central Slope,4000,3 Beds,1 Bath,Brooklyn,Compass
"201 Huron Street, Unit 2R",Greenpoint,2599,1 Bed,1 Bath,Brooklyn,Compass
"96 Steuben Street, Unit 6E",Clinton Hill,3067,1 Bed,1 Bath,Brooklyn,Compass
"706 Sackett Street, Unit 2R",North Slope,2699,1 Bed,1 Bath,Brooklyn,Compass
"344 14th Street, Unit 2L",South Slope,2500,2 Beds,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 217A",Fort Greene,5295,2 Beds,2 Baths,Brooklyn,Compass
"430 St Marks Avenue, Unit B",Crown Heights,3650,3 Beds,1.5 Baths,Brooklyn,Compass
"156 North 4th Street, Unit 9",Williamsburg,3670,1 Bed,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 721A",Fort Greene,6460,2 Beds,2 Baths,Brooklyn,Compass
"98 15th Street, Unit 1",Gowanus,2995,1 Bed,1 Bath,Brooklyn,Compass
"1283 Madison Street, Unit 2",Bushwick,2400,2 Beds,1 Bath,Brooklyn,Compass
"172 Bayard Street, Unit 4B",Greenpoint,2450,1 Bed,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 340D",Fort Greene,4895,2 Beds,2 Baths,Brooklyn,Compass
"509 Pacific Street, Unit 4C",Boerum Hill,6500,2 Beds,2.5 Baths,Brooklyn,Compass
"475 Clermont Avenue, Unit 602A",Fort Greene,3135,Studio,1 Bath,Brooklyn,Compass
"475 Clermont Avenue, Unit 526",Fort Greene,3995,1 Bed,1.5 Baths,Brooklyn,Compass
420 12th Street,South Slope,3500,1 Bed,1 Bath,Brooklyn,Compass
"97 Brooklyn Avenue, Unit 4H",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"97 Brooklyn Avenue, Unit 4H",Crown Heights,2000,1 Bed,1 Bath,Brooklyn,Compass
"297 Broadway, Unit 3F",Williamsburg,1950,2 Beds,1 Bath,Brooklyn,Compass
"202 Macon Street, Unit 2EE",Bedford-Stuyvesant,2950,2 Beds,1 Bath,Brooklyn,Compass
"202 Macon Street, Unit 2E",Bedford-Stuyvesant,2950,2 Beds,1 Bath,Brooklyn,Compass
"2817 Foster Avenue, Unit 4A",Flatbush,1699,1 Bed,1 Bath,Brooklyn,Compass
"180 Montague Street, Unit 24E",Brooklyn Heights,5964,2 Beds,2 Baths,Brooklyn,Compass
"363 4th Street, Unit 4",Central Slope,4000,3 Beds,1 Bath,Brooklyn,Compass
"201 Huron Street, Unit 2R",Greenpoint,2599,1 Bed,1 Bath,Brooklyn,Compass
"363 4th Street, Unit 1",Central Slope,4000,2 Beds,1 Bath,Brooklyn,Compass
"8699 Bay Parkway, Unit C3",Gravesend,2000,2 Beds,1 Bath,Brooklyn,Compass
"49 Willow Street, Unit 4E",Brooklyn Heights,2025,Studio,1 Bath,Brooklyn,Compass
215 Berkeley Place,North Slope,5800,2 Beds,1 Bath,Brooklyn,Compass
"491 Myrtle Avenue, Unit 2A",Clinton Hill,2222,Studio,1 Bath,Brooklyn,Compass
"563 Prospect Avenue, Unit 2",Windsor Terrace,3300,3 Beds,1 Bath,Brooklyn,Compass
"41-42 47th Street, Unit 2",Sunset Park,2800,3 Beds,1 Bath,Brooklyn,Compass
"247 North 7th Street, Unit 1503",Williamsburg,3059,Studio,1 Bath,Brooklyn,Compass
"315 4th Avenue, Unit 4R",Park Slope,2990,2 Beds,1 Bath,Brooklyn,Compass
"254 Stuyvesant Avenue, Unit 3",Bedford-Stuyvesant,3200,2 Beds,1 Bath,Brooklyn,Compass
"2265 Gerritsen Avenue, Unit 6J",Sheepshead Bay,1895,1 Bed,1 Bath,Brooklyn,Compass
"120 Nassau Street, Unit G16",Downtown Brooklyn,3820,1 Bed,1 Bath,Brooklyn,Compass
"120 Nassau Street, Unit 25E",Downtown Brooklyn,3950,1 Bed,1 Bath,Brooklyn,Compass
"484 Hancock Street, Unit 1B",Bedford-Stuyvesant,2639,2 Beds,1 Bath,Brooklyn,Compass
"62 East 21st Street, Unit 7B",Flatbush,3525,2 Beds,2 Baths,Brooklyn,Compass
"290 Greene Avenue, Unit 3",Clinton Hill,4200,2 Beds,1 Bath,Brooklyn,Compass
"323 Washington Avenue, Unit 3",Clinton Hill,5850,2 Beds,2 Baths,Brooklyn,Compass
"678 Midwood Street, Unit 2",Wingate,2395,2 Beds,1.5 Baths,Brooklyn,Compass
"101 Lafayette Avenue, Unit 14B",Fort Greene,2500,Studio,1 Bath,Brooklyn,Compass
"905 Sterling Place, Unit 1A",Crown Heights,2300,Studio,1 Bath,Brooklyn,Compass
"666 St Johns Place, Unit 1R",Crown Heights,3000,2 Beds,1 Bath,Brooklyn,Compass
"323 Washington Avenue, Unit 4",Clinton Hill,5775,2 Beds,1 Bath,Brooklyn,Compass
"42 Clermont Avenue, Unit 1",Fort Greene,1999,1 Bed,1 Bath,Brooklyn,Compass
"380 South 5th Street, Unit 2",East Williamsburg,4995,3 Beds,2 Baths,Brooklyn,Compass
"323 Washington Avenue, Unit 2",Clinton Hill,5950,2 Beds,2 Baths,Brooklyn,Compass
547 6th Avenue,South Slope,2500,Studio,1.5 Baths,Brooklyn,Compass
"120 Nassau Street, Unit 29A",Downtown Brooklyn,3435,Studio,1 Bath,Brooklyn,Compass
"903 St Johns Place, Unit 2C",Crown Heights,2400,2 Beds,1 Bath,Brooklyn,Compass
"79 Bridge Street, Unit 3E",DUMBO,3400,Studio,1 Bath,Brooklyn,Compass
"435 Grand Avenue, Unit 4C",Clinton Hill,4000,3 Beds,1 Bath,Brooklyn,Compass
"111 Lawrence Street, Unit 42E",Downtown Brooklyn,5898,2 Beds,2 Baths,Brooklyn,Compass
"292 Hawthorne Street, Unit 2R",Prospect Lefferts Gardens,2658,3 Beds,1 Bath,Brooklyn,Compass
"1568 Pacific Street, Unit 3F",Crown Heights,2250,2 Beds,1 Bath,Brooklyn,Compass
"410 Ave X, Unit 4A",South Marlboro,1870,1 Bed,1 Bath,Brooklyn,Compass
"444 Ave X, Unit 7E",South Marlboro,2337,2 Beds,1 Bath,Brooklyn,Compass
"444 Ave X, Unit 3C",Gravesend,2420,2 Beds,1.5 Baths,Brooklyn,Compass
"315 Atlantic Avenue, Unit 3",Boerum Hill,6000,3 Beds,2 Baths,Brooklyn,Compass
"107 Columbia Heights, Unit 5C",Brooklyn Heights,2699,Studio,1 Bath,Brooklyn,Compass
"107 Columbia Heights, Unit 11A",Brooklyn Heights,4500,1 Bed,1 Bath,Brooklyn,Compass
"107 Columbia Heights, Unit 10B",Brooklyn Heights,6072,2 Beds,2 Baths,Brooklyn,Compass
"530 Hegeman Avenue, Unit 2RSB",East New York,2299,3 Beds,1 Bath,Brooklyn,Compass
"461 Dean Street, Unit 28G",Prospect Heights,2891,Studio,1 Bath,Brooklyn,Compass
"343 Gold Street, Unit 907",Downtown Brooklyn,3585,1 Bed,1 Bath,Brooklyn,Compass
"195 Franklin Street, Unit 2RR",Greenpoint,3150,2 Beds,1 Bath,Brooklyn,Compass
"44 Berry Street, Unit C2",Williamsburg,4115,2 Beds,1 Bath,Brooklyn,Compass
"195 Franklin Street, Unit 2FF",Greenpoint,3490,2 Beds,1 Bath,Brooklyn,Compass
"165 East 19th Street, Unit 2P",Prospect Park South,2950,3 Beds,1 Bath,Brooklyn,Compass
"586 Broadway, Unit 3R",Williamsburg,1995,1 Bed,1 Bath,Brooklyn,Compass
"152 Carroll Street, Unit 4",Carroll Gardens,4100,2 Beds,1 Bath,Brooklyn,Compass
"319 Union Street, Unit 1",Carroll Gardens,4500,3 Beds,1 Bath,Brooklyn,Compass
"768 Union Street, Unit 4A",North Slope,2800,1 Bed,1 Bath,Brooklyn,Compass
"768 Union Street, Unit 4A",North Slope,2800,1 Bed,1 Bath,Brooklyn,Compass
"5001 10th Avenue, Unit 4A",Borough Park,1971,1 Bed,1 Bath,Brooklyn,Compass
